Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2014,2014-12-28,16,17,33.241,DEN,OAK,True,2,2,42,21.00,0,100.0%,21.00,0,0,,0,0,0,,0,5,37,7.40,0,,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,61,78%,0,0%,9,25%,False,True,47,14,Wes Welker
2015,2015-11-15,9,10,34.198,STL,CHI,False,6,3,32,10.67,0,50.0%,5.33,0,0,,0,0,0,,0,0,0,,0,,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,11,17%,0,0%,0,0%,False,False,13,37,Wes Welker
2015,2015-11-22,10,11,34.205,STL,BAL,False,4,2,13,6.50,0,50.0%,3.25,0,0,,0,0,0,,0,1,10,10.00,0,,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,17,28%,0,0%,7,23%,True,False,13,16,Wes Welker
2015,2015-11-29,11,12,34.212,STL,CIN,False,3,2,12,6.00,0,66.7%,4.00,0,0,,0,0,0,,0,1,13,13.00,0,,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,26,36%,0,0%,1,4%,True,False,7,31,Wes Welker
2015,2015-12-06,12,13,34.219,STL,ARI,False,3,2,15,7.50,0,66.7%,5.00,0,0,,0,0,0,,0,0,0,,0,,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,14,28%,0,0%,1,4%,False,False,3,27,Wes Welker
2015,2015-12-13,13,14,34.226,STL,DET,False,2,1,11,11.00,0,50.0%,5.50,0,0,,0,0,0,,0,0,0,,0,,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,7,13%,0,0%,0,0%,False,True,21,14,Wes Welker
2015,2015-12-17,14,15,34.230,STL,TAM,False,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,2,4%,0,0%,0,0%,False,True,31,23,Wes Welker
2015,2015-12-27,15,16,34.240,STL,SEA,False,1,1,3,3.00,0,100.0%,3.00,0,0,,0,0,0,,0,0,0,,0,,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,14,25%,0,0%,1,4%,True,True,23,17,Wes Welker
2015,2016-01-03,16,17,34.247,STL,SFO,False,3,2,16,8.00,0,66.7%,5.33,0,0,,0,0,0,,0,0,0,,0,,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,13,18%,0,0%,0,0%,True,False,16,19,Wes Welker
,175 Games,,,,,,False,1275,903,9924,10.99,50,70.8%,7.78,19,151,7.95,0,183,4138,22.61,1,264,2584,9.79,0,2,2,100.0,1,1,100.0,1,51,313,0.0,5,2,7,0,0,24,6,0,15,0,0,,,,,,,False,False,57,0,Wes Welker
