Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2010,2011-01-02,16,17,29.316,BUF,NYJ,True,13,35,2.69,0,1,1,13,13.00,0,100.0%,13.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,1,0,0,0,0,0,,,,,,,True,False,7,38,Fred Jackson
2011,2011-09-11,1,1,30.203,BUF,KAN,True,20,112,5.60,0,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,41,7,Fred Jackson
2011,2011-09-18,2,2,30.210,BUF,OAK,True,15,117,7.80,2,2,2,23,11.50,0,100.0%,11.50,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,2,12,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,38,35,Fred Jackson
2011,2011-09-25,3,3,30.217,BUF,NWE,True,12,74,6.17,1,6,5,87,17.40,0,83.3%,14.50,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,34,31,Fred Jackson
2011,2011-10-02,4,4,30.224,BUF,CIN,True,17,66,3.88,1,8,5,32,6.40,0,62.5%,4.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,20,23,Fred Jackson
2011,2011-10-09,5,5,30.231,BUF,PHI,True,26,111,4.27,1,6,6,85,14.17,0,100.0%,14.17,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,31,24,Fred Jackson
2011,2011-10-16,6,6,30.238,BUF,NYG,True,16,121,7.56,1,6,5,47,9.40,0,83.3%,7.83,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,24,27,Fred Jackson
2011,2011-10-30,7,8,30.252,BUF,WAS,True,26,120,4.62,0,4,3,74,24.67,0,75.0%,18.50,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,23,0,Fred Jackson
2011,2011-11-06,8,9,30.259,BUF,NYJ,True,18,82,4.56,0,8,3,38,12.67,0,37.5%,4.75,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,,,,,,,False,False,11,27,Fred Jackson
2011,2011-11-13,9,10,30.266,BUF,DAL,True,13,114,8.77,0,4,4,1,0.25,0,100.0%,0.25,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,1,1,0,0,0,0,,,,,,,True,False,7,44,Fred Jackson
