Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2021.0,2021-10-10,5.0,5.0,25.268,SFO,ARI,L 10-17,True,9,3,58,19.33,0,33.3%,6.44,1,13,13.00,1,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,56,86%,0,0%,1,5%,True,Deebo Samuel,False,10,17
2021.0,2021-10-24,6.0,7.0,25.282,SFO,IND,L 18-30,True,11,7,100,14.29,1,63.6%,9.09,0,0,,0,0,0,,0,0,0,,0,0,,,2,60,30.00,0,,1,6,0.0,0,0,0,0,0,1,1,0,0,0,0,48,86%,0,0%,2,7%,False,Deebo Samuel,False,18,30
2021.0,2021-10-31,7.0,8.0,25.289,SFO,CHI,W 33-22,True,9,6,171,28.50,0,66.7%,19.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,46,82%,0,0%,0,0%,True,Deebo Samuel,True,33,22
2021.0,2021-11-07,8.0,9.0,25.296,SFO,ARI,L 17-31,True,9,5,63,12.60,0,55.6%,7.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,54,92%,0,0%,0,0%,False,Deebo Samuel,False,17,31
2021.0,2021-11-15,9.0,10.0,25.304,SFO,LAR,W 31-10,True,5,5,97,19.40,1,100.0%,19.40,5,36,7.20,1,0,0,,0,0,0,,0,0,,,0,0,,0,,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,49,72%,0,0%,0,0%,False,Deebo Samuel,True,31,10
2021.0,2021-11-21,10.0,11.0,25.31,SFO,JAX,W 30-10,True,2,1,15,15.00,0,50.0%,7.50,8,79,9.88,1,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,55,80%,0,0%,0,0%,True,Deebo Samuel,True,30,10
2021.0,2021-11-28,11.0,12.0,25.317,SFO,MIN,W 34-26,True,4,1,12,12.00,0,25.0%,3.00,6,66,11.00,2,0,0,,0,0,0,,0,0,,,0,0,,0,,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,46,66%,0,0%,0,0%,False,Deebo Samuel,True,34,26
2021.0,2021-12-05,12.0,13.0,,SFO,SEA,L 23-30,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Deebo Samuel,False,23,30
2021.0,2021-12-12,13.0,14.0,25.331,SFO,CIN,W 26-23,True,1,1,22,22.00,0,100.0%,22.00,8,37,4.63,1,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,55,77%,0,0%,0,0%,True,Deebo Samuel,True,26,23
2021.0,2021-12-19,14.0,15.0,25.338,SFO,ATL,W 31-13,False,5,4,60,15.00,0,80.0%,12.00,6,29,4.83,1,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,46,81%,0,0%,0,0%,False,Deebo Samuel,True,31,13
2021.0,2021-12-23,15.0,16.0,25.342,SFO,TEN,L 17-20,True,11,9,159,17.67,0,81.8%,14.45,5,32,6.40,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,1,0,1,0,0,2,0,0,1,0,0,45,76%,0,0%,0,0%,True,Deebo Samuel,False,17,20
2021.0,2022-01-02,16.0,17.0,25.352,SFO,HOU,W 23-7,True,6,3,63,21.00,1,50.0%,10.50,7,19,2.71,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,53,85%,0,0%,0,0%,False,Deebo Samuel,True,23,7
2021.0,2022-01-09,17.0,18.0,25.359,SFO,LAR,W 27-24,True,6,4,95,23.75,0,66.7%,15.83,8,45,5.63,1,1,1,100.00,24,1,0,158.3,0,0,24.00,44.00,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,50,71%,0,0%,5,18%,True,Deebo Samuel,True,27,24
,38 Games,,,,,,25-13-0,False,246,167,2598,15.56,10,67.9%,10.56,81,550,6.79,11,1,2,50.00,24,1,0,133.3,0,0,12.00,22.00,3,75,25.00,0,1,21,128,0.0,1,0,1,0,0,6,3,0,2,0,0,,,,,,,False,Deebo Samuel,False,13,0
