Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2017.0,2017-12-25,15.0,16.0,24.071,OAK,PHI,L 10-19,False,4,42,10.50,0,2,2,14,7.00,0,100.0%,7.00,2,28,14.00,0,2,20,10.00,0,0,0,0.0,0,0,0,,,2,2,0,0,0,0,9,13%,0,0%,12,44%,True,Jalen Richard,False,10,19
2017.0,2017-12-31,16.0,17.0,24.077,OAK,LAC,L 10-30,False,0,0,,0,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,6,11%,0,0%,6,27%,True,Jalen Richard,False,10,30
2018.0,2018-09-10,1.0,1.0,24.33,OAK,LAR,L 13-33,False,5,24,4.80,0,11,9,55,6.11,0,81.8%,5.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,37,53%,0,0%,3,10%,False,Jalen Richard,False,13,33
2018.0,2018-09-16,2.0,2.0,24.336,OAK,DEN,L 19-20,False,2,3,1.50,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,8,12%,0,0%,10,38%,True,Jalen Richard,False,19,20
2018.0,2018-09-23,3.0,3.0,24.343,OAK,MIA,L 20-28,False,0,0,,0,7,6,59,9.83,0,85.7%,8.43,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,20,26%,0,0%,8,30%,True,Jalen Richard,False,20,28
2018.0,2018-09-30,4.0,4.0,24.35,OAK,CLE,W 45-42,False,1,-2,-2.00,0,5,3,38,12.67,0,60.0%,7.60,0,0,,0,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,34,37%,0,0%,8,19%,False,Jalen Richard,True,45,42
2018.0,2018-10-07,5.0,5.0,24.357,OAK,LAC,L 10-26,False,1,4,4.00,0,6,6,53,8.83,0,100.0%,8.83,0,0,,0,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,27,51%,0,0%,4,16%,True,Jalen Richard,False,10,26
2018.0,2018-10-14,6.0,6.0,24.364,OAK,SEA,L 3-27,False,2,3,1.50,0,8,7,48,6.86,0,87.5%,6.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,24,40%,0,0%,2,11%,False,Jalen Richard,False,3,27
2018.0,2018-10-28,7.0,8.0,25.013,OAK,IND,L 28-42,False,2,14,7.00,0,8,8,50,6.25,0,100.0%,6.25,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,22,44%,0,0%,0,0%,False,Jalen Richard,False,28,42
2018.0,2018-11-01,8.0,9.0,25.017,OAK,SFO,L 3-34,True,2,4,2.00,0,4,4,45,11.25,0,100.0%,11.25,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,22,39%,0,0%,0,0%,True,Jalen Richard,False,3,34
2018.0,2018-11-11,9.0,10.0,25.027,OAK,LAC,L 6-20,False,3,7,2.33,0,6,5,52,10.40,0,83.3%,8.67,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,27,43%,0,0%,0,0%,False,Jalen Richard,False,6,20
2018.0,2018-11-18,10.0,11.0,25.034,OAK,ARI,W 23-21,False,11,61,5.55,0,4,3,32,10.67,0,75.0%,8.00,0,0,,0,2,3,1.50,0,0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,32,47%,0,0%,4,12%,True,Jalen Richard,True,23,21
2018.0,2018-11-25,11.0,12.0,25.041,OAK,BAL,L 17-34,False,1,1,1.00,0,4,2,15,7.50,0,50.0%,3.75,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,26,45%,0,0%,0,0%,True,Jalen Richard,False,17,34
2018.0,2018-12-02,12.0,13.0,25.048,OAK,KAN,L 33-40,False,6,95,15.83,0,4,3,31,10.33,0,75.0%,7.75,0,0,,0,0,0,,0,0,0,0.0,1,0,1,0,0,1,1,0,0,0,0,32,42%,0,0%,4,12%,False,Jalen Richard,False,33,40
2018.0,2018-12-09,13.0,14.0,25.055,OAK,PIT,W 24-21,False,8,24,3.00,0,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,33,49%,0,0%,4,16%,False,Jalen Richard,True,24,21
2018.0,2018-12-16,14.0,15.0,25.062,OAK,CIN,L 16-30,False,4,9,2.25,0,6,5,67,13.40,0,83.3%,11.17,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,1,1,0,0,0,0,30,51%,0,0%,1,3%,True,Jalen Richard,False,16,30
2018.0,2018-12-24,15.0,16.0,25.07,OAK,DEN,W 27-14,False,4,11,2.75,1,5,4,40,10.00,0,80.0%,8.00,0,0,,0,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,23,37%,0,0%,2,7%,False,Jalen Richard,True,27,14
2018.0,2018-12-30,16.0,17.0,25.076,OAK,KAN,L 3-35,False,3,1,0.33,0,2,2,17,8.50,0,100.0%,8.50,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,16,24%,0,0%,1,5%,True,Jalen Richard,False,3,35
2019.0,2019-09-09,1.0,1.0,25.329,OAK,DEN,W 24-16,False,1,3,3.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,9,16%,0,0%,0,0%,False,Jalen Richard,True,24,16
2019.0,2019-09-15,2.0,2.0,25.335,OAK,KAN,L 10-28,False,2,3,1.50,0,3,2,2,1.00,0,66.7%,0.67,0,0,,0,1,-1,-1.00,0,0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,17,27%,0,0%,4,16%,False,Jalen Richard,False,10,28
2019.0,2019-09-22,3.0,3.0,25.342,OAK,MIN,L 14-34,False,2,15,7.50,0,3,3,14,4.67,0,100.0%,4.67,0,0,,0,2,0,0.00,0,0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,29,49%,0,0%,9,36%,True,Jalen Richard,False,14,34
