Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2020,2020-10-12,5,5,25.079,NOR,,LAC,W 30-27,True,11,45,4.09,0,10,8,74,9.25,0,80.0%,7.40,0,0,,0,0,0,,0,0,,,1,31,31.00,0,0,0,,0,,0,0,0,0,0,0,0,0,58,76%,0,0%,1,3%,False,Alvin Kamara
2020,2020-10-25,6,7,25.092,NOR,,CAR,W 27-24,True,14,83,5.93,0,8,8,65,8.13,0,100.0%,8.13,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,51,73%,0,0%,0,0%,False,Alvin Kamara
2020,2020-11-01,7,8,25.099,NOR,@,CHI,W 26-23,False,12,67,5.58,0,13,9,96,10.67,0,69.2%,7.38,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,1,0,0,1,0,0,58,78%,0,0%,0,0%,True,Alvin Kamara
2020,2020-11-08,8,9,25.106,NOR,@,TAM,W 38-3,True,9,40,4.44,1,6,5,9,1.80,0,83.3%,1.50,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,37,51%,0,0%,0,0%,True,Alvin Kamara
2020,2020-11-15,9,10,25.113,NOR,,SFO,W 27-13,False,8,15,1.88,2,8,7,83,11.86,1,87.5%,10.38,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,3,18,0,0,0,0,0,0,39,66%,0,0%,1,4%,False,Alvin Kamara
2020,2020-11-22,10,11,25.120,NOR,,ATL,W 24-9,False,13,45,3.46,1,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,33,49%,0,0%,0,0%,False,Alvin Kamara
2020,2020-11-29,11,12,25.127,NOR,@,DEN,W 31-3,False,11,54,4.91,0,2,1,-2,-2.00,0,50.0%,-1.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,31,48%,0,0%,0,0%,True,Alvin Kamara
2020,2020-12-06,12,13,25.134,NOR,@,ATL,W 21-16,True,15,88,5.87,1,3,2,9,4.50,0,66.7%,3.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0,0,0,1,0,0,48,62%,0,0%,0,0%,True,Alvin Kamara
2020,2020-12-13,13,14,25.141,NOR,@,PHI,L 21-24,True,11,50,4.55,1,10,7,44,6.29,0,70.0%,4.40,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,45,71%,0,0%,0,0%,True,Alvin Kamara
2020,2020-12-20,14,15,25.148,NOR,,KAN,L 29-32,True,11,54,4.91,0,6,3,40,13.33,1,50.0%,6.67,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,40,73%,0,0%,1,3%,False,Alvin Kamara
