Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2020.0,2020-11-15,9.0,10.0,25.043,MIA,LAC,W 29-21,False,5,2,40,20.00,0,40.0%,8.00,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,28,48%,0,0%,1,3%,False,Mike Gesicki,True,29,21
2020.0,2020-11-22,10.0,11.0,25.05,MIA,DEN,L 13-20,True,5,4,43,10.75,0,80.0%,8.60,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,43,66%,0,0%,0,0%,True,Mike Gesicki,False,13,20
2020.0,2020-11-29,11.0,12.0,25.057,MIA,NYJ,W 20-3,True,5,2,35,17.50,1,40.0%,7.00,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,50,70%,0,0%,0,0%,True,Mike Gesicki,True,20,3
2020.0,2020-12-06,12.0,13.0,25.064,MIA,CIN,W 19-7,True,11,9,88,9.78,1,81.8%,8.00,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,49,70%,0,0%,0,0%,False,Mike Gesicki,True,19,7
2020.0,2020-12-13,13.0,14.0,25.071,MIA,KAN,L 27-33,True,6,5,65,13.00,2,83.3%,10.83,0,0,,0,0,0,,0,0,,,,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,43,52%,0,0%,0,0%,False,Mike Gesicki,False,27,33
2020.0,2020-12-20,14.0,15.0,,MIA,NWE,W 22-12,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Mike Gesicki,True,22,12
2020.0,2020-12-26,15.0,16.0,25.084,MIA,LVR,W 26-25,False,7,4,54,13.50,0,57.1%,7.71,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,45,71%,0,0%,0,0%,True,Mike Gesicki,True,26,25
2020.0,2021-01-03,16.0,17.0,25.092,MIA,BUF,L 26-56,False,10,5,47,9.40,0,50.0%,4.70,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,64,77%,0,0%,0,0%,True,Mike Gesicki,False,26,56
2021.0,2021-09-12,1.0,1.0,25.344,MIA,NWE,W 17-16,False,3,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,21,39%,0,0%,0,0%,True,Mike Gesicki,True,17,16
2021.0,2021-09-19,2.0,2.0,25.351,MIA,BUF,L 0-35,False,6,3,41,13.67,0,50.0%,6.83,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,47,64%,0,0%,0,0%,False,Mike Gesicki,False,0,35
2021.0,2021-09-26,3.0,3.0,25.358,MIA,LVR,L 28-31,False,12,10,86,8.60,0,83.3%,7.17,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,55,66%,0,0%,0,0%,True,Mike Gesicki,False,28,31
2021.0,2021-10-03,4.0,4.0,26.0,MIA,IND,L 17-27,False,6,5,57,11.40,1,83.3%,9.50,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,36,69%,0,0%,0,0%,False,Mike Gesicki,False,17,27
2021.0,2021-10-10,5.0,5.0,26.007,MIA,TAM,L 17-45,True,7,4,43,10.75,0,57.1%,6.14,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,42,78%,0,0%,0,0%,True,Mike Gesicki,False,17,45
2021.0,2021-10-17,6.0,6.0,26.014,MIA,JAX,L 20-23,True,9,8,115,14.38,0,88.9%,12.78,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,49,70%,0,0%,0,0%,True,Mike Gesicki,False,20,23
2021.0,2021-10-24,7.0,7.0,26.021,MIA,ATL,L 28-30,True,8,7,85,12.14,1,87.5%,10.63,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,60,82%,0,0%,0,0%,False,Mike Gesicki,False,28,30
2021.0,2021-10-31,8.0,8.0,26.028,MIA,BUF,L 11-26,False,4,3,48,16.00,0,75.0%,12.00,0,0,,0,0,0,,0,0,,,1,0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,67,97%,0,0%,0,0%,True,Mike Gesicki,False,11,26
2021.0,2021-11-07,9.0,9.0,26.035,MIA,HOU,W 17-9,True,8,4,54,13.50,0,50.0%,6.75,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,59,79%,0,0%,0,0%,False,Mike Gesicki,True,17,9
2021.0,2021-11-11,10.0,10.0,26.039,MIA,BAL,W 22-10,False,7,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,56,81%,0,0%,0,0%,False,Mike Gesicki,True,22,10
2021.0,2021-11-21,11.0,11.0,26.049,MIA,NYJ,W 24-17,True,6,5,50,10.00,0,83.3%,8.33,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,51,71%,0,0%,1,4%,True,Mike Gesicki,True,24,17
2021.0,2021-11-28,12.0,12.0,26.056,MIA,CAR,W 33-10,True,3,3,17,5.67,0,100.0%,5.67,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,59,80%,0,0%,0,0%,False,Mike Gesicki,True,33,10
2021.0,2021-12-05,13.0,13.0,26.063,MIA,NYG,W 20-9,False,11,7,46,6.57,0,63.6%,4.18,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,46,67%,0,0%,0,0%,False,Mike Gesicki,True,20,9
2021.0,2021-12-19,14.0,15.0,26.077,MIA,NYJ,W 31-24,True,8,5,43,8.60,0,62.5%,5.38,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,45,63%,0,0%,0,0%,False,Mike Gesicki,True,31,24
2021.0,2021-12-27,15.0,16.0,26.085,MIA,NOR,W 20-3,True,4,3,22,7.33,0,75.0%,5.50,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,49,75%,0,0%,0,0%,True,Mike Gesicki,True,20,3
2021.0,2022-01-02,16.0,17.0,26.091,MIA,TEN,L 3-34,False,7,4,51,12.75,0,57.1%,7.29,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,47,76%,0,0%,0,0%,True,Mike Gesicki,False,3,34
2021.0,2022-01-09,17.0,18.0,26.098,MIA,NWE,W 33-24,True,3,2,22,11.00,0,66.7%,7.33,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,39,57%,0,0%,0,0%,False,Mike Gesicki,True,33,24
,64 Games,,,,,,30-34-0,False,318,199,2255,11.33,13,62.6%,7.09,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,1,13,80,0.0,1,0,1,0,0,2,2,0,0,0,0,,,,,,,False,Mike Gesicki,False,34,0
