Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2018,2018-12-23,15,16,26.025,CLE,,CIN,W 26-18,True,8,4,47,11.75,0,50.0%,5.88,1,6,6.00,0,1,1,100.00,63,0,0,118.7,0,0,63.00,63.00,1,14,14.00,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,58,84%,0,0%,1,4%,False,Jarvis Landry
2018,2018-12-30,16,17,26.032,CLE,@,BAL,L 24-26,True,9,5,102,20.40,1,55.6%,11.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,56,95%,0,0%,0,0%,True,Jarvis Landry
2019,2019-09-08,1,1,26.284,CLE,,TEN,L 13-43,True,7,4,67,16.75,0,57.1%,9.57,1,10,10.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,71,100%,0,0%,4,12%,False,Jarvis Landry
2019,2019-09-16,2,2,26.292,CLE,@,NYJ,W 23-3,True,7,3,32,10.67,0,42.9%,4.57,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,48,12.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,66,99%,0,0%,7,27%,True,Jarvis Landry
2019,2019-09-22,3,3,26.298,CLE,,LAR,L 13-20,True,9,3,62,20.67,0,33.3%,6.89,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,67,99%,0,0%,2,8%,False,Jarvis Landry
2019,2019-09-29,4,4,26.305,CLE,@,BAL,W 40-25,True,10,8,167,20.88,0,80.0%,16.70,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,51,76%,0,0%,3,11%,True,Jarvis Landry
2019,2019-10-07,5,5,26.313,CLE,@,SFO,L 3-31,True,6,4,75,18.75,0,66.7%,12.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,46,100%,0,0%,3,11%,True,Jarvis Landry
2019,2019-10-13,6,6,26.319,CLE,,SEA,L 28-32,True,5,3,36,12.00,0,60.0%,7.20,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,5,5.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,66,97%,0,0%,4,15%,False,Jarvis Landry
2019,2019-10-27,7,8,26.333,CLE,@,NWE,L 13-27,True,10,5,65,13.00,0,50.0%,6.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,56,90%,0,0%,0,0%,True,Jarvis Landry
2019,2019-11-03,8,9,26.340,CLE,@,DEN,L 19-24,True,13,6,51,8.50,1,46.2%,3.92,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,71,95%,0,0%,0,0%,True,Jarvis Landry
