Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2012,2012-12-23,15,16,,BUF,@,MIA,L 10-24,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,Chris Hogan
2012,2012-12-30,16,17,,BUF,,NYJ,W 28-9,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,Chris Hogan
2015,2015-09-20,2,2,27.331,BUF,,NWE,L 32-40,False,1,1,11,11.00,0,100.0%,11.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,11,15%,0,0%,16,46%,False,Chris Hogan
2015,2015-09-27,3,3,27.338,BUF,@,MIA,W 41-14,False,4,3,42,14.00,1,75.0%,10.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,31,48%,0,0%,14,50%,True,Chris Hogan
2015,2015-10-04,4,4,27.345,BUF,,NYG,L 10-24,True,5,5,43,8.60,0,100.0%,8.60,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,52,70%,0,0%,13,43%,False,Chris Hogan
2015,2015-10-11,5,5,27.352,BUF,@,TEN,W 14-13,False,3,3,52,17.33,1,100.0%,17.33,0,0,,0,1,1,100.00,4,0,0,83.3,0,0,4.00,4.00,0,0,,0,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,23,43%,0,0%,12,46%,True,Chris Hogan
2015,2015-10-18,6,6,27.359,BUF,,CIN,L 21-34,False,5,2,31,15.50,0,40.0%,6.20,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,53,76%,0,0%,14,50%,False,Chris Hogan
2015,2015-10-25,7,7,28.001,BUF,@,JAX,L 31-34,True,11,6,56,9.33,0,54.5%,5.09,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,76,97%,0,0%,0,0%,True,Chris Hogan
2015,2015-11-08,8,9,28.015,BUF,,MIA,W 33-17,False,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,28,51%,0,0%,11,44%,False,Chris Hogan
2015,2015-11-12,9,10,28.019,BUF,@,NYJ,W 22-17,False,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,33,51%,0,0%,10,31%,True,Chris Hogan
2015,2015-11-23,10,11,28.030,BUF,@,NWE,L 13-20,False,7,6,95,15.83,0,85.7%,13.57,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,45,63%,0,0%,15,47%,True,Chris Hogan
2015,2015-11-29,11,12,28.036,BUF,@,KAN,L 22-30,False,5,3,34,11.33,0,60.0%,6.80,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,31,43%,0,0%,13,45%,True,Chris Hogan
2015,2015-12-06,12,13,28.043,BUF,,HOU,W 30-21,False,3,1,12,12.00,0,33.3%,4.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,22,35%,0,0%,9,29%,False,Chris Hogan
2015,2015-12-13,13,14,28.050,BUF,@,PHI,L 20-23,False,5,2,20,10.00,0,40.0%,4.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,36,49%,0,0%,11,32%,True,Chris Hogan
2015,2015-12-20,14,15,28.057,BUF,@,WAS,L 25-35,False,3,1,13,13.00,0,33.3%,4.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,51,75%,0,0%,11,42%,True,Chris Hogan
2015,2015-12-27,15,16,28.064,BUF,,DAL,W 16-6,True,4,2,39,19.50,0,50.0%,9.75,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,54,87%,0,0%,4,19%,False,Chris Hogan
2015,2016-01-03,16,17,28.071,BUF,,NYJ,W 22-17,True,3,1,2,2.00,0,33.3%,0.67,1,4,4.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,62,83%,0,0%,10,36%,False,Chris Hogan
2016,2016-09-11,1,1,28.323,NWE,@,ARI,W 23-21,True,4,3,60,20.00,1,75.0%,15.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,55,77%,0,0%,0,0%,True,Chris Hogan
2016,2016-09-18,2,2,28.330,NWE,,MIA,W 31-24,True,6,4,59,14.75,0,66.7%,9.83,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,63,79%,0,0%,0,0%,False,Chris Hogan
2016,2016-09-22,3,3,28.334,NWE,,HOU,W 27-0,True,3,1,3,3.00,0,33.3%,1.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,55,89%,0,0%,0,0%,False,Chris Hogan
2016,2016-10-02,4,4,28.344,NWE,,BUF,L 0-16,True,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,52,93%,0,0%,0,0%,False,Chris Hogan
2016,2016-10-09,5,5,28.351,NWE,@,CLE,W 33-13,True,5,4,114,28.50,0,80.0%,22.80,1,2,2.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,49,61%,0,0%,3,11%,True,Chris Hogan
2016,2016-10-16,6,6,28.358,NWE,,CIN,W 35-17,True,1,1,39,39.00,0,100.0%,39.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,56,88%,0,0%,0,0%,False,Chris Hogan
2016,2016-10-23,7,7,28.365,NWE,@,PIT,W 27-16,True,2,2,25,12.50,0,100.0%,12.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,33,58%,0,0%,1,3%,True,Chris Hogan
2016,2016-10-30,8,8,29.006,NWE,@,BUF,W 41-25,True,4,4,91,22.75,1,100.0%,22.75,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,63,93%,0,0%,1,3%,True,Chris Hogan
2016,2016-11-13,9,10,29.020,NWE,,SEA,L 24-31,True,3,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,31,47%,0,0%,0,0%,False,Chris Hogan
