Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2017.0,2017-10-01,4.0,4.0,29.278,LAR,DAL,W 35-30,False,2,2,100.0,7,7,100.0,0,23,0.0,0,0,0,,,0,0%,0,0%,18,55%,True,Greg Zuerlein,True,35,30
2017.0,2017-10-08,5.0,5.0,29.285,LAR,SEA,L 10-16,False,1,1,100.0,1,2,50.0,0,4,0.0,0,0,0,,,0,0%,0,0%,6,26%,False,Greg Zuerlein,False,10,16
2017.0,2017-10-15,6.0,6.0,29.292,LAR,JAX,W 27-17,False,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,,,0,0%,0,0%,11,31%,True,Greg Zuerlein,True,27,17
2017.0,2017-10-22,7.0,7.0,29.299,LAR,ARI,W 33-0,False,3,3,100.0,4,4,100.0,0,15,0.0,0,0,0,,,0,0%,0,0%,14,58%,False,Greg Zuerlein,True,33,0
2017.0,2017-11-05,8.0,9.0,29.313,LAR,NYG,W 51-17,False,6,6,100.0,3,3,100.0,0,15,0.0,0,0,0,,,0,0%,0,0%,19,56%,True,Greg Zuerlein,True,51,17
2017.0,2017-11-12,9.0,10.0,29.32,LAR,HOU,W 33-7,False,3,3,100.0,4,4,100.0,0,15,0.0,0,0,0,,,0,0%,0,0%,15,48%,False,Greg Zuerlein,True,33,7
2017.0,2017-11-19,10.0,11.0,29.327,LAR,MIN,L 7-24,False,1,1,100.0,,,,0,1,0.0,0,0,0,,,0,0%,0,0%,3,13%,True,Greg Zuerlein,False,7,24
2017.0,2017-11-26,11.0,12.0,29.334,LAR,NOR,W 26-20,False,2,2,100.0,4,5,80.0,0,14,0.0,0,0,0,,,0,0%,0,0%,14,42%,False,Greg Zuerlein,True,26,20
2017.0,2017-12-03,12.0,13.0,29.341,LAR,ARI,W 32-16,False,2,3,66.7,4,4,100.0,0,14,0.0,0,0,0,,,0,0%,0,0%,14,45%,True,Greg Zuerlein,True,32,16
2017.0,2017-12-10,13.0,14.0,29.348,LAR,PHI,L 35-43,False,5,5,100.0,,,,0,5,0.0,0,0,0,,,0,0%,0,0%,11,31%,False,Greg Zuerlein,False,35,43
2017.0,2017-12-17,14.0,15.0,29.355,LAR,SEA,W 42-7,False,4,5,80.0,2,2,100.0,0,10,0.0,0,0,0,,,0,0%,0,0%,15,45%,True,Greg Zuerlein,True,42,7
2017.0,2017-12-24,15.0,16.0,,LAR,TEN,W 27-23,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Greg Zuerlein,True,27,23
2017.0,2017-12-31,16.0,17.0,,LAR,SFO,L 13-34,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Greg Zuerlein,False,13,34
2018.0,2018-09-10,1.0,1.0,30.257,LAR,OAK,W 33-13,False,3,3,100.0,4,5,80.0,0,15,0.0,0,0,0,,,0,0%,0,0%,16,53%,True,Greg Zuerlein,True,33,13
2018.0,2018-09-16,2.0,2.0,,LAR,ARI,W 34-0,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,Greg Zuerlein,True,34,0
2018.0,2018-09-23,3.0,3.0,,LAR,LAC,W 35-23,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Greg Zuerlein,True,35,23
2018.0,2018-09-27,4.0,4.0,,LAR,MIN,W 38-31,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Greg Zuerlein,True,38,31
2018.0,2018-10-07,5.0,5.0,,LAR,SEA,W 33-31,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Greg Zuerlein,True,33,31
2018.0,2018-10-14,6.0,6.0,,LAR,DEN,W 23-20,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Greg Zuerlein,True,23,20
2018.0,2018-10-21,7.0,7.0,30.298,LAR,SFO,W 39-10,False,4,4,100.0,3,3,100.0,0,13,0.0,0,0,0,,,0,0%,0,0%,15,50%,True,Greg Zuerlein,True,39,10
2018.0,2018-10-28,8.0,8.0,30.305,LAR,GNB,W 29-27,False,1,1,100.0,2,2,100.0,0,7,0.0,0,0,0,,,0,0%,0,0%,9,26%,False,Greg Zuerlein,True,29,27
