Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2017,2017-09-24,3,3,27.316,CHI,PIT,False,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,35,54%,0,0%,0,0%,False,True,23,17,Kendall Wright
2017,2017-09-28,4,4,27.320,CHI,GNB,True,4,4,51,12.75,1,100.0%,12.75,0,0,,0,0,0,,0,1,6,0,0,0,0,0,0,37,54%,0,0%,0,0%,True,False,14,35,Kendall Wright
2017,2017-10-09,5,5,27.331,CHI,MIN,False,5,4,46,11.50,0,80.0%,9.20,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,33,54%,0,0%,0,0%,False,False,17,20,Kendall Wright
2017,2017-10-15,6,6,27.337,CHI,BAL,False,3,2,36,18.00,0,66.7%,12.00,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,25,31%,0,0%,0,0%,True,True,27,24,Kendall Wright
2017,2017-10-22,7,7,27.344,CHI,CAR,False,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,8,21%,0,0%,0,0%,False,True,17,3,Kendall Wright
2017,2017-10-29,8,8,27.351,CHI,NOR,False,8,2,23,11.50,0,25.0%,2.88,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,38,57%,0,0%,0,0%,True,False,12,20,Kendall Wright
2017,2017-11-12,9,10,28.000,CHI,GNB,False,8,5,46,9.20,0,62.5%,5.75,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,46,77%,0,0%,0,0%,False,False,16,23,Kendall Wright
2017,2017-11-19,10,11,28.007,CHI,DET,True,4,2,25,12.50,0,50.0%,6.25,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,39,62%,0,0%,0,0%,False,False,24,27,Kendall Wright
2017,2017-11-26,11,12,28.014,CHI,PHI,False,5,2,15,7.50,0,40.0%,3.00,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,42,76%,0,0%,0,0%,True,False,3,31,Kendall Wright
2017,2017-12-03,12,13,28.021,CHI,SFO,False,2,2,25,12.50,0,100.0%,12.50,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,20,54%,0,0%,0,0%,False,False,14,15,Kendall Wright
2017,2017-12-10,13,14,28.028,CHI,CIN,True,11,10,107,10.70,0,90.9%,9.73,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,47,62%,0,0%,0,0%,True,True,33,7,Kendall Wright
2017,2017-12-16,14,15,28.034,CHI,DET,True,13,7,81,11.57,0,53.8%,6.23,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,46,67%,0,0%,0,0%,True,False,10,20,Kendall Wright
2017,2017-12-24,15,16,28.042,CHI,CLE,False,6,4,27,6.75,0,66.7%,4.50,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,32,52%,0,0%,0,0%,False,True,20,3,Kendall Wright
2017,2017-12-31,16,17,28.049,CHI,MIN,False,8,5,29,5.80,0,62.5%,3.63,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,38,68%,0,0%,0,0%,True,False,10,23,Kendall Wright
2018,2018-10-14,6,6,,ARI,MIN,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,17,27,Kendall Wright
2018,2018-11-11,9,10,,ARI,KAN,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,14,26,Kendall Wright
,82 Games,,,,,,False,529,339,3858,11.38,19,64.1%,7.29,11,90,8.18,0,3,32,10.67,0,19,114,4,2,0,1,0,0,,,,,,,False,False,54,0,Kendall Wright
