Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2017.0,2017-12-24,15.0,16.0,25.284,ATL,NOR,L 13-23,True,11,36,3.27,0,3,2,20,10.00,0,66.7%,6.67,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,42,66%,0,0%,0,0%,True,Devonta Freeman,False,13,23
2017.0,2017-12-31,16.0,17.0,25.291,ATL,CAR,W 22-10,True,11,23,2.09,0,11,9,85,9.44,1,81.8%,7.73,1,6,0.0,0,0,0,,,0,0,0,0,0,0,38,53%,0,0%,0,0%,False,Devonta Freeman,True,22,10
2018.0,2018-09-06,1.0,1.0,26.175,ATL,PHI,L 12-18,True,6,36,6.00,0,5,3,14,4.67,0,60.0%,2.80,0,0,0.0,0,0,0,,,0,0,0,0,0,0,39,56%,0,0%,0,0%,True,Devonta Freeman,False,12,18
2018.0,2018-09-16,2.0,2.0,,ATL,CAR,W 31-24,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Devonta Freeman,True,31,24
2018.0,2018-09-23,3.0,3.0,,ATL,NOR,L 37-43,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Devonta Freeman,False,37,43
2018.0,2018-09-30,4.0,4.0,,ATL,CIN,L 36-37,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Devonta Freeman,False,36,37
2018.0,2018-10-07,5.0,5.0,26.206,ATL,PIT,L 17-41,True,8,32,4.00,0,2,2,9,4.50,0,100.0%,4.50,0,0,0.0,0,0,0,,,0,0,0,0,0,0,28,39%,0,0%,0,0%,True,Devonta Freeman,False,17,41
2018.0,2018-10-14,6.0,6.0,,ATL,TAM,W 34-29,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Devonta Freeman,True,34,29
2018.0,2018-10-22,7.0,7.0,,ATL,NYG,W 23-20,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Devonta Freeman,True,23,20
2018.0,2018-11-04,8.0,9.0,,ATL,WAS,W 38-14,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Devonta Freeman,True,38,14
