Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2009,2009-10-18,6,6,23.311,OAK,PHI,True,11,6,139,23.17,1,54.5%,12.64,1,6,0,,0,0,0,0,,,,,,,False,True,13,9,Zach Miller
2009,2009-10-25,7,7,23.318,OAK,NYJ,True,2,2,15,7.50,0,100.0%,7.50,0,0,0,,0,0,0,0,,,,,,,False,False,0,38,Zach Miller
2009,2009-11-01,8,8,23.325,OAK,SDG,True,7,5,52,10.40,0,71.4%,7.43,0,0,0,,0,0,0,0,,,,,,,True,False,16,24,Zach Miller
2009,2009-11-15,9,10,23.339,OAK,KAN,True,2,1,9,9.00,0,50.0%,4.50,0,0,0,,0,0,0,0,,,,,,,False,False,10,16,Zach Miller
2009,2009-11-22,10,11,23.346,OAK,CIN,True,7,5,65,13.00,1,71.4%,9.29,1,6,0,,0,0,0,0,,,,,,,False,True,20,17,Zach Miller
2009,2009-11-26,11,12,23.350,OAK,DAL,True,6,5,73,14.60,0,83.3%,12.17,0,0,0,,0,0,0,0,,,,,,,True,False,7,24,Zach Miller
2009,2009-12-06,12,13,23.360,OAK,PIT,True,6,4,43,10.75,0,66.7%,7.17,0,0,0,,0,0,0,0,,,,,,,True,True,27,24,Zach Miller
2009,2009-12-13,13,14,24.002,OAK,WAS,True,12,7,46,6.57,0,58.3%,3.83,0,0,0,,0,0,0,0,,,,,,,False,False,13,34,Zach Miller
2009,2009-12-20,14,15,,OAK,DEN,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,20,19,Zach Miller
2009,2009-12-27,15,16,24.016,OAK,CLE,True,13,9,110,12.22,0,69.2%,8.46,0,0,0,,0,0,0,0,,,,,,,True,False,9,23,Zach Miller
2009,2010-01-03,16,17,24.023,OAK,BAL,True,9,7,38,5.43,1,77.8%,4.22,1,6,0,,0,0,0,0,,,,,,,False,False,13,21,Zach Miller
2010,2010-09-12,1,1,24.275,OAK,TEN,True,8,4,43,10.75,0,50.0%,5.38,0,0,0,,0,0,0,0,,,,,,,True,False,13,38,Zach Miller
2010,2010-09-19,2,2,24.282,OAK,STL,True,4,3,49,16.33,0,75.0%,12.25,0,0,0,,0,0,0,0,,,,,,,False,True,16,14,Zach Miller
2010,2010-09-26,3,3,24.289,OAK,ARI,True,9,4,64,16.00,1,44.4%,7.11,1,6,0,,0,0,0,0,,,,,,,True,False,23,24,Zach Miller
