Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2019.0,2019-10-27,8.0,8.0,,GNB,KAN,W 31-24,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Davante Adams,True,31,24
2019.0,2019-11-03,9.0,9.0,26.314,GNB,LAC,L 11-26,True,11,7,41,5.86,0,63.6%,3.73,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,42,84%,0,0%,0,0%,True,Davante Adams,False,11,26
2019.0,2019-11-10,10.0,10.0,26.321,GNB,CAR,W 24-16,True,10,7,118,16.86,0,70.0%,11.80,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,50,78%,0,0%,0,0%,False,Davante Adams,True,24,16
2019.0,2019-11-24,11.0,12.0,26.335,GNB,SFO,L 8-37,True,12,7,43,6.14,1,58.3%,3.58,1,1,8,0.0,0,0,0,0,0,0,0,0,0,0,0,59,75%,0,0%,0,0%,True,Davante Adams,False,8,37
2019.0,2019-12-01,12.0,13.0,26.342,GNB,NYG,W 31-13,True,10,6,64,10.67,2,60.0%,6.40,,2,12,0.0,0,0,0,0,0,1,0,0,0,0,0,51,78%,0,0%,0,0%,True,Davante Adams,True,31,13
2019.0,2019-12-08,13.0,14.0,26.349,GNB,WAS,W 20-15,True,6,4,41,10.25,0,66.7%,6.83,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,50,83%,0,0%,1,4%,False,Davante Adams,True,20,15
2019.0,2019-12-15,14.0,15.0,26.356,GNB,CHI,W 21-13,True,13,7,103,14.71,1,53.8%,7.92,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,55,93%,0,0%,0,0%,False,Davante Adams,True,21,13
2019.0,2019-12-23,15.0,16.0,26.364,GNB,MIN,W 23-10,True,16,13,116,8.92,0,81.3%,7.25,,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,62,81%,0,0%,0,0%,True,Davante Adams,True,23,10
2019.0,2019-12-29,16.0,17.0,27.005,GNB,DET,W 23-20,True,13,7,93,13.29,1,53.8%,7.15,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,78,89%,0,0%,0,0%,True,Davante Adams,True,23,20
2020.0,2020-09-13,1.0,1.0,27.264,GNB,MIN,W 43-34,True,17,14,156,11.14,2,82.4%,9.18,,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,70,90%,0,0%,1,4%,True,Davante Adams,True,43,34
