Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2013,2013-10-27,8,8,24.353,NYJ,CIN,True,4,3,27,9.00,0,75.0%,6.75,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,65,97%,0,0%,0,0%,True,False,9,49,Jeremy Kerley
2013,2013-11-03,9,9,24.360,NYJ,NOR,True,2,1,1,1.00,0,50.0%,0.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,13,21%,0,0%,0,0%,False,True,26,20,Jeremy Kerley
2013,2013-11-17,10,11,,NYJ,BUF,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,14,37,Jeremy Kerley
2013,2013-11-24,11,12,,NYJ,BAL,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,3,19,Jeremy Kerley
2013,2013-12-01,12,13,,NYJ,MIA,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,False,3,23,Jeremy Kerley
2013,2013-12-08,13,14,25.030,NYJ,OAK,True,7,4,41,10.25,1,57.1%,5.86,1,3,3.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,27,47%,0,0%,0,0%,False,True,37,27,Jeremy Kerley
2013,2013-12-15,14,15,25.037,NYJ,CAR,False,3,1,25,25.00,0,33.3%,8.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,33,53%,0,0%,0,0%,True,False,20,30,Jeremy Kerley
2013,2013-12-22,15,16,25.044,NYJ,CLE,True,11,5,70,14.00,0,45.5%,6.36,1,8,8.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,59,77%,0,0%,0,0%,False,True,24,13,Jeremy Kerley
2013,2013-12-29,16,17,25.051,NYJ,MIA,True,8,5,40,8.00,0,62.5%,5.00,1,1,1.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,7,7.00,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,54,75%,0,0%,4,17%,True,True,20,7,Jeremy Kerley
2014,2014-09-07,1,1,25.303,NYJ,OAK,False,5,5,38,7.60,0,100.0%,7.60,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,45,64%,0,0%,1,4%,False,True,19,14,Jeremy Kerley
2014,2014-09-14,2,2,25.310,NYJ,GNB,True,8,3,22,7.33,0,37.5%,2.75,0,37,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,45,63%,0,0%,0,0%,True,False,24,31,Jeremy Kerley
2014,2014-09-22,3,3,25.318,NYJ,CHI,True,11,7,81,11.57,1,63.6%,7.36,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,10,5.00,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,65,88%,0,0%,4,13%,False,False,19,27,Jeremy Kerley
2014,2014-09-28,4,4,25.324,NYJ,DET,False,3,1,3,3.00,0,33.3%,1.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,49,77%,0,0%,0,0%,False,False,17,24,Jeremy Kerley
2014,2014-10-05,5,5,25.331,NYJ,SDG,False,6,3,24,8.00,0,50.0%,4.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,52,91%,0,0%,0,0%,True,False,0,31,Jeremy Kerley
2014,2014-10-12,6,6,25.338,NYJ,DEN,True,7,1,4,4.00,0,14.3%,0.57,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,39,62%,0,0%,0,0%,False,False,17,31,Jeremy Kerley
2014,2014-10-16,7,7,25.342,NYJ,NWE,True,5,2,29,14.50,0,40.0%,5.80,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,51,59%,0,0%,0,0%,True,False,25,27,Jeremy Kerley
2014,2014-10-26,8,8,25.352,NYJ,BUF,False,5,2,25,12.50,0,40.0%,5.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,2,1.00,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,62,74%,0,0%,6,17%,False,False,23,43,Jeremy Kerley
2014,2014-11-02,9,9,25.359,NYJ,KAN,False,4,2,11,5.50,0,50.0%,2.75,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,3,3.00,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,39,57%,0,0%,4,20%,True,False,10,24,Jeremy Kerley
