Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Def Interceptions_Int,Def Interceptions_Yds,Def Interceptions_TD,Def Interceptions_PD,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2016,2016-09-18,2,2,23.318,NYG,,NOR,W 16-13,True,11,8,86,10.75,0,72.7%,7.82,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,0,0,0,0,78,99%,0,0%,0,0%,False,Odell Beckham Jr.
2016,2016-09-25,3,3,23.325,NYG,,WAS,L 27-29,True,11,7,121,17.29,0,63.6%,11.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,0,0,0,0,67,100%,0,0%,0,0%,False,Odell Beckham Jr.
2016,2016-10-03,4,4,23.333,NYG,@,MIN,L 10-24,True,9,3,23,7.67,0,33.3%,2.56,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,0,0,0,0,66,100%,0,0%,0,0%,True,Odell Beckham Jr.
2016,2016-10-09,5,5,23.339,NYG,@,GNB,L 16-23,True,12,5,56,11.20,1,41.7%,4.67,0,0,,0,0,0,,0,0,0,,1,6,,,0,0,,0,0,0,,0,1,6,0.0,0,0,0,,,0,,0,0,0,0,0,0,0,0,56,100%,0,0%,1,3%,True,Odell Beckham Jr.
2016,2016-10-16,6,6,23.346,NYG,,BAL,W 27-23,True,10,8,222,27.75,2,80.0%,22.20,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,2,12,0.0,0,0,0,,,0,,0,0,1,1,0,0,0,0,55,82%,0,0%,0,0%,False,Odell Beckham Jr.
2016,2016-10-23,7,7,23.353,NYG,@,LAR,W 17-10,True,9,5,49,9.80,0,55.6%,5.44,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,0,0.00,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,0,0,0,0,54,95%,0,0%,2,7%,True,Odell Beckham Jr.
2016,2016-11-06,8,9,24.001,NYG,,PHI,W 28-23,True,10,4,46,11.50,2,40.0%,4.60,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,2,12,0.0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,62,97%,0,0%,0,0%,False,Odell Beckham Jr.
2016,2016-11-14,9,10,24.009,NYG,,CIN,W 21-20,True,11,10,97,9.70,1,90.9%,8.82,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6,0.0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,75,100%,1,2%,0,0%,False,Odell Beckham Jr.
2016,2016-11-20,10,11,24.015,NYG,,CHI,W 22-16,True,7,5,46,9.20,0,71.4%,6.57,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,1,0,0,0,0,0,67,100%,0,0%,0,0%,False,Odell Beckham Jr.
2016,2016-11-27,11,12,24.022,NYG,@,CLE,W 27-13,True,11,6,96,16.00,2,54.5%,8.73,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,35,11.67,0,2,12,0.0,0,0,0,,,0,,0,0,0,0,0,0,0,0,44,79%,0,0%,4,12%,True,Odell Beckham Jr.
2016,2016-12-04,12,13,24.029,NYG,@,PIT,L 14-24,True,16,10,100,10.00,0,62.5%,6.25,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,0,0,0,0,59,98%,0,0%,1,4%,True,Odell Beckham Jr.
2016,2016-12-11,13,14,24.036,NYG,,DAL,W 10-7,True,9,4,94,23.50,1,44.4%,10.44,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,22,5.50,0,1,6,0.0,0,0,0,0,0,0,,0,0,1,0,0,1,0,0,67,100%,0,0%,8,30%,False,Odell Beckham Jr.
2016,2016-12-18,14,15,24.043,NYG,,DET,W 17-6,True,8,6,64,10.67,1,75.0%,8.00,1,9,9.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,9,4.50,0,1,6,0.0,0,0,0,,,0,,0,0,0,0,0,0,0,0,60,94%,0,0%,2,8%,False,Odell Beckham Jr.
2016,2016-12-22,15,16,24.047,NYG,@,PHI,L 19-24,True,20,11,150,13.64,0,55.0%,7.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,0,0,0,0,88,99%,0,0%,2,7%,True,Odell Beckham Jr.
2016,2017-01-01,16,17,24.057,NYG,@,WAS,W 19-10,True,7,5,44,8.80,0,71.4%,6.29,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,0,0,0,0,48,67%,0,0%,0,0%,True,Odell Beckham Jr.
2017,2017-09-10,1,1,,NYG,@,DAL,L 3-19,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Odell Beckham Jr.
2017,2017-09-18,2,2,24.317,NYG,,DET,L 10-24,False,5,4,36,9.00,0,80.0%,7.20,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,34,61%,0,0%,0,0%,False,Odell Beckham Jr.
