Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2020,2020-11-29,12,12,24.233,CAR,@,MIN,L 27-28,False,3,3,100.0,2,4,50.0,0,9,0.0,1,0,1,0,0,0,0%,0,0%,13,45%,True,Joey Slye
2020,2020-12-13,13,14,24.247,CAR,,DEN,L 27-32,False,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,0,0,0,0%,0,0%,11,37%,False,Joey Slye
2020,2020-12-19,14,15,24.253,CAR,@,GNB,L 16-24,False,1,1,100.0,3,3,100.0,0,10,0.0,0,0,0,0,0,0,0%,0,0%,9,32%,True,Joey Slye
2020,2020-12-27,15,16,24.261,CAR,@,WAS,W 20-13,False,2,3,66.7,,,,0,2,0.0,0,0,0,0,0,0,0%,0,0%,7,32%,True,Joey Slye
2020,2021-01-03,16,17,24.268,CAR,,NOR,L 7-33,False,1,1,100.0,,,,0,1,0.0,0,0,0,0,0,0,0%,0,0%,3,13%,False,Joey Slye
2021,2021-09-12,1,1,25.155,HOU,,JAX,W 37-21,False,4,4,100.0,3,3,100.0,0,13,0.0,0,0,0,0,0,0,0%,0,0%,15,43%,False,Joey Slye
2021,2021-09-19,2,2,25.162,HOU,@,CLE,L 21-31,False,3,3,100.0,,1,0.0,0,3,0.0,0,1,1,0,0,0,0%,0,0%,8,32%,True,Joey Slye
2021,2021-09-23,3,3,25.166,HOU,,CAR,L 9-24,False,,1,0.0,1,1,100.0,0,3,0.0,0,0,0,0,0,0,0%,0,0%,5,22%,False,Joey Slye
2021,2021-10-10,5,5,25.183,SFO,@,ARI,L 10-17,False,1,1,100.0,1,1,100.0,0,4,0.0,0,0,0,0,0,0,0%,0,0%,5,26%,True,Joey Slye
2021,2021-10-24,6,7,25.197,SFO,,IND,L 18-30,False,,1,0.0,2,2,100.0,0,6,0.0,0,0,0,0,0,0,0%,0,0%,8,29%,False,Joey Slye
