Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2015,2015-11-15,9,10,24.278,DEN,,KAN,L 13-29,False,2,9,4.50,0,1,0,0,,0,0.0%,0.00,,0,0,0,0,0,0,0,0,27,38%,0,0%,0,0%,False,C.J. Anderson
2015,2015-11-22,10,11,24.285,DEN,@,CHI,W 17-15,False,12,59,4.92,0,2,2,13,6.50,0,100.0%,6.50,,0,0,0,0,0,0,0,0,30,43%,0,0%,0,0%,True,C.J. Anderson
2015,2015-11-29,11,12,24.292,DEN,,NWE,W 30-24,False,15,113,7.53,2,4,4,40,10.00,0,100.0%,10.00,,2,12,0,0,0,0,0,0,44,56%,0,0%,1,3%,False,C.J. Anderson
2015,2015-12-06,12,13,24.299,DEN,@,SDG,W 17-3,False,7,42,6.00,0,1,1,12,12.00,0,100.0%,12.00,,0,0,0,0,0,0,0,0,13,19%,0,0%,0,0%,True,C.J. Anderson
2015,2015-12-13,13,14,,DEN,,OAK,L 12-15,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,C.J. Anderson
2015,2015-12-20,14,15,24.313,DEN,@,PIT,L 27-34,False,4,14,3.50,0,3,1,6,6.00,0,33.3%,2.00,,0,0,0,0,0,0,0,0,37,48%,0,0%,0,0%,True,C.J. Anderson
2015,2015-12-28,15,16,24.321,DEN,,CIN,W 20-17,False,9,73,8.11,1,2,1,8,8.00,0,50.0%,4.00,,1,6,1,1,0,0,0,0,31,48%,0,0%,0,0%,False,C.J. Anderson
2015,2016-01-03,16,17,24.327,DEN,,SDG,W 27-20,False,15,95,6.33,1,3,1,-5,-5.00,0,33.3%,-1.67,,1,6,1,1,0,0,0,0,28,42%,0,0%,0,0%,False,C.J. Anderson
2016,2016-09-08,1,1,25.211,DEN,,CAR,W 21-20,True,20,92,4.60,1,5,4,47,11.75,1,80.0%,9.40,,2,12,0,0,0,0,0,0,48,83%,0,0%,0,0%,False,C.J. Anderson
2016,2016-09-18,2,2,25.221,DEN,,IND,W 34-20,True,20,74,3.70,1,5,3,19,6.33,0,60.0%,3.80,,1,6,0,0,0,0,0,0,47,66%,0,0%,0,0%,False,C.J. Anderson
2016,2016-09-25,3,3,25.228,DEN,@,CIN,W 29-17,True,14,37,2.64,0,4,1,4,4.00,0,25.0%,1.00,,0,0,0,0,0,0,0,0,48,72%,0,0%,0,0%,True,C.J. Anderson
2016,2016-10-02,4,4,25.235,DEN,@,TAM,W 27-7,True,19,49,2.58,1,1,1,3,3.00,0,100.0%,3.00,,1,6,0,0,0,0,0,0,48,67%,0,0%,0,0%,True,C.J. Anderson
2016,2016-10-09,5,5,25.242,DEN,,ATL,L 16-23,True,11,41,3.73,0,4,3,21,7.00,0,75.0%,5.25,,0,0,0,0,0,0,0,0,36,51%,0,0%,0,0%,False,C.J. Anderson
2016,2016-10-13,6,6,25.246,DEN,@,SDG,L 13-21,True,10,37,3.70,0,5,4,34,8.50,0,80.0%,6.80,,0,0,0,0,0,0,0,0,58,78%,0,0%,0,0%,True,C.J. Anderson
2016,2016-10-24,7,7,25.257,DEN,,HOU,W 27-9,True,16,107,6.69,1,0,0,0,,0,0.0%,,,1,6,0,0,0,0,0,0,29,45%,0,0%,0,0%,False,C.J. Anderson
2016,2016-10-30,8,8,,DEN,,SDG,W 27-19,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,C.J. Anderson
