Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2011,2011-09-26,3,3,24.141,DAL,WAS,True,14,115,8.21,0,3,3,40,13.33,0,100.0%,13.33,0,0,,0,0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,,,,,,,False,True,18,16,Felix Jones
2011,2011-10-02,4,4,24.147,DAL,DET,True,16,57,3.56,0,7,5,19,3.80,0,71.4%,2.71,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,30,34,Felix Jones
2011,2011-10-16,5,6,24.161,DAL,NWE,True,7,12,1.71,0,4,2,19,9.50,0,50.0%,4.75,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,16,20,Felix Jones
2011,2011-10-23,6,7,,DAL,STL,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,34,7,Felix Jones
2011,2011-10-30,7,8,,DAL,PHI,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,7,34,Felix Jones
2011,2011-11-06,8,9,,DAL,SEA,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,23,13,Felix Jones
2011,2011-11-13,9,10,,DAL,BUF,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,44,7,Felix Jones
2011,2011-11-20,10,11,24.196,DAL,WAS,False,5,18,3.60,0,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,27,24,Felix Jones
2011,2011-11-24,11,12,24.200,DAL,MIA,False,0,0,,0,1,1,4,4.00,0,100.0%,4.00,4,74,18.50,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,20,19,Felix Jones
2011,2011-12-04,12,13,24.210,DAL,ARI,False,6,36,6.00,0,2,1,7,7.00,0,50.0%,3.50,3,112,37.33,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,13,19,Felix Jones
2011,2011-12-11,13,14,24.217,DAL,NYG,False,16,106,6.63,0,7,6,31,5.17,0,85.7%,4.43,0,0,,0,0,0,0.0,0,0,0,,,1,1,0,0,0,0,,,,,,,False,False,34,37,Felix Jones
2011,2011-12-17,14,15,24.223,DAL,TAM,True,22,108,4.91,0,4,3,23,7.67,0,75.0%,5.75,0,0,,0,0,0,0.0,0,0,0,,,1,0,0,0,0,0,,,,,,,True,True,31,15,Felix Jones
2011,2011-12-24,15,16,24.230,DAL,PHI,True,4,24,6.00,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,7,20,Felix Jones
2011,2012-01-01,16,17,24.238,DAL,NYG,True,11,30,2.73,0,8,7,47,6.71,0,87.5%,5.88,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,14,31,Felix Jones
2012,2012-09-05,1,1,25.120,DAL,NYG,False,0,0,,0,2,0,0,,0,0.0%,0.00,3,61,20.33,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,10,16%,0,0%,4,18%,True,True,24,17,Felix Jones
2012,2012-09-16,2,2,25.131,DAL,SEA,False,1,1,1.00,0,5,4,40,10.00,0,80.0%,8.00,5,109,21.80,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,18,32%,0,0%,6,25%,True,False,7,27,Felix Jones
2012,2012-09-23,3,3,25.138,DAL,TAM,True,1,-1,-1.00,0,2,2,28,14.00,0,100.0%,14.00,1,18,18.00,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,11,16%,0,0%,3,12%,False,True,16,10,Felix Jones
