Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2017.0,2017-10-15,6.0,6.0,24.022,CLE,HOU,L 17-33,False,5,40,8.00,0,5,3,-1,-0.33,0,60.0%,-0.20,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,30,45%,0,0%,0,0%,True,Duke Johnson,False,17,33
2017.0,2017-10-22,7.0,7.0,24.029,CLE,TEN,L 9-12,False,7,26,3.71,0,7,6,45,7.50,0,85.7%,6.43,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,36,49%,0,0%,0,0%,False,Duke Johnson,False,9,12
2017.0,2017-10-29,8.0,8.0,24.036,CLE,MIN,L 16-33,False,6,33,5.50,0,5,4,10,2.50,0,80.0%,2.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,22,37%,0,0%,0,0%,False,Duke Johnson,False,16,33
2017.0,2017-11-12,9.0,10.0,24.05,CLE,DET,L 24-38,False,10,54,5.40,0,6,6,34,5.67,0,100.0%,5.67,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,48,59%,0,0%,0,0%,True,Duke Johnson,False,24,38
2017.0,2017-11-19,10.0,11.0,24.057,CLE,JAX,L 7-19,False,2,10,5.00,0,6,4,56,14.00,1,66.7%,9.33,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,0,0,1,0,0,0,0,0,27,49%,0,0%,0,0%,False,Duke Johnson,False,7,19
2017.0,2017-11-26,11.0,12.0,24.064,CLE,CIN,L 16-30,False,6,35,5.83,0,5,4,32,8.00,0,80.0%,6.40,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,38,54%,0,0%,0,0%,True,Duke Johnson,False,16,30
2017.0,2017-12-03,12.0,13.0,24.071,CLE,LAC,L 10-19,False,7,2,0.29,0,4,2,10,5.00,0,50.0%,2.50,0,0,,0,0,0,,0,0,,,0,0,,0,1,12,12.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,34,54%,0,0%,2,10%,True,Duke Johnson,False,10,19
2017.0,2017-12-10,13.0,14.0,24.078,CLE,GNB,L 21-27,False,6,8,1.33,0,4,4,41,10.25,1,100.0%,10.25,0,0,,0,0,0,,0,0,,,0,0,,0,2,5,2.50,0,,1,6,0.0,0,0,0,0,0,1,0,0,1,0,0,25,43%,0,0%,5,21%,False,Duke Johnson,False,21,27
2017.0,2017-12-17,14.0,15.0,24.085,CLE,BAL,L 10-27,False,7,23,3.29,1,7,5,40,8.00,0,71.4%,5.71,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,,,1,1,0,0,0,0,42,67%,0,0%,0,0%,False,Duke Johnson,False,10,27
2017.0,2017-12-24,15.0,16.0,24.092,CLE,CHI,L 3-20,False,4,20,5.00,0,7,7,81,11.57,0,100.0%,11.57,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,29,49%,0,0%,0,0%,True,Duke Johnson,False,3,20
