Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2006,2006-12-17,14,15,23.108,ARI,,DEN,L 20-37,True,6,5,77,15.40,0,83.3%,12.83,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,,0,0,0,0,,,,,,,False,Larry Fitzgerald
2006,2006-12-24,15,16,23.115,ARI,@,SFO,W 26-20,True,7,4,93,23.25,1,57.1%,13.29,0,0,,0,0,0,,0,0,0,,0,0,,,,1,6,0,,0,0,0,0,,,,,,,True,Larry Fitzgerald
2006,2006-12-31,16,17,23.122,ARI,@,SDG,L 20-27,True,9,4,33,8.25,1,44.4%,3.67,0,0,,0,0,0,,0,0,0,,0,0,,,,1,6,0,,0,0,0,0,,,,,,,True,Larry Fitzgerald
2007,2007-09-10,1,1,24.010,ARI,@,SFO,L 17-20,True,9,3,20,6.67,0,33.3%,2.22,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,,0,0,0,0,,,,,,,True,Larry Fitzgerald
2007,2007-09-16,2,2,24.016,ARI,,SEA,W 23-20,True,13,7,87,12.43,0,53.8%,6.69,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,,0,0,0,0,,,,,,,False,Larry Fitzgerald
2007,2007-09-23,3,3,24.023,ARI,@,BAL,L 23-26,True,10,5,85,17.00,0,50.0%,8.50,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,1,1,0,0,0,0,,,,,,,True,Larry Fitzgerald
2007,2007-09-30,4,4,24.030,ARI,,PIT,W 21-14,True,12,10,120,12.00,0,83.3%,10.00,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,1,1,0,0,0,0,,,,,,,False,Larry Fitzgerald
2007,2007-10-07,5,5,24.037,ARI,@,STL,W 34-31,True,14,9,136,15.11,1,64.3%,9.71,0,0,,0,0,0,,0,0,0,,0,0,,,,1,6,0,,0,0,0,0,,,,,,,True,Larry Fitzgerald
2007,2007-10-14,6,6,24.044,ARI,,CAR,L 10-25,True,8,6,97,16.17,0,75.0%,12.13,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,1,1,0,0,0,0,,,,,,,False,Larry Fitzgerald
2007,2007-10-21,7,7,24.051,ARI,@,WAS,L 19-21,True,11,6,97,16.17,0,54.5%,8.82,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,,0,0,0,0,,,,,,,True,Larry Fitzgerald
2007,2007-11-04,8,9,24.065,ARI,@,TAM,L 10-17,True,11,4,95,23.75,0,36.4%,8.64,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,,0,0,0,0,,,,,,,True,Larry Fitzgerald
2007,2007-11-11,9,10,24.072,ARI,,DET,W 31-21,True,9,8,74,9.25,2,88.9%,8.22,0,0,,0,0,0,,0,0,0,,0,0,,,,2,12,0,,0,0,0,0,,,,,,,False,Larry Fitzgerald
2007,2007-11-18,10,11,24.079,ARI,@,CIN,W 35-27,True,13,8,93,11.63,1,61.5%,7.15,0,0,,0,0,0,,0,0,0,,0,0,,,,1,6,0,,0,0,0,0,,,,,,,True,Larry Fitzgerald
2007,2007-11-25,11,12,24.086,ARI,,SFO,L 31-37,True,15,9,156,17.33,2,60.0%,10.40,0,0,,0,0,0,,0,0,0,,0,0,,,,2,12,0,,0,0,0,0,,,,,,,False,Larry Fitzgerald
2007,2007-12-02,12,13,,ARI,,CLE,W 27-21,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Larry Fitzgerald
2007,2007-12-09,13,14,24.100,ARI,@,SEA,L 21-42,True,10,6,79,13.17,1,60.0%,7.90,0,0,,0,0,0,,0,0,0,,0,0,,,,1,6,0,,0,0,0,0,,,,,,,True,Larry Fitzgerald
2007,2007-12-16,14,15,24.107,ARI,@,NOR,L 24-31,True,3,2,27,13.50,1,66.7%,9.00,0,0,,0,0,0,,0,0,0,,0,0,,,,1,6,0,,0,0,0,0,,,,,,,True,Larry Fitzgerald
2007,2007-12-23,15,16,24.114,ARI,,ATL,W 30-27,True,11,6,72,12.00,0,54.5%,6.55,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,,0,0,0,0,,,,,,,False,Larry Fitzgerald
2007,2007-12-30,16,17,24.121,ARI,,STL,W 48-19,True,18,11,171,15.55,2,61.1%,9.50,0,0,,0,0,0,,0,0,0,,0,0,,,,2,12,0,,0,0,0,0,,,,,,,False,Larry Fitzgerald
2008,2008-09-07,1,1,25.007,ARI,@,SFO,W 23-13,True,4,3,31,10.33,1,75.0%,7.75,0,0,,0,0,0,,0,0,0,,0,0,,,,1,6,0,,0,0,0,0,,,,,,,True,Larry Fitzgerald
2008,2008-09-14,2,2,25.014,ARI,,MIA,W 31-10,True,9,6,153,25.50,0,66.7%,17.00,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,,0,0,0,0,,,,,,,False,Larry Fitzgerald
2008,2008-09-21,3,3,25.021,ARI,@,WAS,L 17-24,True,12,7,109,15.57,1,58.3%,9.08,0,0,,0,0,0,,0,0,0,,0,0,,,,1,6,0,,0,0,0,0,,,,,,,True,Larry Fitzgerald
2008,2008-09-28,4,4,25.028,ARI,@,NYJ,L 35-56,True,15,8,122,15.25,0,53.3%,8.13,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,,0,0,0,0,,,,,,,True,Larry Fitzgerald
2008,2008-10-05,5,5,25.035,ARI,,BUF,W 41-17,True,10,7,52,7.43,2,70.0%,5.20,0,0,,0,0,0,,0,0,0,,0,0,,,,2,12,0,,0,0,0,0,,,,,,,False,Larry Fitzgerald
2008,2008-10-12,6,6,25.042,ARI,,DAL,W 30-24,True,7,5,79,15.80,1,71.4%,11.29,0,0,,0,0,0,,0,0,0,,0,0,,,,1,6,0,,0,0,0,0,,,,,,,False,Larry Fitzgerald
2008,2008-10-26,7,8,25.056,ARI,@,CAR,L 23-27,True,11,7,115,16.43,0,63.6%,10.45,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,,0,0,0,0,,,,,,,True,Larry Fitzgerald
2008,2008-11-02,8,9,25.063,ARI,@,STL,W 34-13,True,9,6,81,13.50,0,66.7%,9.00,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,,0,0,0,0,,,,,,,True,Larry Fitzgerald
2008,2008-11-10,9,10,25.071,ARI,,SFO,W 29-24,True,10,8,46,5.75,1,80.0%,4.60,0,0,,0,0,0,,0,0,0,,0,0,,,,1,6,0,,0,0,0,0,,,,,,,False,Larry Fitzgerald
2008,2008-11-16,10,11,25.077,ARI,@,SEA,W 26-20,True,14,10,151,15.10,0,71.4%,10.79,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,1,0,0,0,0,0,,,,,,,True,Larry Fitzgerald
2008,2008-11-23,11,12,25.084,ARI,,NYG,L 29-37,True,7,5,71,14.20,0,71.4%,10.14,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,,0,0,0,0,,,,,,,False,Larry Fitzgerald
2008,2008-11-27,12,13,25.088,ARI,@,PHI,L 20-48,True,8,5,65,13.00,2,62.5%,8.13,0,0,,0,0,0,,0,0,0,,0,0,,,,2,12,0,,0,0,0,0,,,,,,,True,Larry Fitzgerald
2008,2008-12-07,13,14,25.098,ARI,,STL,W 34-10,True,9,6,73,12.17,1,66.7%,8.11,0,0,,0,0,0,,0,0,0,,0,0,,,,1,6,0,,0,0,0,0,,,,,,,False,Larry Fitzgerald
2008,2008-12-14,14,15,25.105,ARI,,MIN,L 14-35,True,11,5,52,10.40,0,45.5%,4.73,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,,0,0,0,0,,,,,,,False,Larry Fitzgerald
2008,2008-12-21,15,16,25.112,ARI,@,NWE,L 7-47,True,10,3,101,33.67,1,30.0%,10.10,0,0,,0,0,0,,0,0,0,,0,0,,,,1,6,0,,0,0,0,0,,,,,,,True,Larry Fitzgerald
2008,2008-12-28,16,17,25.119,ARI,,SEA,W 34-21,True,8,5,130,26.00,2,62.5%,16.25,0,0,,0,0,0,,0,0,0,,0,0,,,,2,12,0,,0,0,0,0,,,,,,,False,Larry Fitzgerald
2009,2009-09-13,1,1,26.013,ARI,,SFO,L 16-20,True,11,6,71,11.83,1,54.5%,6.45,0,0,,0,0,0,,0,0,0,,0,0,,,,1,6,0,,0,0,0,0,,,,,,,False,Larry Fitzgerald
