Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2019,2019-12-22,15,16,,SEA,,ARI,L 13-27,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Rashaad Penny
2019,2019-12-29,16,17,,SEA,,SFO,L 21-26,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Rashaad Penny
2020,2020-09-13,1,1,,SEA,@,ATL,W 38-25,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,Rashaad Penny
2020,2020-09-20,2,2,,SEA,,NWE,W 35-30,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Rashaad Penny
2020,2020-09-27,3,3,,SEA,,DAL,W 38-31,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Rashaad Penny
2020,2020-10-04,4,4,,SEA,@,MIA,W 31-23,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,Rashaad Penny
2020,2020-10-11,5,5,,SEA,,MIN,W 27-26,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Rashaad Penny
2020,2020-10-25,6,7,,SEA,@,ARI,L 34-37,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,Rashaad Penny
2020,2020-11-01,7,8,,SEA,,SFO,W 37-27,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Rashaad Penny
2020,2020-11-08,8,9,,SEA,@,BUF,L 34-44,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,Rashaad Penny
