Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2019.0,2019-10-13,6.0,6.0,22.071,TAM,CAR,L 26-37,False,4,10,2.50,1,0,0,0,,0,0.0%,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,13,16%,0,0%,0,0%,False,Ronald Jones II,False,26,37
2019.0,2019-10-27,7.0,8.0,22.085,TAM,TEN,L 23-27,False,11,35,3.18,0,3,1,17,17.00,0,33.3%,5.67,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,21,26%,0,0%,6,21%,True,Ronald Jones II,False,23,27
2019.0,2019-11-03,8.0,9.0,22.092,TAM,SEA,L 34-40,True,18,67,3.72,1,2,2,15,7.50,0,100.0%,7.50,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,42,55%,0,0%,0,0%,True,Ronald Jones II,False,34,40
2019.0,2019-11-10,9.0,10.0,22.099,TAM,ARI,W 30-27,True,11,29,2.64,1,8,8,77,9.63,0,100.0%,9.63,1,6,0.0,0,0,0,0,0,1,1,0,0,0,0,38,46%,0,0%,0,0%,False,Ronald Jones II,True,30,27
2019.0,2019-11-17,10.0,11.0,22.106,TAM,NOR,L 17-34,True,4,13,3.25,0,4,2,1,0.50,0,50.0%,0.25,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,20,30%,0,0%,0,0%,False,Ronald Jones II,False,17,34
2019.0,2019-11-24,11.0,12.0,22.113,TAM,ATL,W 35-22,True,12,51,4.25,1,3,3,16,5.33,0,100.0%,5.33,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,32,50%,0,0%,0,0%,True,Ronald Jones II,True,35,22
2019.0,2019-12-01,12.0,13.0,22.12,TAM,JAX,W 28-11,True,6,8,1.33,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,21,28%,0,0%,0,0%,True,Ronald Jones II,True,28,11
2019.0,2019-12-08,13.0,14.0,22.127,TAM,IND,W 38-35,True,11,36,3.27,0,5,4,23,5.75,0,80.0%,4.60,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,27,35%,0,0%,0,0%,False,Ronald Jones II,True,38,35
2019.0,2019-12-15,14.0,15.0,22.134,TAM,DET,W 38-17,True,11,23,2.09,0,3,1,26,26.00,0,33.3%,8.67,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,34,45%,0,0%,0,0%,True,Ronald Jones II,True,38,17
2019.0,2019-12-21,15.0,16.0,22.14,TAM,HOU,L 20-23,True,14,77,5.50,1,4,3,32,10.67,0,75.0%,8.00,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,37,51%,0,0%,0,0%,False,Ronald Jones II,False,20,23
2019.0,2019-12-29,16.0,17.0,22.148,TAM,ATL,L 22-28,True,11,106,9.64,0,2,2,10,5.00,0,100.0%,5.00,0,0,0.0,0,0,0,0,0,2,1,0,0,0,0,23,44%,0,0%,0,0%,False,Ronald Jones II,False,22,28
2020.0,2020-09-13,1.0,1.0,23.041,TAM,NOR,L 23-34,True,17,66,3.88,0,3,2,16,8.00,0,66.7%,5.33,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,33,47%,0,0%,0,0%,True,Ronald Jones II,False,23,34
2020.0,2020-09-20,2.0,2.0,23.048,TAM,CAR,W 31-17,True,7,23,3.29,1,2,2,4,2.00,0,100.0%,2.00,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,21,34%,0,0%,0,0%,False,Ronald Jones II,True,31,17
2020.0,2020-09-27,3.0,3.0,23.055,TAM,DEN,W 28-10,True,13,53,4.08,0,4,2,20,10.00,0,50.0%,5.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,35,51%,0,0%,0,0%,True,Ronald Jones II,True,28,10
2020.0,2020-10-04,4.0,4.0,23.062,TAM,LAC,W 38-31,True,20,111,5.55,0,9,6,17,2.83,0,66.7%,1.89,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,49,64%,0,0%,0,0%,False,Ronald Jones II,True,38,31
2020.0,2020-10-08,5.0,5.0,23.066,TAM,CHI,L 19-20,True,17,106,6.24,0,5,3,19,6.33,0,60.0%,3.80,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,49,69%,0,0%,0,0%,True,Ronald Jones II,False,19,20
2020.0,2020-10-18,6.0,6.0,23.076,TAM,GNB,W 38-10,True,23,113,4.91,2,2,2,8,4.00,0,100.0%,4.00,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,36,56%,0,0%,0,0%,False,Ronald Jones II,True,38,10
2020.0,2020-10-25,7.0,7.0,23.083,TAM,LVR,W 45-20,True,13,34,2.62,1,2,1,2,2.00,0,50.0%,1.00,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,31,43%,0,0%,0,0%,True,Ronald Jones II,True,45,20
2020.0,2020-11-02,8.0,8.0,23.091,TAM,NYG,W 25-23,True,7,23,3.29,0,4,4,23,5.75,0,100.0%,5.75,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,17,24%,0,0%,0,0%,True,Ronald Jones II,True,25,23
2020.0,2020-11-08,9.0,9.0,23.097,TAM,NOR,L 3-38,True,3,9,3.00,0,4,3,9,3.00,0,75.0%,2.25,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,16,32%,0,0%,0,0%,False,Ronald Jones II,False,3,38
2020.0,2020-11-15,10.0,10.0,23.104,TAM,CAR,W 46-23,True,23,192,8.35,1,2,1,6,6.00,0,50.0%,3.00,1,6,0.0,0,0,0,0,0,1,1,0,0,0,0,47,59%,0,0%,0,0%,True,Ronald Jones II,True,46,23
2020.0,2020-11-23,11.0,11.0,23.112,TAM,LAR,L 24-27,True,10,24,2.40,0,1,0,0,,0,0.0%,0.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,25,36%,0,0%,0,0%,False,Ronald Jones II,False,24,27
2020.0,2020-11-29,12.0,12.0,23.118,TAM,KAN,L 24-27,True,9,66,7.33,0,2,1,37,37.00,1,50.0%,18.50,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,21,36%,0,0%,0,0%,False,Ronald Jones II,False,24,27
2020.0,2020-12-13,13.0,14.0,23.132,TAM,MIN,W 26-14,True,18,80,4.44,1,2,1,4,4.00,0,50.0%,2.00,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,34,67%,0,0%,0,0%,False,Ronald Jones II,True,26,14
