Year,Date,G#,Week,Age,Tm,Opp,GS,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2007,2007-11-18,10,11,25.237,SDG,JAX,False,2,2,100.0,1,1,100.0,0,5,0.0,,,,,,0,0,,0,,,,,,,True,False,17,24,Nate Kaeding
2007,2007-11-25,11,12,25.244,SDG,BAL,False,2,2,100.0,4,4,100.0,0,14,0.0,,,,,,0,0,,0,,,,,,,False,True,32,14,Nate Kaeding
2007,2007-12-02,12,13,25.251,SDG,KAN,False,3,3,100.0,1,2,50.0,0,6,0.0,,,,,,0,0,,0,,,,,,,True,True,24,10,Nate Kaeding
2007,2007-12-09,13,14,25.258,SDG,TEN,False,2,2,100.0,1,1,100.0,0,5,0.0,,,,,,0,0,,0,,,,,,,True,True,23,17,Nate Kaeding
2007,2007-12-16,14,15,25.265,SDG,DET,False,6,6,100.0,3,3,100.0,0,15,0.0,,,,,,0,0,,0,,,,,,,False,True,51,14,Nate Kaeding
2007,2007-12-24,15,16,25.273,SDG,DEN,False,2,2,100.0,3,3,100.0,0,11,0.0,,,,,,0,0,,0,,,,,,,False,True,23,3,Nate Kaeding
2007,2007-12-30,16,17,25.279,SDG,OAK,False,3,3,100.0,3,3,100.0,0,12,0.0,,,,,,0,0,,0,,,,,,,True,True,30,17,Nate Kaeding
2008,2008-09-07,1,1,26.165,SDG,CAR,False,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,,,0,0,,0,,,,,,,False,False,24,26,Nate Kaeding
2008,2008-09-14,2,2,26.172,SDG,DEN,False,3,3,100.0,3,3,100.0,0,12,0.0,0,0,0,,,0,0,,0,,,,,,,True,False,38,39,Nate Kaeding
2008,2008-09-22,3,3,26.180,SDG,NYJ,False,6,6,100.0,2,2,100.0,0,12,0.0,1,0,1,0,0,0,0,,0,,,,,,,False,True,48,29,Nate Kaeding
2008,2008-09-28,4,4,26.186,SDG,OAK,False,2,2,100.0,2,4,50.0,0,8,0.0,0,0,0,,,0,0,,0,,,,,,,True,True,28,18,Nate Kaeding
2008,2008-10-05,5,5,26.193,SDG,MIA,False,1,1,100.0,1,1,100.0,0,4,0.0,0,0,0,,,0,0,,0,,,,,,,True,False,10,17,Nate Kaeding
2008,2008-10-12,6,6,26.200,SDG,NWE,False,3,3,100.0,3,4,75.0,0,12,0.0,0,0,0,,,0,0,,0,,,,,,,False,True,30,10,Nate Kaeding
2008,2008-10-19,7,7,26.207,SDG,BUF,False,2,2,100.0,,,,0,2,0.0,0,0,0,,,0,0,,0,,,,,,,True,False,14,23,Nate Kaeding
2008,2008-10-26,8,8,26.214,SDG,NOR,False,3,3,100.0,3,3,100.0,0,12,0.0,0,0,0,,,0,0,,0,,,,,,,True,False,32,37,Nate Kaeding
2008,2008-11-09,9,10,26.228,SDG,KAN,False,2,2,100.0,2,2,100.0,0,8,0.0,0,0,0,,,0,0,,0,,,,,,,False,True,20,19,Nate Kaeding
2008,2008-11-16,10,11,26.235,SDG,PIT,False,1,1,100.0,1,2,50.0,0,4,0.0,1,0,1,0,0,0,0,,0,,,,,,,True,False,10,11,Nate Kaeding
2008,2008-11-23,11,12,26.242,SDG,IND,False,2,2,100.0,2,2,100.0,0,8,0.0,0,0,0,,,0,0,,0,,,,,,,False,False,20,23,Nate Kaeding
2008,2008-11-30,12,13,26.249,SDG,ATL,False,1,1,100.0,1,2,50.0,0,4,0.0,0,0,0,,,0,0,,0,,,,,,,False,False,16,22,Nate Kaeding
2008,2008-12-04,13,14,26.253,SDG,OAK,False,4,4,100.0,2,2,100.0,0,10,0.0,0,0,0,,,0,0,,0,,,,,,,False,True,34,7,Nate Kaeding
2008,2008-12-14,14,15,26.263,SDG,KAN,False,1,1,100.0,1,1,100.0,0,4,0.0,0,0,0,,,0,0,,0,,,,,,,True,True,22,21,Nate Kaeding
2008,2008-12-21,15,16,26.270,SDG,TAM,False,5,5,100.0,2,2,100.0,0,11,0.0,0,0,0,,,0,0,,0,,,,,,,True,True,41,24,Nate Kaeding
2008,2008-12-28,16,17,26.277,SDG,DEN,False,7,7,100.0,1,1,100.0,0,10,0.0,0,0,0,,,0,0,,0,,,,,,,False,True,52,21,Nate Kaeding
2009,2009-09-14,1,1,27.172,SDG,OAK,False,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,,,0,0,,0,,,,,,,True,True,24,20,Nate Kaeding
2009,2009-09-20,2,2,27.178,SDG,BAL,False,2,2,100.0,4,4,100.0,0,14,0.0,0,0,0,,,0,0,,0,,,,,,,False,False,26,31,Nate Kaeding
2009,2009-09-27,3,3,27.185,SDG,MIA,False,2,2,100.0,3,4,75.0,0,11,0.0,0,0,0,,,0,0,,0,,,,,,,False,True,23,13,Nate Kaeding
2009,2009-10-04,4,4,27.192,SDG,PIT,False,4,4,100.0,,,,0,4,0.0,0,0,0,,,0,0,,0,,,,,,,True,False,28,38,Nate Kaeding
2009,2009-10-19,5,6,27.207,SDG,DEN,False,2,2,100.0,3,4,75.0,0,11,0.0,0,0,0,,,0,0,,0,,,,,,,False,False,23,34,Nate Kaeding
2009,2009-10-25,6,7,27.213,SDG,KAN,False,4,4,100.0,3,4,75.0,0,13,0.0,1,0,1,0,0,0,0,,0,,,,,,,True,True,37,7,Nate Kaeding
2009,2009-11-01,7,8,27.220,SDG,OAK,False,3,3,100.0,1,1,100.0,0,6,0.0,1,0,1,0,0,0,0,,0,,,,,,,False,True,24,16,Nate Kaeding
2009,2009-11-08,8,9,27.227,SDG,NYG,False,3,3,100.0,,,,0,3,0.0,0,0,0,,,0,0,,0,,,,,,,True,True,21,20,Nate Kaeding
2009,2009-11-15,9,10,27.234,SDG,PHI,False,4,4,100.0,1,1,100.0,0,7,0.0,0,0,0,,,0,0,,0,,,,,,,False,True,31,23,Nate Kaeding
2009,2009-11-22,10,11,27.241,SDG,DEN,False,2,3,66.7,4,4,100.0,0,14,0.0,0,0,0,,,0,0,,0,,,,,,,True,True,32,3,Nate Kaeding
2009,2009-11-29,11,12,27.248,SDG,KAN,False,5,5,100.0,2,2,100.0,0,11,0.0,0,0,0,,,0,0,,0,,,,,,,False,True,43,14,Nate Kaeding
2009,2009-12-06,12,13,27.255,SDG,CLE,False,3,3,100.0,3,3,100.0,0,12,0.0,0,0,0,,,0,0,,0,,,,,,,True,True,30,23,Nate Kaeding
2009,2009-12-13,13,14,27.262,SDG,DAL,False,2,2,100.0,2,2,100.0,0,8,0.0,0,0,0,,,0,0,,0,,,,,,,True,True,20,17,Nate Kaeding
2009,2009-12-20,14,15,27.269,SDG,CIN,False,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,,,0,0,,0,,,,,,,False,True,27,24,Nate Kaeding
2009,2009-12-25,15,16,27.274,SDG,TEN,False,6,6,100.0,,,,0,6,0.0,0,0,0,,,0,0,,0,,,,,,,True,True,42,17,Nate Kaeding
2009,2010-01-03,16,17,27.283,SDG,WAS,False,2,2,100.0,3,3,100.0,0,11,0.0,0,0,0,,,0,0,,0,,,,,,,False,True,23,20,Nate Kaeding
2010,2010-09-13,1,1,28.171,SDG,KAN,False,2,2,100.0,,,,0,2,0.0,0,0,0,,,0,0,,0,,,,,,,True,False,14,21,Nate Kaeding
2010,2010-09-19,2,2,28.177,SDG,JAX,False,5,5,100.0,1,1,100.0,0,8,0.0,0,0,0,,,0,0,,0,,,,,,,False,True,38,13,Nate Kaeding
2010,2010-09-26,3,3,28.184,SDG,SEA,False,1,1,100.0,1,1,100.0,0,4,0.0,0,0,0,,,0,0,,0,,,,,,,True,False,20,27,Nate Kaeding
2010,2010-10-03,4,4,28.191,SDG,ARI,False,5,5,100.0,2,3,66.7,0,11,0.0,0,0,0,,,0,0,,0,,,,,,,False,True,41,10,Nate Kaeding
2010,2010-10-10,5,5,28.198,SDG,OAK,False,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,,,0,0,,0,,,,,,,True,False,27,35,Nate Kaeding
2010,2010-10-17,6,6,28.205,SDG,STL,False,2,2,100.0,1,2,50.0,0,5,0.0,0,0,0,,,0,0,,0,,,,,,,True,False,17,20,Nate Kaeding
2010,2010-10-24,7,7,,SDG,NWE,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,False,20,23,Nate Kaeding
2010,2010-10-31,8,8,,SDG,TEN,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,33,25,Nate Kaeding
