Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Def Interceptions_Int,Def Interceptions_Yds,Def Interceptions_TD,Def Interceptions_PD,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2004,2004-09-19,2,2,28.119,ATL,STL,False,0,0,,0,0,0,0,,0,0.0%,,4,4,100.0,2,2,100.0,0,10,0.0,,,,,,0,0,0,0,0,,0,0,0,0,,,,,,,False,True,34,17,Jay Feely
2004,2004-09-26,3,3,28.126,ATL,ARI,False,0,0,,0,0,0,0,,0,0.0%,,,,,2,2,100.0,0,6,0.0,,,,,,0,0,0,0,0,,0,0,0,0,,,,,,,False,True,6,3,Jay Feely
2004,2004-10-03,4,4,28.133,ATL,CAR,False,0,0,,0,0,0,0,,0,0.0%,,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,,,,,,True,True,27,10,Jay Feely
2004,2004-10-10,5,5,28.140,ATL,DET,False,0,0,,0,1,1,-2,-2.00,0,100.0%,-2.00,1,1,100.0,1,1,100.0,0,4,0.0,,,,,,0,0,0,0,0,,0,0,0,0,,,,,,,False,False,10,17,Jay Feely
2004,2004-10-17,6,6,28.147,ATL,SDG,False,0,0,,0,0,0,0,,0,0.0%,,3,3,100.0,,,,0,3,0.0,,,,,,,,,,0,,,0,0,0,,,,,,,False,True,21,20,Jay Feely
2004,2004-10-24,7,7,28.154,ATL,KAN,False,0,0,,0,0,0,0,,0,0.0%,,1,1,100.0,1,1,100.0,0,4,0.0,1,0,1,0,,0,0,0,0,0,,0,0,0,0,,,,,,,True,False,10,56,Jay Feely
2004,2004-10-31,8,8,28.161,ATL,DEN,False,0,0,,0,0,0,0,,0,0.0%,,5,5,100.0,2,3,66.7,0,11,0.0,,,,,,0,0,0,0,0,,0,0,0,0,,,,,,,True,True,41,28,Jay Feely
2004,2004-11-14,9,10,28.175,ATL,TAM,False,0,0,,0,0,0,0,,0,0.0%,,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,,,,,,False,True,24,14,Jay Feely
2004,2004-11-21,10,11,28.182,ATL,NYG,False,0,0,,0,0,0,0,,0,0.0%,,2,2,100.0,,1,0.0,0,2,0.0,,,,,,0,0,0,0,0,,0,0,0,0,,,,,,,True,True,14,10,Jay Feely
2004,2004-11-28,11,12,28.189,ATL,NOR,False,0,0,,0,0,0,0,,0,0.0%,,3,3,100.0,1,2,50.0,0,6,0.0,,,,,,0,0,0,0,0,,0,0,0,0,,,,,,,False,True,24,21,Jay Feely
