Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Def Interceptions_Int,Def Interceptions_Yds,Def Interceptions_TD,Def Interceptions_PD,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2013.0,2013-09-08,1.0,1.0,24.308,DAL,NYG,W 36-31,True,8,4,22,5.50,0,50.0%,2.75,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,72,94%,0,0%,1,3%,False,Dez Bryant,True,36,31
2013.0,2013-09-15,2.0,2.0,24.315,DAL,KAN,L 16-17,True,13,9,141,15.67,1,69.2%,10.85,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,0,0,0,0,56,88%,0,0%,0,0%,True,Dez Bryant,False,16,17
2013.0,2013-09-22,3.0,3.0,24.322,DAL,STL,W 31-7,True,6,4,38,9.50,1,66.7%,6.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,0,0,0,0,62,100%,0,0%,0,0%,False,Dez Bryant,True,31,7
2013.0,2013-09-29,4.0,4.0,24.329,DAL,SDG,L 21-30,True,9,6,81,13.50,2,66.7%,9.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,2,12,0,0,0,0,0,0,0,0,0,0,59,100%,0,0%,0,0%,True,Dez Bryant,False,21,30
2013.0,2013-10-06,5.0,5.0,24.336,DAL,DEN,L 48-51,True,10,6,141,23.50,2,60.0%,14.10,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,2,12,0,0,0,0,1,1,0,0,0,0,56,97%,0,0%,0,0%,False,Dez Bryant,False,48,51
2013.0,2013-10-13,6.0,6.0,24.343,DAL,WAS,W 31-16,True,8,5,36,7.20,0,62.5%,4.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,48,89%,0,0%,0,0%,False,Dez Bryant,True,31,16
2013.0,2013-10-20,7.0,7.0,24.35,DAL,PHI,W 17-3,True,16,8,110,13.75,0,50.0%,6.88,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,73,95%,0,0%,0,0%,True,Dez Bryant,True,17,3
2013.0,2013-10-27,8.0,8.0,24.357,DAL,DET,L 30-31,True,6,3,72,24.00,2,50.0%,12.00,1,1,1.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,2,12,0,0,0,0,0,0,0,0,0,0,55,96%,0,0%,0,0%,True,Dez Bryant,False,30,31
2013.0,2013-11-03,9.0,9.0,24.364,DAL,MIN,W 27-23,True,11,6,64,10.67,0,54.5%,5.82,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,63,97%,1,1%,0,0%,False,Dez Bryant,True,27,23
2013.0,2013-11-10,10.0,10.0,25.006,DAL,NOR,L 17-49,True,2,1,44,44.00,0,50.0%,22.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,42,93%,0,0%,0,0%,True,Dez Bryant,False,17,49
2013.0,2013-11-24,11.0,12.0,25.02,DAL,NYG,W 24-21,True,16,9,86,9.56,0,56.3%,5.38,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,1,1,0,0,0,0,0,65,100%,1,1%,0,0%,True,Dez Bryant,True,24,21
2013.0,2013-11-28,12.0,13.0,25.024,DAL,OAK,W 31-24,True,9,7,61,8.71,1,77.8%,6.78,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0,0,0,0,1,0,0,0,0,0,63,93%,0,0%,1,3%,False,Dez Bryant,True,31,24
2013.0,2013-12-09,13.0,14.0,25.035,DAL,CHI,L 28-45,True,4,2,12,6.00,1,50.0%,3.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,0,0,0,0,42,76%,0,0%,0,0%,True,Dez Bryant,False,28,45
2013.0,2013-12-15,14.0,15.0,25.041,DAL,GNB,L 36-37,True,17,11,153,13.91,1,64.7%,9.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,0,0,0,0,67,92%,1,1%,1,3%,False,Dez Bryant,False,36,37
2013.0,2013-12-22,15.0,16.0,25.048,DAL,WAS,W 24-23,True,11,4,73,18.25,1,36.4%,6.64,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,0,0,0,0,48,91%,0,0%,0,0%,True,Dez Bryant,True,24,23
2013.0,2013-12-29,16.0,17.0,25.055,DAL,PHI,L 22-24,True,13,8,99,12.38,1,61.5%,7.62,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,0,0,0,0,64,97%,0,0%,0,0%,False,Dez Bryant,False,22,24
