Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2016,2016-10-30,7,8,24.200,SEA,@,NOR,L 20-25,False,3,2,33,16.50,0,66.7%,11.00,0,0,,0,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,14,26%,0,0%,5,19%,True,Paul Richardson
2016,2016-11-07,8,9,24.208,SEA,,BUF,W 31-25,False,1,1,15,15.00,0,100.0%,15.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,8,17%,0,0%,1,4%,False,Paul Richardson
2016,2016-11-13,9,10,24.214,SEA,@,NWE,W 31-24,False,3,2,52,26.00,0,66.7%,17.33,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,18,26%,0,0%,0,0%,True,Paul Richardson
2016,2016-11-20,10,11,24.221,SEA,,PHI,W 26-15,False,3,1,6,6.00,0,33.3%,2.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,20,30%,0,0%,0,0%,False,Paul Richardson
2016,2016-11-27,11,12,24.228,SEA,@,TAM,L 5-14,False,3,1,17,17.00,0,33.3%,5.67,0,0,,0,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,15,24%,0,0%,2,10%,True,Paul Richardson
2016,2016-12-04,12,13,,SEA,,CAR,W 40-7,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Paul Richardson
2016,2016-12-11,13,14,24.242,SEA,@,GNB,L 10-38,False,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,12,17%,0,0%,0,0%,True,Paul Richardson
2016,2016-12-15,14,15,24.246,SEA,,LAR,W 24-3,False,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,11,18%,0,0%,0,0%,False,Paul Richardson
2016,2016-12-24,15,16,24.255,SEA,,ARI,L 31-34,False,5,4,42,10.50,1,80.0%,8.40,0,0,,0,2,56,28.00,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,49,59%,0,0%,4,12%,False,Paul Richardson
2016,2017-01-01,16,17,24.263,SEA,@,SFO,W 25-23,False,7,4,40,10.00,0,57.1%,5.71,1,5,5.00,0,1,10,10.00,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,43,67%,0,0%,1,3%,True,Paul Richardson
2017,2017-09-10,1,1,25.150,SEA,@,GNB,L 9-17,True,7,4,59,14.75,0,57.1%,8.43,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,41,84%,0,0%,1,4%,True,Paul Richardson
2017,2017-09-17,2,2,25.157,SEA,,SFO,W 12-9,True,5,2,19,9.50,1,40.0%,3.80,0,0,,0,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,39,48%,0,0%,0,0%,False,Paul Richardson
2017,2017-09-24,3,3,25.164,SEA,@,TEN,L 27-33,True,7,2,30,15.00,1,28.6%,4.29,0,0,,0,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,62,85%,0,0%,0,0%,True,Paul Richardson
2017,2017-10-01,4,4,25.171,SEA,,IND,W 46-18,True,3,3,65,21.67,0,100.0%,21.67,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,50,74%,0,0%,4,13%,False,Paul Richardson
2017,2017-10-08,5,5,25.178,SEA,@,LAR,W 16-10,True,5,3,35,11.67,0,60.0%,7.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,47,69%,0,0%,1,4%,True,Paul Richardson
2017,2017-10-22,6,7,25.192,SEA,@,NYG,W 24-7,True,2,2,61,30.50,1,100.0%,30.50,0,0,,0,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,49,64%,0,0%,0,0%,True,Paul Richardson
2017,2017-10-29,7,8,25.199,SEA,,HOU,W 41-38,True,7,6,105,17.50,2,85.7%,15.00,0,0,,0,0,0,,0,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,56,81%,0,0%,0,0%,False,Paul Richardson
2017,2017-11-05,8,9,25.206,SEA,,WAS,L 14-17,False,3,3,41,13.67,0,100.0%,13.67,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,68,82%,0,0%,0,0%,False,Paul Richardson
2017,2017-11-09,9,10,25.210,SEA,@,ARI,W 22-16,False,2,1,43,43.00,0,50.0%,21.50,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,33,52%,0,0%,0,0%,True,Paul Richardson
2017,2017-11-20,10,11,25.221,SEA,,ATL,L 31-34,True,8,5,56,11.20,0,62.5%,7.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,61,82%,0,0%,0,0%,False,Paul Richardson
2017,2017-11-26,11,12,25.227,SEA,@,SFO,W 24-13,True,7,4,70,17.50,0,57.1%,10.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,57,84%,0,0%,0,0%,True,Paul Richardson
2017,2017-12-03,12,13,25.234,SEA,,PHI,W 24-10,True,4,2,8,4.00,0,50.0%,2.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,52,84%,0,0%,0,0%,False,Paul Richardson
2017,2017-12-10,13,14,25.241,SEA,@,JAX,L 24-30,True,7,3,72,24.00,1,42.9%,10.29,0,0,,0,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,58,94%,0,0%,0,0%,True,Paul Richardson
2017,2017-12-17,14,15,25.248,SEA,,LAR,L 7-42,False,7,2,18,9.00,0,28.6%,2.57,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,45,82%,0,0%,0,0%,False,Paul Richardson
2017,2017-12-24,15,16,25.255,SEA,@,DAL,W 21-12,True,4,2,21,10.50,0,50.0%,5.25,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,48,84%,0,0%,0,0%,True,Paul Richardson
2017,2017-12-31,16,17,25.262,SEA,,ARI,L 24-26,True,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,51,88%,0,0%,0,0%,False,Paul Richardson
2018,2018-09-09,1,1,26.149,WAS,@,ARI,W 24-6,True,6,4,22,5.50,0,66.7%,3.67,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,61,77%,0,0%,0,0%,True,Paul Richardson
2018,2018-09-16,2,2,26.156,WAS,,IND,L 9-21,True,6,4,63,15.75,0,66.7%,10.50,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,68,92%,0,0%,0,0%,False,Paul Richardson
2018,2018-09-23,3,3,26.163,WAS,,GNB,W 31-17,False,2,1,46,46.00,1,50.0%,23.00,0,0,,0,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,45,74%,0,0%,0,0%,False,Paul Richardson
2018,2018-10-08,4,5,26.178,WAS,@,NOR,L 19-43,False,5,4,50,12.50,0,80.0%,10.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,42,69%,0,0%,0,0%,True,Paul Richardson
2018,2018-10-14,5,6,26.184,WAS,,CAR,W 23-17,False,5,3,31,10.33,1,60.0%,6.20,1,2,2.00,0,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,52,74%,0,0%,0,0%,False,Paul Richardson
2018,2018-10-21,6,7,,WAS,,DAL,W 20-17,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Paul Richardson
2018,2018-10-28,7,8,26.198,WAS,@,NYG,W 20-13,True,5,2,34,17.00,0,40.0%,6.80,1,7,7.00,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,46,68%,0,0%,0,0%,True,Paul Richardson
