Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2017.0,2017-11-05,8.0,9.0,24.006,TEN,BAL,W 23-20,True,19,28,67.86,218,2,1,100.0,3,32,7.79,7.61,3,6,2.00,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,52,100%,0,0%,0,0%,False,Marcus Mariota,True,23,20
2017.0,2017-11-12,9.0,10.0,24.013,TEN,CIN,W 24-20,True,25,44,56.82,264,1,1,72.5,4,28,6.00,5.43,6,51,8.50,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,90,100%,0,0%,0,0%,False,Marcus Mariota,True,24,20
2017.0,2017-11-16,10.0,11.0,24.017,TEN,PIT,L 17-40,True,22,33,66.67,306,1,4,66.8,5,42,9.27,4.42,5,5,1.00,1,0,0,0,,0,0.0%,,1,6,0,0,0,0,0,0,65,100%,0,0%,0,0%,True,Marcus Mariota,False,17,40
2017.0,2017-11-26,11.0,12.0,24.027,TEN,IND,W 20-16,True,17,25,68.00,184,1,2,69.4,0,0,7.36,4.56,3,4,1.33,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,58,100%,0,0%,0,0%,True,Marcus Mariota,True,20,16
2017.0,2017-12-03,12.0,13.0,24.034,TEN,HOU,W 24-13,True,15,23,65.22,150,1,0,98.1,2,4,6.52,7.39,3,23,7.67,1,0,0,0,,0,0.0%,,1,6,0,0,0,0,0,0,54,100%,0,0%,0,0%,False,Marcus Mariota,True,24,13
2017.0,2017-12-10,13.0,14.0,24.041,TEN,ARI,L 7-12,True,16,31,51.61,159,0,2,39.6,3,20,5.13,2.23,2,11,5.50,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,60,100%,0,0%,0,0%,True,Marcus Mariota,False,7,12
2017.0,2017-12-17,14.0,15.0,24.048,TEN,SFO,L 23-25,True,23,33,69.70,241,2,0,110.8,1,3,7.30,8.52,2,4,2.00,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,63,100%,0,0%,0,0%,True,Marcus Mariota,False,23,25
2017.0,2017-12-24,15.0,16.0,24.055,TEN,LAR,L 23-27,True,22,39,56.41,275,0,1,67.8,1,6,7.05,5.90,3,24,8.00,0,0,0,0,,0,0.0%,,0,0,1,0,0,1,0,0,68,100%,0,0%,0,0%,False,Marcus Mariota,False,23,27
2017.0,2017-12-31,16.0,17.0,24.062,TEN,JAX,W 15-10,True,12,21,57.14,134,1,0,92.2,3,18,6.38,7.33,10,60,6.00,0,0,0,0,,0,0.0%,,0,0,1,1,0,0,-7,0,65,100%,0,0%,0,0%,False,Marcus Mariota,True,15,10
2018.0,2018-09-09,1.0,1.0,24.314,TEN,MIA,L 20-27,True,9,16,56.25,103,0,2,36.2,0,0,6.44,0.81,3,15,5.00,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,36,52%,0,0%,0,0%,True,Marcus Mariota,False,20,27
2018.0,2018-09-16,2.0,2.0,,TEN,HOU,W 20-17,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,Marcus Mariota,True,20,17
2018.0,2018-09-23,3.0,3.0,24.328,TEN,JAX,W 9-6,False,12,18,66.67,100,0,0,80.8,1,8,5.56,5.56,7,51,7.29,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,53,85%,0,0%,0,0%,True,Marcus Mariota,True,9,6
2018.0,2018-09-30,4.0,4.0,24.335,TEN,PHI,W 26-23,True,30,43,69.77,344,2,1,99.4,3,17,8.00,7.88,10,46,4.60,1,0,0,0,,0,0.0%,,1,6,1,0,0,0,0,0,71,100%,0,0%,0,0%,False,Marcus Mariota,True,26,23
2018.0,2018-10-07,5.0,5.0,24.342,TEN,BUF,L 12-13,True,14,26,53.85,129,0,1,51.6,2,8,4.96,3.23,2,10,5.00,0,0,0,0,,0,0.0%,,0,0,1,0,0,0,0,0,54,100%,0,0%,0,0%,True,Marcus Mariota,False,12,13
2018.0,2018-10-14,6.0,6.0,24.349,TEN,BAL,L 0-21,True,10,15,66.67,117,0,0,90.1,11,66,7.80,7.80,2,25,12.50,0,0,0,0,,0,0.0%,,0,0,1,0,0,1,0,0,44,100%,0,0%,0,0%,False,Marcus Mariota,False,0,21
2018.0,2018-10-21,7.0,7.0,24.356,TEN,LAC,L 19-20,True,24,32,75.00,237,1,1,92.8,2,11,7.41,6.63,7,38,5.43,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,71,100%,0,0%,0,0%,True,Marcus Mariota,False,19,20
2018.0,2018-11-05,8.0,9.0,25.006,TEN,DAL,W 28-14,True,21,29,72.41,240,2,0,119.9,4,25,8.28,9.66,10,32,3.20,1,0,0,0,,0,0.0%,,1,6,2,2,0,0,0,0,70,100%,0,0%,0,0%,True,Marcus Mariota,True,28,14
2018.0,2018-11-11,9.0,10.0,25.012,TEN,NWE,W 34-10,True,16,24,66.67,228,2,0,125.0,2,14,9.50,11.17,2,21,10.50,0,1,1,21,21.00,0,100.0%,21.00,0,0,0,0,0,0,0,0,65,100%,0,0%,0,0%,False,Marcus Mariota,True,34,10
2018.0,2018-11-18,10.0,11.0,25.019,TEN,IND,L 10-38,True,10,13,76.92,85,0,1,61.4,4,19,6.54,3.08,4,17,4.25,0,0,0,0,,0,0.0%,,0,0,1,0,0,0,0,0,35,56%,0,0%,0,0%,True,Marcus Mariota,False,10,38
2018.0,2018-11-26,11.0,12.0,25.027,TEN,HOU,L 17-34,True,22,23,95.65,303,2,0,147.7,6,43,13.17,14.91,6,28,4.67,0,0,0,0,,0,0.0%,,0,0,1,0,0,0,0,0,55,100%,0,0%,0,0%,True,Marcus Mariota,False,17,34
2018.0,2018-12-02,12.0,13.0,25.033,TEN,NYJ,W 26-22,True,20,35,57.14,282,2,1,90.4,3,9,8.06,7.91,4,43,10.75,0,0,0,0,,0,0.0%,,0,0,2,0,0,1,0,0,67,99%,0,0%,0,0%,False,Marcus Mariota,True,26,22
