Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2010,2011-01-02,16,17,29.116,SDG,DEN,False,9,2,57,28.50,0,22.2%,6.33,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,33,28,Malcom Floyd
2011,2011-09-11,1,1,30.003,SDG,MIN,True,8,3,45,15.00,0,37.5%,5.63,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,24,17,Malcom Floyd
2011,2011-09-18,2,2,30.010,SDG,NWE,True,2,2,59,29.50,0,100.0%,29.50,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,21,35,Malcom Floyd
2011,2011-09-25,3,3,30.017,SDG,KAN,False,5,2,28,14.00,0,40.0%,5.60,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,20,17,Malcom Floyd
2011,2011-10-02,4,4,30.024,SDG,MIA,True,3,2,26,13.00,0,66.7%,8.67,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,26,16,Malcom Floyd
2011,2011-10-09,5,5,30.031,SDG,DEN,True,7,3,100,33.33,1,42.9%,14.29,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,29,24,Malcom Floyd
2011,2011-10-23,6,7,30.045,SDG,NYJ,True,4,2,36,18.00,0,50.0%,9.00,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,21,27,Malcom Floyd
2011,2011-10-31,7,8,30.053,SDG,KAN,False,7,5,107,21.40,0,71.4%,15.29,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,20,23,Malcom Floyd
2011,2011-11-06,8,9,,SDG,GNB,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,False,38,45,Malcom Floyd
2011,2011-11-10,9,10,,SDG,OAK,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,False,17,24,Malcom Floyd
