Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2018.0,2018-12-02,12.0,13.0,27.288,CHI,NYG,L 27-30,True,7,3,17,5.67,0,42.9%,2.43,0,0,,0,0,0,,0,,0,0,1,1,0,0,0,0,76,92%,0,0%,1,3%,True,Taylor Gabriel,False,27,30
2018.0,2018-12-09,13.0,14.0,27.295,CHI,LAR,W 15-6,True,7,3,22,7.33,0,42.9%,3.14,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,57,80%,0,0%,0,0%,False,Taylor Gabriel,True,15,6
2018.0,2018-12-16,14.0,15.0,27.302,CHI,GNB,W 24-17,True,3,3,33,11.00,0,100.0%,11.00,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,46,77%,0,0%,0,0%,False,Taylor Gabriel,True,24,17
2018.0,2018-12-23,15.0,16.0,27.309,CHI,SFO,W 14-9,False,3,3,28,9.33,0,100.0%,9.33,1,8,8.00,0,0,0,,0,,0,0,0,0,0,0,0,0,51,80%,0,0%,0,0%,True,Taylor Gabriel,True,14,9
2018.0,2018-12-30,16.0,17.0,27.316,CHI,MIN,W 24-10,True,4,4,61,15.25,0,100.0%,15.25,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,28,41%,0,0%,0,0%,True,Taylor Gabriel,True,24,10
2019.0,2019-09-05,1.0,1.0,28.2,CHI,GNB,L 3-10,False,5,2,24,12.00,0,40.0%,4.80,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,65,92%,0,0%,0,0%,False,Taylor Gabriel,False,3,10
2019.0,2019-09-15,2.0,2.0,28.21,CHI,DEN,W 16-14,True,2,1,11,11.00,0,50.0%,5.50,1,14,14.00,0,0,0,,0,,0,0,0,0,0,0,0,0,52,87%,0,0%,0,0%,True,Taylor Gabriel,True,16,14
2019.0,2019-09-23,3.0,3.0,28.218,CHI,WAS,W 31-15,True,7,6,75,12.50,3,85.7%,10.71,1,7,7.00,0,0,0,,0,,3,18,0,0,0,0,0,0,46,73%,0,0%,0,0%,True,Taylor Gabriel,True,31,15
2019.0,2019-09-29,4.0,4.0,,CHI,MIN,W 16-6,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Taylor Gabriel,True,16,6
2019.0,2019-10-06,5.0,5.0,,CHI,OAK,L 21-24,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Taylor Gabriel,False,21,24
2019.0,2019-10-20,6.0,7.0,28.245,CHI,NOR,L 25-36,True,2,1,6,6.00,0,50.0%,3.00,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,37,58%,0,0%,0,0%,False,Taylor Gabriel,False,25,36
2019.0,2019-10-27,7.0,8.0,28.252,CHI,LAC,L 16-17,True,6,4,53,13.25,0,66.7%,8.83,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,59,74%,0,0%,0,0%,False,Taylor Gabriel,False,16,17
2019.0,2019-11-03,8.0,9.0,28.259,CHI,PHI,L 14-22,True,3,3,69,23.00,0,100.0%,23.00,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,30,68%,0,0%,0,0%,True,Taylor Gabriel,False,14,22
2019.0,2019-11-10,9.0,10.0,28.266,CHI,DET,W 20-13,False,6,4,39,9.75,1,66.7%,6.50,1,-1,-1.00,0,0,0,,0,,1,6,0,0,0,0,0,0,48,86%,0,0%,0,0%,False,Taylor Gabriel,True,20,13
2019.0,2019-11-17,10.0,11.0,28.273,CHI,LAR,L 7-17,True,14,7,57,8.14,0,50.0%,4.07,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,69,91%,0,0%,0,0%,True,Taylor Gabriel,False,7,17
2019.0,2019-11-24,11.0,12.0,28.28,CHI,NYG,W 19-14,True,3,1,19,19.00,0,33.3%,6.33,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,39,53%,0,0%,0,0%,False,Taylor Gabriel,True,19,14
2019.0,2019-11-28,12.0,13.0,,CHI,DET,W 24-20,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Taylor Gabriel,True,24,20
2019.0,2019-12-05,13.0,14.0,,CHI,DAL,W 31-24,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Taylor Gabriel,True,31,24
