Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2009.0,2009-12-27,15.0,16.0,27.136,BAL,PIT,L 20-23,False,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,4,146,36.50,0,,,,,,,True,Sam Koch,False,20,23
2009.0,2010-01-03,16.0,17.0,27.143,BAL,OAK,W 21-13,False,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,5,212,42.40,0,,,,,,,True,Sam Koch,True,21,13
2010.0,2010-09-13,1.0,1.0,28.031,BAL,NYJ,W 10-9,False,0,0,,0,0,0,,0,,,,0,0,,0,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,6,244,40.67,0,,,,,,,True,Sam Koch,True,10,9
2010.0,2010-09-19,2.0,2.0,28.037,BAL,CIN,L 10-15,False,0,0,,0,0,0,,0,,,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,7,257,36.71,0,,,,,,,True,Sam Koch,False,10,15
2010.0,2010-09-26,3.0,3.0,28.044,BAL,CLE,W 24-17,False,0,0,,0,0,0,,0,,,,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,3,146,48.67,0,,,,,,,False,Sam Koch,True,24,17
2010.0,2010-10-03,4.0,4.0,28.051,BAL,PIT,W 17-14,False,0,0,,0,0,0,,0,,,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,3,126,42.00,0,,,,,,,True,Sam Koch,True,17,14
2010.0,2010-10-10,5.0,5.0,28.058,BAL,DEN,W 31-17,False,0,0,,0,0,0,,0,,,,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,4,174,43.50,0,,,,,,,False,Sam Koch,True,31,17
2010.0,2010-10-17,6.0,6.0,28.065,BAL,NWE,L 20-23,False,0,0,,0,0,0,,0,,,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,9,404,44.89,0,,,,,,,True,Sam Koch,False,20,23
2010.0,2010-10-24,7.0,7.0,28.072,BAL,BUF,W 37-34,False,0,0,,0,0,0,,0,,,,0,0,,0,,0,0,0.0,0,1,1,,,0,,0,0,0,0,5,221,44.20,0,,,,,,,False,Sam Koch,True,37,34
2010.0,2010-11-07,8.0,9.0,28.086,BAL,MIA,W 26-10,False,1,1,100.00,13,0,0,118.7,0,0,13.00,13.00,1,0,0.00,0,,0,0,0.0,0,0,0,0,0,1,0,0,1,-10,0,0,0,,0,,,,,,,False,Sam Koch,True,26,10
2010.0,2010-11-11,9.0,10.0,28.09,BAL,ATL,L 21-26,False,0,0,,0,0,0,,0,,,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,4,198,49.50,0,,,,,,,True,Sam Koch,False,21,26
2010.0,2010-11-21,10.0,11.0,28.1,BAL,CAR,W 37-13,False,0,0,,0,0,0,,0,,,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,6,233,38.83,0,,,,,,,True,Sam Koch,True,37,13
2010.0,2010-11-28,11.0,12.0,28.107,BAL,TAM,W 17-10,False,0,0,,0,0,0,,0,,,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,7,305,43.57,0,,,,,,,False,Sam Koch,True,17,10
2010.0,2010-12-05,12.0,13.0,28.114,BAL,PIT,L 10-13,False,0,0,,0,0,0,,0,,,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,6,239,39.83,0,,,,,,,False,Sam Koch,False,10,13
2010.0,2010-12-13,13.0,14.0,28.122,BAL,HOU,W 34-28,False,0,0,,0,0,0,,0,,,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,7,318,45.43,0,,,,,,,True,Sam Koch,True,34,28
2010.0,2010-12-19,14.0,15.0,28.128,BAL,NOR,W 30-24,False,0,0,,0,0,0,,0,,,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,5,193,38.60,0,,,,,,,False,Sam Koch,True,30,24
2010.0,2010-12-26,15.0,16.0,28.135,BAL,CLE,W 20-10,False,0,0,,0,0,0,,0,,,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,3,137,45.67,0,,,,,,,True,Sam Koch,True,20,10
2010.0,2011-01-02,16.0,17.0,28.142,BAL,CIN,W 13-7,False,0,0,,0,0,0,,0,,,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,7,335,47.86,0,,,,,,,False,Sam Koch,True,13,7
2011.0,2011-09-11,1.0,1.0,29.029,BAL,PIT,W 35-7,False,0,0,,0,0,0,,0,0,,,0,0,,0,1,0,2,0.0,0,0,0,,,0,,0,0,0,0,5,236,47.20,0,,,,,,,False,Sam Koch,True,35,7
2011.0,2011-09-18,2.0,2.0,29.036,BAL,TEN,L 13-26,False,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,5,225,45.00,0,,,,,,,True,Sam Koch,False,13,26
2011.0,2011-09-25,3.0,3.0,29.043,BAL,STL,W 37-7,False,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,2,89,44.50,0,,,,,,,True,Sam Koch,True,37,7
2011.0,2011-10-02,4.0,4.0,29.05,BAL,NYJ,W 34-17,False,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,7,310,44.29,0,,,,,,,False,Sam Koch,True,34,17
2011.0,2011-10-16,5.0,6.0,29.064,BAL,HOU,W 29-14,False,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,2,90,45.00,0,,,,,,,False,Sam Koch,True,29,14
2011.0,2011-10-24,6.0,7.0,29.072,BAL,JAX,L 7-12,False,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,1,0,1,0,0,0,,0,0,0,0,9,470,52.22,0,,,,,,,True,Sam Koch,False,7,12
2011.0,2011-10-30,7.0,8.0,29.078,BAL,ARI,W 30-27,False,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,5,219,43.80,0,,,,,,,False,Sam Koch,True,30,27
2011.0,2011-11-06,8.0,9.0,29.085,BAL,PIT,W 23-20,False,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,2,90,45.00,0,,,,,,,True,Sam Koch,True,23,20
2011.0,2011-11-13,9.0,10.0,29.092,BAL,SEA,L 17-22,False,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,4,188,47.00,0,,,,,,,True,Sam Koch,False,17,22
2011.0,2011-11-20,10.0,11.0,29.099,BAL,CIN,W 31-24,False,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,8,391,48.88,0,,,,,,,False,Sam Koch,True,31,24
2011.0,2011-11-24,11.0,12.0,29.103,BAL,SFO,W 16-6,False,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,4,170,42.50,0,,,,,,,False,Sam Koch,True,16,6
2011.0,2011-12-04,12.0,13.0,29.113,BAL,CLE,W 24-10,False,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,3,108,36.00,0,,,,,,,True,Sam Koch,True,24,10
2011.0,2011-12-11,13.0,14.0,29.12,BAL,IND,W 24-10,False,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,3,145,48.33,0,,,,,,,False,Sam Koch,True,24,10
2011.0,2011-12-18,14.0,15.0,29.127,BAL,SDG,L 14-34,False,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,2,112,56.00,0,,,,,,,True,Sam Koch,False,14,34
2011.0,2011-12-24,15.0,16.0,29.133,BAL,CLE,W 20-14,False,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,5,223,44.60,0,,,,,,,False,Sam Koch,True,20,14
2011.0,2012-01-01,16.0,17.0,29.141,BAL,CIN,W 24-16,False,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,7,327,46.71,0,,,,,,,True,Sam Koch,True,24,16
2012.0,2012-09-10,1.0,1.0,30.028,BAL,CIN,W 44-13,False,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,2,87,43.50,0,0,0%,0,0%,10,33%,False,Sam Koch,True,44,13
2012.0,2012-09-16,2.0,2.0,30.034,BAL,PHI,L 23-24,False,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,5,251,50.20,0,0,0%,0,0%,11,35%,True,Sam Koch,False,23,24
2012.0,2012-09-23,3.0,3.0,30.041,BAL,NWE,W 31-30,False,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,3,136,45.33,0,0,0%,0,0%,9,29%,False,Sam Koch,True,31,30
2012.0,2012-09-27,4.0,4.0,30.045,BAL,CLE,W 23-16,False,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,7,322,46.00,0,0,0%,0,0%,12,36%,False,Sam Koch,True,23,16
