Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2019.0,2019-11-03,8.0,9.0,24.1,CHI,PHI,L 14-22,False,2,7,3.50,0,5,2,9,4.50,0,40.0%,1.80,0,0,,0,0,0,,0,0,,,0,0,,0,4,36,9.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,16,36%,0,0%,5,17%,True,Tarik Cohen,False,14,22
2019.0,2019-11-10,9.0,10.0,24.107,CHI,DET,W 20-13,False,3,14,4.67,0,4,4,23,5.75,1,100.0%,5.75,0,0,,0,0,0,,0,0,,,0,0,,0,2,9,4.50,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,29,52%,0,0%,6,20%,False,Tarik Cohen,True,20,13
2019.0,2019-11-17,10.0,11.0,24.114,CHI,LAR,L 7-17,True,9,39,4.33,0,6,5,35,7.00,1,83.3%,5.83,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,45,59%,0,0%,6,24%,True,Tarik Cohen,False,7,17
2019.0,2019-11-24,11.0,12.0,24.121,CHI,NYG,W 19-14,True,6,25,4.17,0,9,7,29,4.14,0,77.8%,3.22,0,0,,0,0,0,,0,0,,,0,0,,0,1,1,1.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,39,53%,0,0%,5,18%,False,Tarik Cohen,True,19,14
2019.0,2019-11-28,12.0,13.0,24.125,CHI,DET,W 24-20,True,3,9,3.00,0,4,4,26,6.50,0,100.0%,6.50,0,0,,0,0,0,,0,0,,,0,0,,0,2,-4,-2.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,36,55%,0,0%,5,19%,True,Tarik Cohen,True,24,20
2019.0,2019-12-05,13.0,14.0,24.132,CHI,DAL,W 31-24,True,3,7,2.33,0,6,6,24,4.00,0,100.0%,4.00,0,0,,0,0,0,,0,0,,,1,7,7.00,0,4,33,8.25,0,0,0,0.0,0,0,0,0,0,2,0,0,1,0,0,33,47%,0,0%,7,23%,False,Tarik Cohen,True,31,24
2019.0,2019-12-15,14.0,15.0,24.142,CHI,GNB,L 13-21,True,8,28,3.50,0,10,7,57,8.14,0,70.0%,5.70,0,0,,0,0,0,,0,0,,,0,0,,0,2,19,9.50,0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,55,65%,0,0%,8,29%,True,Tarik Cohen,False,13,21
2019.0,2019-12-22,15.0,16.0,24.149,CHI,KAN,L 3-26,False,2,8,4.00,0,4,3,25,8.33,0,75.0%,6.25,0,0,,0,0,0,,0,0,,,0,0,,0,2,18,9.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,34,54%,0,0%,3,15%,False,Tarik Cohen,False,3,26
2019.0,2019-12-29,16.0,17.0,24.156,CHI,MIN,W 21-19,True,4,20,5.00,0,10,9,44,4.89,0,90.0%,4.40,0,0,,0,0,0,,0,0,,,1,16,16.00,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,33,44%,0,0%,2,8%,True,Tarik Cohen,True,21,19
2020.0,2020-09-13,1.0,1.0,25.049,CHI,DET,W 27-23,False,7,41,5.86,0,2,2,6,3.00,0,100.0%,3.00,0,0,,0,0,0,,0,0,,,0,0,,0,1,0,0.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,30,46%,0,0%,5,15%,True,Tarik Cohen,True,27,23
2020.0,2020-09-20,2.0,2.0,25.056,CHI,NYG,W 17-13,False,5,12,2.40,0,1,1,15,15.00,0,100.0%,15.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,21,32%,0,0%,4,18%,False,Tarik Cohen,True,17,13
2020.0,2020-09-27,3.0,3.0,25.063,CHI,ATL,W 30-26,False,2,21,10.50,0,6,3,20,6.67,0,50.0%,3.33,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,26,32%,0,0%,4,11%,True,Tarik Cohen,True,30,26
2020.0,2020-10-04,4.0,4.0,,CHI,IND,L 11-19,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Tarik Cohen,False,11,19
