Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Away_status,Win,Score,Opp Score,Player
2003,2003-10-26,7,8,25.068,TAM,DAL,False,,,,,,,,,,0.0%,,,,,,,,,,,,,,,,,0,0,0,,,0,0,0,False,True,16,0,Thomas Jones
2003,2003-11-02,8,9,25.075,TAM,NOR,False,0,0,,0,2,1,29,29.00,0,50.0%,14.50,0,0,,0,0,0,,,,,,0,0,,0,0,0,0,,0,0,0,0,False,False,14,17,Thomas Jones
2003,2003-11-09,9,10,25.082,TAM,CAR,False,3,12,4.00,0,4,1,0,0.00,0,25.0%,0.00,0,0,,0,0,0,,,,,,5,76,15.20,0,0,0,0,,0,0,0,0,True,False,24,27,Thomas Jones
2003,2003-11-16,10,11,25.089,TAM,GNB,False,9,134,14.89,0,3,2,11,5.50,0,66.7%,3.67,0,0,,0,0,0,,,,,,0,0,,0,0,0,0,,0,0,0,0,False,False,13,20,Thomas Jones
2003,2003-11-24,11,12,25.097,TAM,NYG,False,10,27,2.70,1,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,3,49,16.33,0,1,6,0,,0,0,0,0,False,True,19,13,Thomas Jones
2003,2003-11-30,12,13,25.103,TAM,JAX,False,7,11,1.57,1,2,2,21,10.50,0,100.0%,10.50,0,0,,0,0,0,,,,,,1,25,25.00,0,1,6,0,,0,0,0,0,True,False,10,17,Thomas Jones
2003,2003-12-07,13,14,25.110,TAM,NOR,True,20,89,4.45,0,3,2,14,7.00,0,66.7%,4.67,0,0,,0,0,0,,,,,,1,14,14.00,0,0,0,0,,0,0,0,0,True,True,14,7,Thomas Jones
2003,2003-12-14,14,15,25.117,TAM,HOU,True,34,134,3.94,1,1,1,17,17.00,0,100.0%,17.00,0,0,,0,0,0,,,,,,0,0,,0,1,6,1,0,0,1,0,0,False,True,16,3,Thomas Jones
2003,2003-12-20,15,16,25.123,TAM,ATL,True,17,73,4.29,0,4,4,14,3.50,0,100.0%,3.50,0,0,,0,0,0,,,,,,2,35,17.50,0,0,0,0,,0,0,0,0,False,False,28,30,Thomas Jones
2003,2003-12-28,16,17,25.131,TAM,TEN,False,13,68,5.23,0,5,4,32,8.00,0,80.0%,6.40,0,0,,0,0,0,,,,,,2,25,12.50,0,0,0,1,0,0,0,0,0,True,False,13,33,Thomas Jones
2004,2004-09-12,1,1,26.024,CHI,DET,True,21,67,3.19,2,8,6,38,6.33,0,75.0%,4.75,0,0,,0,0,0,,,,,,0,0,,0,2,12,0,,0,0,0,0,False,False,16,20,Thomas Jones
2004,2004-09-19,2,2,26.031,CHI,GNB,True,23,152,6.61,1,2,1,7,7.00,0,50.0%,3.50,0,0,,0,0,0,,,,,,0,0,,0,1,6,0,,0,0,0,0,True,True,21,10,Thomas Jones
2004,2004-09-26,3,3,26.038,CHI,MIN,True,22,110,5.00,1,10,8,71,8.88,0,80.0%,7.10,0,0,,0,0,0,,,,,,0,0,,0,1,6,1,0,0,0,0,0,True,False,22,27,Thomas Jones
2004,2004-10-03,4,4,26.045,CHI,PHI,True,13,32,2.46,0,8,6,40,6.67,0,75.0%,5.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0,,0,0,0,0,False,False,9,19,Thomas Jones
2004,2004-10-17,5,6,26.059,CHI,WAS,True,24,97,4.04,0,4,2,22,11.00,0,50.0%,5.50,0,0,,0,0,0,,,,,,0,0,,0,0,0,0,,0,0,0,0,False,False,10,13,Thomas Jones
2004,2004-10-24,6,7,26.066,CHI,TAM,True,13,52,4.00,1,3,3,13,4.33,0,100.0%,4.33,0,0,,0,0,0,,,,,,0,0,,0,1,6,0,,0,0,0,0,True,False,7,19,Thomas Jones
2004,2004-10-31,7,8,26.073,CHI,SFO,True,1,1,1.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,,0,0,0,0,,0,0,0,0,False,True,23,13,Thomas Jones
2004,2004-11-07,8,9,,CHI,NYG,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,28,21,Thomas Jones
