Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2017,2017-10-15,6,6,,JAX,,LAR,L 17-27,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,T.J. Yeldon
2017,2017-10-22,7,7,24.020,JAX,@,IND,W 27-0,False,9,122,13.56,1,2,2,15,7.50,0,100.0%,7.50,1,6,0,0,0,0,0,0,23,34%,0,0%,0,0%,True,T.J. Yeldon
2017,2017-11-05,8,9,24.034,JAX,,CIN,W 23-7,False,11,41,3.73,0,4,2,11,5.50,0,50.0%,2.75,0,0,1,1,0,0,0,0,35,44%,0,0%,0,0%,False,T.J. Yeldon
2017,2017-11-12,9,10,24.041,JAX,,LAC,W 20-17,False,3,11,3.67,0,8,6,39,6.50,0,75.0%,4.88,0,0,0,0,0,0,0,0,31,37%,0,0%,0,0%,False,T.J. Yeldon
2017,2017-11-19,10,11,24.048,JAX,@,CLE,W 19-7,False,5,15,3.00,0,2,1,5,5.00,0,50.0%,2.50,0,0,1,0,0,0,0,0,20,26%,0,0%,0,0%,True,T.J. Yeldon
2017,2017-11-26,11,12,24.055,JAX,@,ARI,L 24-27,False,3,10,3.33,0,6,5,42,8.40,0,83.3%,7.00,0,0,0,0,0,0,0,0,34,54%,0,0%,0,0%,True,T.J. Yeldon
2017,2017-12-03,12,13,24.062,JAX,,IND,W 30-10,False,0,0,,0,2,2,25,12.50,0,100.0%,12.50,0,0,0,0,0,0,0,0,5,8%,0,0%,0,0%,False,T.J. Yeldon
2017,2017-12-10,13,14,24.069,JAX,,SEA,W 30-24,False,2,9,4.50,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,4,6%,0,0%,0,0%,False,T.J. Yeldon
2017,2017-12-17,14,15,24.076,JAX,,HOU,W 45-7,False,7,27,3.86,0,5,4,25,6.25,0,80.0%,5.00,0,0,0,0,0,0,0,0,28,40%,0,0%,0,0%,False,T.J. Yeldon
2017,2017-12-24,15,16,24.083,JAX,@,SFO,L 33-44,False,5,13,2.60,1,10,7,64,9.14,0,70.0%,6.40,1,6,0,0,0,0,0,0,38,44%,0,0%,0,0%,True,T.J. Yeldon
2017,2017-12-31,16,17,24.090,JAX,@,TEN,L 10-15,False,4,5,1.25,0,2,1,-2,-2.00,0,50.0%,-1.00,0,0,0,0,0,0,0,0,8,13%,0,0%,0,0%,True,T.J. Yeldon
2018,2018-09-09,1,1,24.342,JAX,@,NYG,W 20-15,False,14,51,3.64,0,7,3,18,6.00,1,42.9%,2.57,1,6,0,0,0,0,0,0,39,62%,0,0%,0,0%,True,T.J. Yeldon
2018,2018-09-16,2,2,24.349,JAX,,NWE,W 31-20,True,10,58,5.80,0,5,2,13,6.50,0,40.0%,2.60,0,0,0,0,0,0,0,0,41,58%,0,0%,0,0%,False,T.J. Yeldon
2018,2018-09-23,3,3,24.356,JAX,,TEN,L 6-9,False,7,44,6.29,0,7,6,46,7.67,0,85.7%,6.57,0,0,0,0,0,0,0,0,38,67%,0,0%,0,0%,False,T.J. Yeldon
2018,2018-09-30,4,4,24.363,JAX,,NYJ,W 31-12,False,18,52,2.89,1,3,3,48,16.00,1,100.0%,16.00,2,12,1,1,0,0,0,0,48,62%,0,0%,0,0%,False,T.J. Yeldon
2018,2018-10-07,5,5,25.005,JAX,@,KAN,L 14-30,True,10,53,5.30,0,11,8,69,8.63,1,72.7%,6.27,1,6,0,0,0,0,0,0,77,93%,0,0%,0,0%,True,T.J. Yeldon
2018,2018-10-14,6,6,25.012,JAX,@,DAL,L 7-40,True,8,41,5.13,0,5,3,29,9.67,0,60.0%,5.80,0,0,0,0,0,0,0,0,31,65%,0,0%,0,0%,True,T.J. Yeldon
2018,2018-10-21,7,7,25.019,JAX,,HOU,L 7-20,True,12,28,2.33,0,7,5,40,8.00,1,71.4%,5.71,1,6,0,0,0,0,0,0,56,82%,0,0%,0,0%,False,T.J. Yeldon
2018,2018-10-28,8,8,25.026,JAX,,PHI,L 18-24,False,2,7,3.50,0,9,7,83,11.86,0,77.8%,9.22,0,0,0,0,0,0,0,0,37,58%,0,0%,0,0%,False,T.J. Yeldon
2018,2018-11-11,9,10,25.040,JAX,@,IND,L 26-29,False,3,12,4.00,0,6,5,51,10.20,0,83.3%,8.50,0,0,0,0,0,0,0,0,27,36%,0,0%,0,0%,True,T.J. Yeldon
2018,2018-11-18,10,11,25.047,JAX,,PIT,L 16-20,False,5,23,4.60,0,3,2,9,4.50,0,66.7%,3.00,0,0,0,0,0,0,0,0,23,33%,0,0%,0,0%,False,T.J. Yeldon
2018,2018-11-25,11,12,25.054,JAX,@,BUF,L 21-24,False,3,16,5.33,0,4,2,17,8.50,0,50.0%,4.25,0,0,0,0,0,0,0,0,24,34%,0,0%,0,0%,True,T.J. Yeldon
2018,2018-12-02,12,13,25.061,JAX,,IND,W 6-0,True,8,16,2.00,0,8,7,49,7.00,0,87.5%,6.13,0,0,0,0,0,0,0,0,35,60%,0,0%,0,0%,False,T.J. Yeldon
2018,2018-12-06,13,14,25.065,JAX,@,TEN,L 9-30,False,1,7,7.00,0,1,1,10,10.00,0,100.0%,10.00,0,0,0,0,0,0,0,0,12,17%,0,0%,0,0%,True,T.J. Yeldon
2018,2018-12-16,14,15,25.075,JAX,,WAS,L 13-16,False,3,6,2.00,0,2,1,5,5.00,0,50.0%,2.50,0,0,0,0,0,0,0,0,19,37%,0,0%,0,0%,False,T.J. Yeldon
2018,2018-12-23,15,16,,JAX,@,MIA,W 17-7,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,T.J. Yeldon
2018,2018-12-30,16,17,,JAX,@,HOU,L 3-20,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,T.J. Yeldon
2019,2019-09-08,1,1,25.341,BUF,@,NYJ,W 17-16,False,,,,,,,,,,0.0%,,0,0,0,,,0,0,0,2,3%,0,0%,8,35%,True,T.J. Yeldon
2019,2019-09-15,2,2,25.348,BUF,@,NYG,W 28-14,False,,,,,,,,,,0.0%,,0,0,0,,,0,0,0,3,4%,0,0%,8,29%,True,T.J. Yeldon
2019,2019-09-22,3,3,25.355,BUF,,CIN,W 21-17,False,8,30,3.75,0,3,2,19,9.50,0,66.7%,6.33,0,0,1,1,0,0,0,0,29,38%,0,0%,10,37%,False,T.J. Yeldon
2019,2019-09-29,4,4,25.362,BUF,,NWE,L 10-16,False,0,0,,0,4,4,68,17.00,0,100.0%,17.00,0,0,0,0,0,0,0,0,44,56%,0,0%,4,14%,False,T.J. Yeldon
2019,2019-10-06,5,5,26.004,BUF,@,TEN,W 14-7,False,2,15,7.50,0,4,4,13,3.25,0,100.0%,3.25,0,0,0,0,0,0,0,0,31,48%,0,0%,3,12%,True,T.J. Yeldon
2019,2019-10-20,6,7,,BUF,,MIA,W 31-21,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,T.J. Yeldon
2019,2019-10-27,7,8,,BUF,,PHI,L 13-31,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,T.J. Yeldon
2019,2019-11-03,8,9,,BUF,,WAS,W 24-9,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,T.J. Yeldon
2019,2019-11-10,9,10,,BUF,@,CLE,L 16-19,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,T.J. Yeldon
2019,2019-11-17,10,11,,BUF,@,MIA,W 37-20,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,T.J. Yeldon
2019,2019-11-24,11,12,,BUF,,DEN,W 20-3,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,T.J. Yeldon
2019,2019-11-28,12,13,,BUF,@,DAL,W 26-15,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,T.J. Yeldon
