Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2012,2012-12-09,13,14,29.358,NYG,NOR,False,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,,,3,116,38.67,0,0,0%,0,0%,12,33%,False,True,52,27,Steve Weatherford
2012,2012-12-16,14,15,29.365,NYG,ATL,False,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,,,2,110,55.00,0,0,0%,0,0%,3,16%,True,False,0,34,Steve Weatherford
2012,2012-12-23,15,16,30.006,NYG,BAL,False,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,,,8,416,52.00,0,0,0%,0,0%,10,33%,True,False,14,33,Steve Weatherford
2012,2012-12-30,16,17,30.013,NYG,PHI,False,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,,,2,98,49.00,0,0,0%,0,0%,8,35%,False,True,42,7,Steve Weatherford
2013,2013-09-08,1,1,30.265,NYG,DAL,False,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,,,3,164,54.67,0,0,0%,0,0%,8,24%,True,False,31,36,Steve Weatherford
2013,2013-09-15,2,2,30.272,NYG,DEN,False,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,,,5,231,46.20,0,0,0%,0,0%,10,28%,False,False,23,41,Steve Weatherford
2013,2013-09-22,3,3,30.279,NYG,CAR,False,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,,,6,245,40.83,0,0,0%,0,0%,8,32%,True,False,0,38,Steve Weatherford
2013,2013-09-29,4,4,30.286,NYG,KAN,False,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,,,8,399,49.88,0,0,0%,0,0%,10,34%,True,False,7,31,Steve Weatherford
2013,2013-10-06,5,5,30.293,NYG,PHI,False,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,,,7,338,48.29,0,0,0%,0,0%,10,27%,False,False,21,36,Steve Weatherford
2013,2013-10-10,6,6,30.297,NYG,CHI,False,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,,,3,139,46.33,0,0,0%,0,0%,6,25%,True,False,21,27,Steve Weatherford
2013,2013-10-21,7,7,30.308,NYG,MIN,False,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,,,9,438,48.67,0,0,0%,0,0%,14,45%,False,True,23,7,Steve Weatherford
2013,2013-10-27,8,8,30.314,NYG,PHI,False,1,0,0.00,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,,,5,219,43.80,0,0,0%,0,0%,11,42%,True,True,15,7,Steve Weatherford
2013,2013-11-10,9,10,30.328,NYG,OAK,False,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,,,4,121,30.25,0,0,0%,0,0%,8,29%,False,True,24,20,Steve Weatherford
2013,2013-11-17,10,11,30.335,NYG,GNB,False,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,,,5,265,53.00,0,0,0%,0,0%,10,36%,False,True,27,13,Steve Weatherford
2013,2013-11-24,11,12,30.342,NYG,DAL,False,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,,,5,273,54.60,0,0,0%,0,0%,8,29%,False,False,21,24,Steve Weatherford
2013,2013-12-01,12,13,30.349,NYG,WAS,False,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,,,6,287,47.83,0,0,0%,0,0%,10,34%,True,True,24,17,Steve Weatherford
2013,2013-12-08,13,14,30.356,NYG,SDG,False,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,,,3,141,47.00,0,0,0%,0,0%,5,20%,True,False,14,37,Steve Weatherford
2013,2013-12-15,14,15,30.363,NYG,SEA,False,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,,,8,380,47.50,0,0,0%,0,0%,8,30%,False,False,0,23,Steve Weatherford
2013,2013-12-22,15,16,31.005,NYG,DET,False,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,,,6,279,46.50,0,0,0%,0,0%,12,39%,True,True,23,20,Steve Weatherford
2013,2013-12-29,16,17,31.012,NYG,WAS,False,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,,,8,352,44.00,0,0,0%,0,0%,13,41%,False,True,20,6,Steve Weatherford
2014,2014-09-08,1,1,31.265,NYG,DET,False,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,,,5,201,40.20,0,0,0%,0,0%,8,31%,True,False,14,35,Steve Weatherford
