Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2020.0,2020-10-18,6.0,6.0,27.064,WAS,NYG,L 19-20,False,8,41,5.13,0,6,6,43,7.17,0,100.0%,7.17,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,39,53%,0,0%,5,23%,True,J.D. McKissic,False,19,20
2020.0,2020-10-25,7.0,7.0,27.071,WAS,DAL,W 25-3,False,5,35,7.00,0,2,2,16,8.00,0,100.0%,8.00,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,34,49%,0,0%,3,15%,False,J.D. McKissic,True,25,3
2020.0,2020-11-08,8.0,9.0,27.085,WAS,NYG,L 20-23,False,3,17,5.67,0,14,9,65,7.22,0,64.3%,4.64,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,45,83%,0,0%,6,23%,False,J.D. McKissic,False,20,23
2020.0,2020-11-15,9.0,10.0,27.092,WAS,DET,L 27-30,False,8,6,0.75,1,15,7,43,6.14,0,46.7%,2.87,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,62,70%,0,0%,6,19%,True,J.D. McKissic,False,27,30
2020.0,2020-11-22,10.0,11.0,27.099,WAS,CIN,W 20-9,False,6,43,7.17,0,4,3,26,8.67,0,75.0%,6.50,0,0,,0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,32,52%,0,0%,3,11%,False,J.D. McKissic,True,20,9
2020.0,2020-11-26,11.0,12.0,27.103,WAS,DAL,W 41-16,True,1,6,6.00,0,2,2,21,10.50,0,100.0%,10.50,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,28,41%,0,0%,0,0%,True,J.D. McKissic,True,41,16
2020.0,2020-12-07,12.0,13.0,27.114,WAS,PIT,W 23-17,False,5,8,1.60,0,10,10,70,7.00,0,100.0%,7.00,0,0,,0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,53,74%,0,0%,0,0%,True,J.D. McKissic,True,23,17
2020.0,2020-12-13,13.0,14.0,27.12,WAS,SFO,W 23-15,True,11,68,6.18,0,4,2,18,9.00,0,50.0%,4.50,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,41,65%,0,0%,0,0%,True,J.D. McKissic,True,23,15
2020.0,2020-12-20,14.0,15.0,27.127,WAS,SEA,L 15-20,True,13,51,3.92,0,10,9,56,6.22,1,90.0%,5.60,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,70,88%,0,0%,0,0%,False,J.D. McKissic,False,15,20
2020.0,2020-12-27,15.0,16.0,27.134,WAS,CAR,L 13-20,False,4,15,3.75,0,10,8,77,9.63,1,80.0%,7.70,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,49,69%,0,0%,0,0%,False,J.D. McKissic,False,13,20
2020.0,2021-01-03,16.0,17.0,27.141,WAS,PHI,W 20-14,True,2,0,0.00,0,8,5,30,6.00,0,62.5%,3.75,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,28,44%,0,0%,0,0%,True,J.D. McKissic,True,20,14
2021.0,2021-09-12,1.0,1.0,28.028,WAS,LAC,L 16-20,False,1,8,8.00,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,20,36%,0,0%,0,0%,False,J.D. McKissic,False,16,20
