Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Def Interceptions_Int,Def Interceptions_Yds,Def Interceptions_TD,Def Interceptions_PD,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2014,2014-09-28,4,4,25.232,ATL,@,MIN,L 28-41,True,8,6,82,13.67,0,75.0%,10.25,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,62,93%,0,0%,0,0%,True,Julio Jones
2014,2014-10-05,5,5,25.239,ATL,@,NYG,L 20-30,True,16,11,105,9.55,0,68.8%,6.56,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,70,97%,0,0%,0,0%,True,Julio Jones
2014,2014-10-12,6,6,25.246,ATL,,CHI,L 13-27,True,12,4,68,17.00,0,33.3%,5.67,1,1,1.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,51,91%,0,0%,0,0%,False,Julio Jones
2014,2014-10-19,7,7,25.253,ATL,@,BAL,L 7-29,True,8,5,56,11.20,0,62.5%,7.00,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,56,85%,0,0%,0,0%,True,Julio Jones
2014,2014-10-26,8,8,25.260,ATL,,DET,L 21-22,True,6,4,58,14.50,0,66.7%,9.67,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,77%,0,0%,1,4%,False,Julio Jones
2014,2014-11-09,9,10,25.274,ATL,@,TAM,W 27-17,True,11,8,119,14.88,0,72.7%,10.82,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,53,80%,0,0%,0,0%,True,Julio Jones
2014,2014-11-16,10,11,25.281,ATL,@,CAR,W 19-17,True,11,6,59,9.83,0,54.5%,5.36,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,64,86%,0,0%,0,0%,True,Julio Jones
2014,2014-11-23,11,12,25.288,ATL,,CLE,L 24-26,True,13,5,68,13.60,1,38.5%,5.23,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,87%,0,0%,0,0%,False,Julio Jones
2014,2014-11-30,12,13,25.295,ATL,,ARI,W 29-18,True,12,10,189,18.90,1,83.3%,15.75,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,72,91%,0,0%,1,3%,False,Julio Jones
2014,2014-12-08,13,14,25.303,ATL,@,GNB,L 37-43,True,17,11,259,23.55,1,64.7%,15.24,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,47,70%,0,0%,0,0%,True,Julio Jones
