Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2018.0,2018-10-14,6.0,6.0,28.024,CLE,LAC,L 14-38,True,14,34,2.43,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0,0,0,0,0,0,32,43%,0,0%,0,0%,False,Carlos Hyde,False,14,38
2018.0,2018-10-21,7.0,7.0,,JAX,HOU,L 7-20,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Carlos Hyde,False,7,20
2018.0,2018-10-28,8.0,8.0,28.038,JAX,PHI,L 18-24,True,6,11,1.83,0,2,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0,0,0,0,0,0,28,44%,0,0%,0,0%,False,Carlos Hyde,False,18,24
2018.0,2018-11-11,9.0,10.0,28.052,JAX,IND,L 26-29,False,3,5,1.67,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0,0,0,0,0,0,9,12%,0,0%,0,0%,True,Carlos Hyde,False,26,29
2018.0,2018-11-18,10.0,11.0,28.059,JAX,PIT,L 16-20,False,8,44,5.50,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0,0,0,0,0,0,11,16%,0,0%,0,0%,False,Carlos Hyde,False,16,20
2018.0,2018-11-25,11.0,12.0,28.066,JAX,BUF,L 21-24,False,10,33,3.30,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0,0,0,0,0,0,15,21%,0,0%,0,0%,True,Carlos Hyde,False,21,24
2018.0,2018-12-02,12.0,13.0,28.073,JAX,IND,W 6-0,False,13,36,2.77,0,1,1,1,1.00,0,100.0%,1.00,0,0,,0,,0,0,1,1,0,0,0,0,23,40%,0,0%,0,0%,False,Carlos Hyde,True,6,0
2018.0,2018-12-06,13.0,14.0,28.077,JAX,TEN,L 9-30,False,0,0,,0,1,1,-3,-3.00,0,100.0%,-3.00,0,0,,0,,0,0,0,0,0,0,0,0,3,4%,0,0%,0,0%,True,Carlos Hyde,False,9,30
2018.0,2018-12-16,14.0,15.0,,JAX,WAS,L 13-16,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Carlos Hyde,False,13,16
2018.0,2018-12-23,15.0,16.0,28.094,JAX,MIA,W 17-7,False,8,47,5.88,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0,0,0,0,0,0,16,24%,0,0%,0,0%,True,Carlos Hyde,True,17,7
2018.0,2018-12-30,16.0,17.0,28.101,JAX,HOU,L 3-20,True,10,13,1.30,0,3,2,6,3.00,0,66.7%,2.00,0,0,,0,,0,0,0,0,0,0,0,0,43,91%,0,0%,0,0%,True,Carlos Hyde,False,3,20
2019.0,2019-09-09,1.0,1.0,28.354,HOU,NOR,L 28-30,True,10,83,8.30,0,1,1,2,2.00,0,100.0%,2.00,0,0,,0,,0,0,0,0,0,0,0,0,23,36%,0,0%,0,0%,True,Carlos Hyde,False,28,30
2019.0,2019-09-15,2.0,2.0,28.36,HOU,JAX,W 13-12,True,20,90,4.50,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0,0,0,0,0,0,39,61%,0,0%,0,0%,False,Carlos Hyde,True,13,12
2019.0,2019-09-22,3.0,3.0,29.002,HOU,LAC,W 27-20,True,10,19,1.90,1,0,0,0,,0,0.0%,,0,0,,0,,1,6,0,0,0,0,0,0,31,53%,0,0%,0,0%,True,Carlos Hyde,True,27,20
2019.0,2019-09-29,4.0,4.0,29.009,HOU,CAR,L 10-16,True,12,58,4.83,0,5,4,6,1.50,0,80.0%,1.20,0,0,,0,,0,0,0,0,0,0,0,0,33,49%,0,0%,0,0%,False,Carlos Hyde,False,10,16
2019.0,2019-10-06,5.0,5.0,29.016,HOU,ATL,W 53-32,True,21,60,2.86,1,1,0,0,,0,0.0%,0.00,0,0,,0,,1,6,1,0,0,0,0,0,44,63%,0,0%,0,0%,False,Carlos Hyde,True,53,32
2019.0,2019-10-13,6.0,6.0,29.023,HOU,KAN,W 31-24,True,26,116,4.46,1,1,1,14,14.00,0,100.0%,14.00,0,0,,0,,1,6,1,1,0,0,0,0,56,63%,0,0%,0,0%,True,Carlos Hyde,True,31,24
2019.0,2019-10-20,7.0,7.0,29.03,HOU,IND,L 23-30,False,12,35,2.92,0,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0,0,0,0,0,0,25,40%,0,0%,0,0%,True,Carlos Hyde,False,23,30
2019.0,2019-10-27,8.0,8.0,29.037,HOU,OAK,W 27-24,True,19,83,4.37,0,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,1,0,0,1,0,0,43,54%,0,0%,0,0%,False,Carlos Hyde,True,27,24
2019.0,2019-11-03,9.0,9.0,29.044,HOU,JAX,W 26-3,True,19,160,8.42,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,1,1,0,0,0,0,38,56%,0,0%,0,0%,True,Carlos Hyde,True,26,3
2019.0,2019-11-17,10.0,11.0,29.058,HOU,BAL,L 7-41,True,9,65,7.22,1,1,0,0,,0,0.0%,0.00,0,0,,0,,1,6,0,0,0,0,0,0,21,35%,0,0%,0,0%,True,Carlos Hyde,False,7,41
2019.0,2019-11-21,11.0,12.0,29.062,HOU,IND,W 20-17,True,16,67,4.19,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0,0,0,0,0,0,29,50%,0,0%,0,0%,False,Carlos Hyde,True,20,17
2019.0,2019-12-01,12.0,13.0,29.072,HOU,NWE,W 28-22,True,10,17,1.70,0,1,1,5,5.00,0,100.0%,5.00,0,0,,0,,0,0,0,0,0,0,0,0,21,38%,0,0%,0,0%,False,Carlos Hyde,True,28,22
2019.0,2019-12-08,13.0,14.0,29.079,HOU,DEN,L 24-38,False,14,73,5.21,0,3,2,5,2.50,0,66.7%,1.67,0,0,,0,,0,0,0,0,0,0,0,0,40,53%,0,0%,0,0%,False,Carlos Hyde,False,24,38
2019.0,2019-12-15,14.0,15.0,29.086,HOU,TEN,W 24-21,True,26,104,4.00,1,0,0,0,,0,0.0%,,0,0,,0,,1,6,0,0,0,0,0,0,42,67%,0,0%,0,0%,True,Carlos Hyde,True,24,21
2019.0,2019-12-21,15.0,16.0,29.092,HOU,TAM,W 23-20,True,17,27,1.59,1,1,1,10,10.00,0,100.0%,10.00,0,0,,0,,1,6,0,0,0,0,0,0,39,59%,0,0%,1,3%,True,Carlos Hyde,True,23,20
2019.0,2019-12-29,16.0,17.0,29.1,HOU,TEN,L 14-35,True,4,13,3.25,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0,0,0,0,0,0,5,8%,0,0%,0,0%,False,Carlos Hyde,False,14,35
2020.0,2020-09-13,1.0,1.0,29.359,SEA,ATL,W 38-25,False,7,23,3.29,1,0,0,0,,0,0.0%,,0,0,,0,,1,6,0,0,0,0,0,0,21,34%,0,0%,0,0%,True,Carlos Hyde,True,38,25
2020.0,2020-09-20,2.0,2.0,30.0,SEA,NWE,W 35-30,False,5,22,4.40,0,2,2,15,7.50,0,100.0%,7.50,0,0,,0,,0,0,0,0,0,0,0,0,15,24%,0,0%,0,0%,False,Carlos Hyde,True,35,30
2020.0,2020-09-27,3.0,3.0,30.007,SEA,DAL,W 38-31,False,4,12,3.00,0,1,1,11,11.00,0,100.0%,11.00,0,0,,0,,0,0,0,0,0,0,0,0,16,21%,0,0%,0,0%,False,Carlos Hyde,True,38,31
2020.0,2020-10-04,4.0,4.0,,SEA,MIA,W 31-23,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Carlos Hyde,True,31,23
2020.0,2020-10-11,5.0,5.0,,SEA,MIN,W 27-26,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Carlos Hyde,True,27,26
2020.0,2020-10-25,6.0,7.0,30.035,SEA,ARI,L 34-37,False,15,68,4.53,1,4,3,8,2.67,0,75.0%,2.00,0,0,,0,,1,6,0,0,0,0,0,0,41,49%,0,0%,0,0%,True,Carlos Hyde,False,34,37
2020.0,2020-11-01,7.0,8.0,,SEA,SFO,W 37-27,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Carlos Hyde,True,37,27
2020.0,2020-11-08,8.0,9.0,,SEA,BUF,L 34-44,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Carlos Hyde,False,34,44
2020.0,2020-11-15,9.0,10.0,,SEA,LAR,L 16-23,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Carlos Hyde,False,16,23
2020.0,2020-11-19,10.0,11.0,30.06,SEA,ARI,W 28-21,True,14,79,5.64,1,3,2,16,8.00,0,66.7%,5.33,0,0,,0,,1,6,0,0,0,1,0,0,46,70%,0,0%,0,0%,False,Carlos Hyde,True,28,21
2020.0,2020-11-30,11.0,12.0,30.071,SEA,PHI,W 23-17,False,15,22,1.47,0,3,2,7,3.50,0,66.7%,2.33,0,0,,0,,0,0,0,0,0,0,0,0,41,61%,0,0%,0,0%,True,Carlos Hyde,True,23,17
2020.0,2020-12-06,12.0,13.0,30.077,SEA,NYG,L 12-17,False,2,1,0.50,0,3,3,10,3.33,0,100.0%,3.33,0,0,,0,,0,0,1,0,0,0,0,0,18,25%,0,0%,0,0%,False,Carlos Hyde,False,12,17
2020.0,2020-12-13,13.0,14.0,30.084,SEA,NYJ,W 40-3,False,15,66,4.40,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0,0,0,0,0,0,32,44%,0,0%,0,0%,False,Carlos Hyde,True,40,3
2020.0,2020-12-20,14.0,15.0,30.091,SEA,WAS,W 20-15,False,2,55,27.50,1,3,2,8,4.00,0,66.7%,2.67,0,0,,0,,1,6,0,0,0,0,0,0,10,18%,0,0%,0,0%,True,Carlos Hyde,True,20,15
2020.0,2020-12-27,15.0,16.0,30.098,SEA,LAR,W 20-9,False,2,8,4.00,0,1,1,18,18.00,0,100.0%,18.00,0,0,,0,,0,0,0,0,0,0,0,0,20,32%,0,0%,0,0%,False,Carlos Hyde,True,20,9
2020.0,2021-01-03,16.0,17.0,,SEA,SFO,W 26-23,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Carlos Hyde,True,26,23
2021.0,2021-09-12,1.0,1.0,30.357,JAX,HOU,L 21-37,False,9,44,4.89,0,2,2,14,7.00,0,100.0%,7.00,0,0,,0,,0,0,0,0,0,0,0,0,25,34%,0,0%,0,0%,True,Carlos Hyde,False,21,37
2021.0,2021-09-19,2.0,2.0,30.364,JAX,DEN,L 13-23,False,2,7,3.50,0,2,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0,0,0,0,0,0,14,25%,0,0%,0,0%,False,Carlos Hyde,False,13,23
2021.0,2021-09-26,3.0,3.0,31.006,JAX,ARI,L 19-31,False,8,44,5.50,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0,0,0,0,0,0,23,34%,0,0%,0,0%,False,Carlos Hyde,False,19,31
