Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2014,2014-10-19,6,7,,CLE,@,JAX,L 6-24,True,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,True,Josh Gordon
2014,2014-10-26,7,8,,CLE,,OAK,W 23-13,True,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,False,Josh Gordon
2014,2014-11-02,8,9,,CLE,,TAM,W 22-17,True,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,False,Josh Gordon
2014,2014-11-06,9,10,,CLE,@,CIN,W 24-3,True,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,True,Josh Gordon
2014,2014-11-16,10,11,,CLE,,HOU,L 7-23,True,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,False,Josh Gordon
2014,2014-11-23,11,12,23.224,CLE,@,ATL,W 26-24,True,16,8,120,15.00,0,50.0%,7.50,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,0,0,0,1,0,0,52,69%,0,0%,0,0%,True,Josh Gordon
2014,2014-11-30,12,13,23.231,CLE,@,BUF,L 10-26,True,13,7,75,10.71,0,53.8%,5.77,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,53,77%,0,0%,0,0%,True,Josh Gordon
2014,2014-12-07,13,14,23.238,CLE,,IND,L 24-25,True,7,2,15,7.50,0,28.6%,2.14,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,50,77%,0,0%,0,0%,False,Josh Gordon
2014,2014-12-14,14,15,23.245,CLE,,CIN,L 0-30,True,4,3,48,16.00,0,75.0%,12.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,35,83%,0,0%,0,0%,False,Josh Gordon
2014,2014-12-21,15,16,23.252,CLE,@,CAR,L 13-17,True,7,4,45,11.25,0,57.1%,6.43,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,43,91%,0,0%,0,0%,True,Josh Gordon
2014,2014-12-28,16,17,,CLE,@,BAL,L 10-20,True,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,True,Josh Gordon
2016,2016-09-11,1,1,,CLE,@,PHI,L 10-29,True,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,True,Josh Gordon
2016,2016-09-18,2,2,,CLE,,BAL,L 20-25,True,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,False,Josh Gordon
2016,2016-09-25,3,3,,CLE,@,MIA,L 24-30,True,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,True,Josh Gordon
