Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Away_status,Win,Score,Opp Score,Player
2006,2006-11-26,11,12,30.263,PIT,BAL,True,8,4,33,8.25,0,50.0%,4.13,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,True,False,0,27,Hines Ward
2006,2006-12-03,12,13,,PIT,TAM,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,20,3,Hines Ward
2006,2006-12-07,13,14,,PIT,CLE,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,27,7,Hines Ward
2006,2006-12-17,14,15,30.284,PIT,CAR,True,6,4,59,14.75,0,66.7%,9.83,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,True,True,37,3,Hines Ward
2006,2006-12-24,15,16,30.291,PIT,BAL,True,17,8,79,9.88,0,47.1%,4.65,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,False,False,7,31,Hines Ward
2006,2006-12-31,16,17,30.298,PIT,CIN,True,7,5,51,10.20,0,71.4%,7.29,2,30,15.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,True,True,23,17,Hines Ward
2007,2007-09-09,1,1,31.185,PIT,CLE,True,6,3,51,17.00,1,50.0%,8.50,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,1,6,0.0,,,,,,0,,0,0,0,0,True,True,34,7,Hines Ward
2007,2007-09-16,2,2,31.192,PIT,BUF,True,9,5,55,11.00,0,55.6%,6.11,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,False,True,26,3,Hines Ward
2007,2007-09-23,3,3,31.199,PIT,SFO,True,3,1,2,2.00,0,33.3%,0.67,1,7,7.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,False,True,37,16,Hines Ward
2007,2007-09-30,4,4,,PIT,ARI,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,14,21,Hines Ward
2007,2007-10-07,5,5,,PIT,SEA,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,21,0,Hines Ward
2007,2007-10-21,6,7,31.227,PIT,DEN,True,12,7,78,11.14,0,58.3%,6.50,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,True,False,28,31,Hines Ward
2007,2007-10-28,7,8,31.234,PIT,CIN,True,9,8,88,11.00,2,88.9%,9.78,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,2,12,0.0,,,,,,0,,0,0,0,0,True,True,24,13,Hines Ward
2007,2007-11-05,8,9,31.242,PIT,BAL,True,6,4,28,7.00,0,66.7%,4.67,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,False,True,38,7,Hines Ward
2007,2007-11-11,9,10,31.248,PIT,CLE,True,10,7,80,11.43,1,70.0%,8.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,1,8,0.0,,,,,,0,,0,0,0,0,False,True,31,28,Hines Ward
2007,2007-11-18,10,11,31.255,PIT,NYJ,True,5,2,47,23.50,0,40.0%,9.40,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,True,False,16,19,Hines Ward
2007,2007-11-26,11,12,31.263,PIT,MIA,True,11,9,88,9.78,0,81.8%,8.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,False,True,3,0,Hines Ward
2007,2007-12-02,12,13,31.269,PIT,CIN,True,16,11,90,8.18,2,68.8%,5.63,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,2,12,0.0,0,0,0,0,0,0,,0,0,0,0,False,True,24,10,Hines Ward
2007,2007-12-09,13,14,31.276,PIT,NWE,True,11,5,39,7.80,0,45.5%,3.55,1,0,0.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,True,False,13,34,Hines Ward
2007,2007-12-16,14,15,31.283,PIT,JAX,True,9,3,27,9.00,1,33.3%,3.00,1,4,4.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,1,6,0.0,,,,,,0,,0,0,0,0,False,False,22,29,Hines Ward
2007,2007-12-20,15,16,31.287,PIT,STL,True,6,6,59,9.83,0,100.0%,9.83,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,True,True,41,24,Hines Ward
2007,2007-12-30,16,17,,PIT,BAL,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,21,27,Hines Ward
2008,2008-09-07,1,1,32.183,PIT,HOU,True,6,6,76,12.67,2,100.0%,12.67,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,2,12,0.0,0,0,0,,,0,,0,0,0,0,False,True,38,17,Hines Ward
2008,2008-09-14,2,2,32.190,PIT,CLE,True,8,5,59,11.80,1,62.5%,7.38,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,,,0,,0,0,0,0,True,True,10,6,Hines Ward
2008,2008-09-21,3,3,32.197,PIT,PHI,False,9,4,34,8.50,0,44.4%,3.78,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,True,False,6,15,Hines Ward
