Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2015.0,2015-09-13,1.0,1.0,25.217,STL,SEA,W 34-31,False,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,,,,,,0,0,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0,0,0,3.0,142.0,47.33,0.0,0.0,0%,0.0,0%,9.0,28%,False,Johnny Hekker,True,34,31
2015.0,2015-09-20,2.0,2.0,25.224,STL,WAS,L 10-24,False,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,,,,,,0,0,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0,0,0,8.0,381.0,47.63,0.0,0.0,0%,0.0,0%,12.0,40%,True,Johnny Hekker,False,10,24
2015.0,2015-09-27,3.0,3.0,25.231,STL,PIT,L 6-12,False,0.0,1.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,0,0,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0,0,0,4.0,170.0,42.5,0.0,0.0,0%,0.0,0%,7.0,35%,False,Johnny Hekker,False,6,12
2015.0,2015-10-04,4.0,4.0,25.238,STL,ARI,W 24-22,False,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,,,,,,0,0,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0,0,0,7.0,348.0,49.71,0.0,0.0,0%,0.0,0%,11.0,37%,True,Johnny Hekker,True,24,22
2015.0,2015-10-11,5.0,5.0,25.245,STL,GNB,L 10-24,False,1.0,1.0,100.0,20.0,0.0,0.0,118.7,0.0,0.0,20.0,20.0,0.0,0.0,,0.0,,,,,,,0,0,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0,0,0,4.0,181.0,45.25,0.0,0.0,0%,0.0,0%,10.0,37%,True,Johnny Hekker,False,10,24
2015.0,2015-10-25,6.0,7.0,25.259,STL,CLE,W 24-6,False,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,,,,,,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0,0,0,5.0,244.0,48.8,0.0,0.0,0%,0.0,0%,11.0,42%,False,Johnny Hekker,True,24,6
2015.0,2015-11-01,7.0,8.0,25.266,STL,SFO,W 27-6,False,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,,,,,,0,0,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0,0,0,8.0,436.0,54.5,0.0,0.0,0%,0.0,0%,12.0,36%,False,Johnny Hekker,True,27,6
2015.0,2015-11-08,8.0,9.0,25.273,STL,MIN,L 18-21,False,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,8.0,372.0,46.5,0.0,0.0,0%,0.0,0%,14.0,40%,True,Johnny Hekker,False,18,21
2015.0,2015-11-15,9.0,10.0,25.28,STL,CHI,L 13-37,False,0.0,1.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,0,0,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0,0,0,6.0,296.0,49.33,0.0,0.0,0%,0.0,0%,10.0,30%,False,Johnny Hekker,False,13,37
2015.0,2015-11-22,10.0,11.0,25.287,STL,BAL,L 13-16,False,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,,,,,,0,0,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0,0,0,8.0,367.0,45.88,0.0,0.0,0%,0.0,0%,11.0,37%,True,Johnny Hekker,False,13,16
2015.0,2015-11-29,11.0,12.0,25.294,STL,CIN,L 7-31,False,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,,,,,,0,0,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0,0,0,5.0,225.0,45.0,0.0,0.0,0%,0.0,0%,6.0,25%,True,Johnny Hekker,False,7,31
2015.0,2015-12-06,12.0,13.0,25.301,STL,ARI,L 3-27,False,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,,,,,,0,0,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0,0,0,8.0,436.0,54.5,0.0,0.0,0%,0.0,0%,11.0,39%,False,Johnny Hekker,False,3,27
2015.0,2015-12-13,13.0,14.0,25.308,STL,DET,W 21-14,False,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,,,,,,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0,0,0,6.0,284.0,47.33,0.0,0.0,0%,0.0,0%,9.0,36%,False,Johnny Hekker,True,21,14
2015.0,2015-12-17,14.0,15.0,25.312,STL,TAM,W 31-23,False,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,,,,,,0,0,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0,0,0,5.0,220.0,44.0,0.0,0.0,0%,0.0,0%,10.0,33%,False,Johnny Hekker,True,31,23
2015.0,2015-12-27,15.0,16.0,25.322,STL,SEA,W 23-17,False,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,6.0,240.0,40.0,0.0,0.0,0%,0.0,0%,10.0,37%,True,Johnny Hekker,True,23,17
2015.0,2016-01-03,16.0,17.0,25.329,STL,SFO,L 16-19,False,0.0,1.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,0,0,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0,0,0,5.0,259.0,51.8,0.0,0.0,0%,0.0,0%,12.0,36%,True,Johnny Hekker,False,16,19
2016.0,2016-09-12,1.0,1.0,26.217,LAR,SFO,L 0-28,False,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,,,,,,0,0,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0,0,0,10.0,431.0,43.1,0.0,0.0,0%,0.0,0%,10.0,37%,True,Johnny Hekker,False,0,28
2016.0,2016-09-18,2.0,2.0,26.223,LAR,SEA,W 9-3,False,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,,,,,,0,0,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0,0,0,6.0,237.0,39.5,0.0,0.0,0%,0.0,0%,9.0,39%,False,Johnny Hekker,True,9,3
