Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2017,2017-12-24,15,16,23.354,TEN,,LAR,L 23-27,False,8,25,3.13,0,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,22,32%,0,0%,0,0%,False,Derrick Henry
2017,2017-12-31,16,17,23.361,TEN,,JAX,W 15-10,True,28,51,1.82,0,2,1,66,66.00,1,50.0%,33.00,0,0,,0,0,0,,0,0,,,,1,6,0,0,0,0,0,0,63,97%,0,0%,0,0%,False,Derrick Henry
2018,2018-09-09,1,1,24.248,TEN,@,MIA,L 20-27,True,10,26,2.60,0,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,20,29%,0,0%,0,0%,True,Derrick Henry
2018,2018-09-16,2,2,24.255,TEN,,HOU,W 20-17,True,18,56,3.11,0,0,0,0,,0,0.0%,,1,1,100.00,8,0,0,100.0,0,0,8.00,8.00,,0,0,0,0,0,0,0,0,25,42%,0,0%,0,0%,False,Derrick Henry
2018,2018-09-23,3,3,24.262,TEN,@,JAX,W 9-6,True,18,57,3.17,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,32,52%,0,0%,0,0%,True,Derrick Henry
2018,2018-09-30,4,4,24.269,TEN,,PHI,W 26-23,True,8,24,3.00,0,2,2,7,3.50,0,100.0%,3.50,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,28,39%,0,0%,0,0%,False,Derrick Henry
2018,2018-10-07,5,5,24.276,TEN,@,BUF,L 12-13,True,11,56,5.09,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,21,39%,0,0%,0,0%,True,Derrick Henry
2018,2018-10-14,6,6,24.283,TEN,,BAL,L 0-21,True,7,21,3.00,0,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,12,27%,0,0%,0,0%,False,Derrick Henry
2018,2018-10-21,7,7,24.290,TEN,@,LAC,L 19-20,True,12,33,2.75,1,2,2,32,16.00,0,100.0%,16.00,0,0,,0,0,0,,0,0,,,,1,6,0,0,0,0,0,0,24,34%,0,0%,0,0%,True,Derrick Henry
2018,2018-11-05,8,9,24.305,TEN,@,DAL,W 28-14,True,6,27,4.50,1,2,2,5,2.50,0,100.0%,2.50,0,0,,0,0,0,,0,0,,,,1,6,0,0,0,0,0,0,14,20%,0,0%,0,0%,True,Derrick Henry
2018,2018-11-11,9,10,24.311,TEN,,NWE,W 34-10,True,11,58,5.27,2,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,,2,12,0,0,0,0,0,0,15,23%,0,0%,0,0%,False,Derrick Henry
2018,2018-11-18,10,11,24.318,TEN,@,IND,L 10-38,False,9,46,5.11,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,21,33%,0,0%,0,0%,True,Derrick Henry
