Player,Tm,Age,Pos,Games_G,Games_GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_1D,Receiving_Lng,Receiving_R/G,Receiving_Y/G,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_1D,Rushing_Lng,Rushing_Y/A,Rushing_Y/G,Rushing_A/G,Total Yds_Touch,Total Yds_Y/Tch,Total Yds_YScm,RRTD,Fmb,ProBowl,AllPro
Tavon Austin,STL,24,WR,15,8,44,31,242,7.8,0,12,28,2.1,16.1,70.5%,5.5,36,224,2,11,19,6.2,14.9,2.4,67,7.0,466,2,5,False,False
Jordan Reed,WAS,24,te,11,2,65,50,465,9.3,0,23,30,4.5,42.3,76.9%,7.2,,,,0,,,,,50,9.3,465,0,1,False,False
Charles Johnson,MIN,25,wr,12,6,59,31,475,15.3,2,19,56,2.6,39.6,52.5%,8.1,1,-11,0,0,-11,-11.0,-0.9,0.1,32,14.5,464,2,1,False,False
Wes Welker,DEN,33,wr,14,8,64,49,464,9.5,2,24,39,3.5,33.1,76.6%,7.3,,,,0,,,,,49,9.5,464,2,0,False,False
Donte Moncrief,IND,21,,16,2,49,32,444,13.9,3,15,79,2.0,27.8,65.3%,9.1,4,17,0,1,7,4.3,1.1,0.3,36,12.8,461,3,0,False,False
Jermaine Gresham,CIN,26,TE,15,15,79,62,460,7.4,5,24,23,4.1,30.7,78.5%,5.8,,,,0,,,,,62,7.4,460,5,3,False,False
Stedman Bailey,STL,24,,14,3,46,30,435,14.5,1,19,38,2.1,31.1,65.2%,9.5,1,13,0,1,13,13.0,0.9,0.1,31,14.5,448,1,0,False,False
Davante Adams,GNB,22,WR,16,11,66,38,446,11.7,3,23,45,2.4,27.9,57.6%,6.8,,,,0,,,,,38,11.7,446,3,0,False,False
Zac Stacy,STL,23,rb,13,5,23,18,152,8.4,0,9,17,1.4,11.7,78.3%,6.6,76,293,1,13,16,3.9,22.5,5.8,94,4.7,445,1,2,False,False
Steve Johnson,SFO,28,,13,1,50,35,435,12.4,3,24,32,2.7,33.5,70.0%,8.7,,,,0,,,,,35,12.4,435,3,0,False,False
Donald Brown,SDG,27,,13,3,41,29,211,7.3,0,7,24,2.2,16.2,70.7%,5.1,85,223,0,13,16,2.6,17.2,6.5,114,3.8,434,0,1,False,False
Marqise Lee,JAX,23,WR,13,8,69,37,422,11.4,1,21,37,2.8,32.5,53.6%,6.1,3,9,0,1,5,3.0,0.7,0.2,40,10.8,431,1,0,False,False
Ben Tate,2TM,26,,11,6,12,9,60,6.7,0,0,23,0.8,5.5,75.0%,5.0,119,371,4,0,25,3.1,33.7,10.8,128,3.4,431,4,0,False,False
Chris Hogan,BUF,27,,16,2,61,41,426,10.4,4,20,31,2.6,26.6,67.2%,7.0,,,,0,,,,,41,10.4,426,4,2,False,False
Khiry Robinson,NOR,25,,10,3,11,8,63,7.9,0,3,17,0.8,6.3,72.7%,5.7,76,362,3,23,62,4.8,36.2,7.6,84,5.1,425,3,2,False,False
C.J. Spiller,BUF,27,rb,9,5,22,19,125,6.6,1,7,25,2.1,13.9,86.4%,5.7,78,300,0,12,53,3.8,33.3,8.7,97,4.4,425,1,3,False,False
Jordan Cameron,CLE,26,TE,10,9,48,24,424,17.7,2,13,81,2.4,42.4,50.0%,8.8,,,,0,,,,,24,17.7,424,2,0,False,False
Cole Beasley,DAL,25,,16,2,49,37,420,11.4,4,26,45,2.3,26.3,75.5%,8.6,,,,0,,,,,37,11.4,420,4,2,False,False
Blake Bortles,JAX,22,QB,14,13,0,0,0,,0,0,0,0.0,0.0,0.0%,,56,419,0,29,34,7.5,29.9,4.0,56,7.5,419,0,7,False,False
Jonas Gray,NWE,24,,8,3,3,1,7,7.0,0,0,7,0.1,0.9,33.3%,2.3,89,412,5,27,20,4.6,51.5,11.1,90,4.7,419,5,0,False,False
Preston Parker,NYG,27,wr,16,7,56,36,418,11.6,2,26,42,2.3,26.1,64.3%,7.5,,,,0,,,,,36,11.6,418,2,2,False,False
Lorenzo Taliaferro,BAL,23,,13,0,10,8,114,14.3,0,4,29,0.6,8.8,80.0%,11.4,68,292,4,17,31,4.3,22.5,5.2,76,5.3,406,4,1,False,False
Shonn Greene,TEN,29,rb,13,5,3,1,13,13.0,0,1,13,0.1,1.0,33.3%,4.3,94,392,2,18,52,4.2,30.2,7.2,95,4.3,405,2,1,False,False
Hakeem Nicks,IND,26,wr,16,6,68,38,405,10.7,4,18,29,2.4,25.3,55.9%,6.0,,,,0,,,,,38,10.7,405,4,0,False,False
Carlos Hyde,SFO,24,,14,0,16,12,68,5.7,0,4,16,0.9,4.9,75.0%,4.3,83,333,4,17,28,4.0,23.8,5.9,95,4.2,401,4,1,False,False
Ryan Mathews,SDG,27,rb,6,6,10,9,69,7.7,0,4,16,1.5,11.5,90.0%,6.9,74,330,3,19,32,4.5,55.0,12.3,83,4.8,399,3,1,False,False
Dwayne Allen,IND,24,TE,13,13,50,29,395,13.6,8,24,41,2.2,30.4,58.0%,7.9,,,,0,,,,,29,13.6,395,8,1,False,False
Corey Brown,CAR,23,,13,3,36,21,296,14.1,2,12,47,1.6,22.8,58.3%,8.2,8,95,0,2,28,11.9,7.3,0.6,29,13.5,391,2,3,False,False
Jacquizz Rodgers,ATL,24,,16,1,40,29,173,6.0,1,9,14,1.8,10.8,72.5%,4.3,58,217,1,12,17,3.7,13.6,3.6,87,4.5,390,2,1,False,False
Jordan Todman,JAX,24,,16,1,37,25,198,7.9,1,6,26,1.6,12.4,67.6%,5.4,32,186,1,5,62,5.8,11.6,2.0,57,6.7,384,2,0,False,False
Louis Murphy,TAM,27,,11,3,56,31,380,12.3,2,14,54,2.8,34.5,55.4%,6.8,,,,0,,,,,31,12.3,380,2,1,False,False
Bernard Pierce,BAL,23,,13,2,6,2,13,6.5,0,0,7,0.2,1.0,33.3%,2.2,93,366,2,20,28,3.9,28.2,7.2,95,4.0,379,2,1,False,False
Brian Quick,STL,25,wr,7,7,39,25,375,15.0,3,20,51,3.6,53.6,64.1%,9.6,,,,0,,,,,25,15.0,375,3,0,False,False
Charles Sims,TAM,24,,8,0,27,19,190,10.0,0,7,24,2.4,23.8,70.4%,7.0,66,185,1,10,20,2.8,23.1,8.3,85,4.4,375,1,2,False,False
Theo Riddick,DET,23,,14,2,50,34,316,9.3,4,14,41,2.4,22.6,68.0%,6.3,20,51,0,2,9,2.6,3.6,1.4,54,6.8,367,4,0,False,False
Joseph Randle,DAL,23,,16,0,5,4,23,5.8,0,1,14,0.3,1.4,80.0%,4.6,51,343,3,12,65,6.7,21.4,3.2,55,6.7,366,3,2,False,False
Antone Smith,ATL,29,,10,0,15,13,222,17.1,3,5,74,1.3,22.2,86.7%,14.8,23,144,2,6,48,6.3,14.4,2.3,36,10.2,366,5,1,False,False
Luke Willson,SEA,24,TE,15,10,40,22,362,16.5,3,14,80,1.5,24.1,55.0%,9.1,,,,0,,,,,22,16.5,362,3,0,False,False
Stevan Ridley,NWE,25,rb,6,5,5,4,20,5.0,0,0,7,0.7,3.3,80.0%,4.0,94,340,2,17,43,3.6,56.7,15.7,98,3.7,360,2,0,False,False
Jason Avant,2TM,31,,16,0,62,34,353,10.4,1,0,41,2.1,22.1,54.8%,5.7,1,1,0,0,1,1.0,0.1,0.1,35,10.1,354,1,0,False,False
John Carlson,ARI,30,RB,16,12,55,33,350,10.6,1,17,32,2.1,21.9,60.0%,6.4,,,,0,,,,,33,10.6,350,1,0,False,False
Damaris Johnson,HOU,25,wr,16,8,49,31,331,10.7,1,15,44,1.9,20.7,63.3%,6.8,5,19,0,1,12,3.8,1.2,0.3,36,9.7,350,1,2,False,False
Marcel Reece,OAK,29,RB,15,15,59,37,265,7.2,1,12,19,2.5,17.7,62.7%,4.5,21,85,0,5,11,4.0,5.7,1.4,58,6.0,350,1,1,True,False
Jace Amaro,NYJ,22,,14,4,53,38,345,9.1,2,20,43,2.7,24.6,71.7%,6.5,,,,0,,,,,38,9.1,345,2,1,False,False
Brent Celek,PHI,29,TE,16,15,51,32,340,10.6,1,16,37,2.0,21.3,62.7%,6.7,,,,0,,,,,32,10.6,340,1,1,False,False
Victor Cruz,NYG,28,wr,6,6,41,23,337,14.7,1,13,61,3.8,56.2,56.1%,8.2,,,,0,,,,,23,14.7,337,1,0,False,False
Travaris Cadet,NOR,25,,15,1,51,38,296,7.8,1,15,31,2.5,19.7,74.5%,5.8,10,32,0,1,8,3.2,2.1,0.7,48,6.8,328,1,2,False,False
Dexter McCluster,TEN,25,,14,2,36,26,197,7.6,1,10,25,1.9,14.1,72.2%,5.5,40,131,0,7,16,3.3,9.4,2.9,66,5.0,328,1,1,False,False
Travis Benjamin,CLE,25,,16,0,46,18,314,17.4,3,14,43,1.1,19.6,39.1%,6.8,3,11,0,1,10,3.7,0.7,0.2,21,15.5,325,3,2,False,False
Andrew Quarless,GNB,26,TE,16,11,46,29,323,11.1,3,20,34,1.8,20.2,63.0%,7.0,,,,0,,,,,29,11.1,323,3,0,False,False
Lance Dunbar,DAL,24,,16,0,22,18,217,12.1,0,12,40,1.1,13.6,81.8%,9.9,29,99,0,6,14,3.4,6.2,1.8,47,6.7,316,0,0,False,False
Jeremy Ross,DET,26,WR,16,13,35,24,314,13.1,1,15,59,1.5,19.6,68.6%,9.0,2,-1,0,0,4,-0.5,-0.1,0.1,26,12.0,313,1,4,False,False
Damien Williams,MIA,22,,16,0,27,21,187,8.9,1,13,32,1.3,11.7,77.8%,6.9,36,122,0,6,19,3.4,7.6,2.3,57,5.4,309,1,0,False,False
Ryan Tannehill,MIA,26,QB,16,16,1,1,-4,-4.0,0,0,0,0.1,-0.3,100.0%,-4.0,56,311,1,18,40,5.6,19.4,3.5,57,5.4,307,1,9,False,False
Josh Gordon,CLE,23,wr,5,5,47,24,303,12.6,0,16,32,4.8,60.6,51.1%,6.4,,,,0,,,,,24,12.6,303,0,0,False,False
Bryce Brown,BUF,23,,7,2,25,16,176,11.0,0,8,40,2.3,25.1,64.0%,7.0,36,126,0,6,14,3.5,18.0,5.1,52,5.8,302,0,1,False,False
Juwan Thompson,DEN,22,,15,0,7,4,25,6.3,0,0,14,0.3,1.7,57.1%,3.6,54,272,3,19,47,5.0,18.1,3.6,58,5.1,297,3,1,False,False
Brandon Gibson,MIA,27,wr,14,5,51,29,295,10.2,1,14,40,2.1,21.1,56.9%,5.8,,,,0,,,,,29,10.2,295,1,2,False,False
Brandon Lloyd,SFO,33,,14,3,35,14,294,21.0,1,11,80,1.0,21.0,40.0%,8.4,,,,0,,,,,14,21.0,294,1,0,False,False
Clay Harbor,JAX,27,te,13,8,35,26,289,11.1,1,12,59,2.0,22.2,74.3%,8.3,,,,0,,,,,26,11.1,289,1,0,False,False
Daniel Thomas,MIA,27,,12,0,19,13,121,9.3,0,8,25,1.1,10.1,68.4%,6.4,44,168,2,8,15,3.8,14.0,3.7,57,5.1,289,2,1,False,False
Stepfan Taylor,ARI,23,,14,4,15,11,79,7.2,3,5,18,0.8,5.6,73.3%,5.3,63,208,1,13,21,3.3,14.9,4.5,74,3.9,287,4,0,False,False
Dion Sims,MIA,23,,14,2,36,24,284,11.8,2,13,38,1.7,20.3,66.7%,7.9,,,,0,,,,,24,11.8,284,2,0,False,False
Brice Butler,OAK,24,,15,0,35,21,280,13.3,2,14,55,1.4,18.7,60.0%,8.0,,,,0,,,,,21,13.3,280,2,0,False,False
Andrew Luck,IND,25,QB,16,16,0,0,0,,0,0,0,0.0,0.0,0.0%,,64,273,3,20,20,4.3,17.1,4.0,64,4.3,273,3,13,True,False
Paul Richardson,SEA,22,WR,15,6,44,29,271,9.3,1,16,32,1.9,18.1,65.9%,6.2,,,,0,,,,,29,9.3,271,1,1,False,False
Aaron Rodgers,GNB,31,QB,16,16,0,0,0,,0,0,0,0.0,0.0,0.0%,,43,269,2,22,19,6.3,16.8,2.7,43,6.3,269,2,10,True,True
De'Anthony Thomas,KAN,21,,12,3,31,23,156,6.8,0,8,30,1.9,13.0,74.2%,5.0,14,113,1,3,26,8.1,9.4,1.2,37,7.3,269,1,0,False,False
Kamar Aiken,BAL,25,,16,0,32,24,267,11.1,3,15,24,1.5,16.7,75.0%,8.3,,,,0,,,,,24,11.1,267,3,0,False,False
Kenbrell Thompkins,2TM,26,,14,7,48,21,262,12.5,0,0,50,1.5,18.7,43.8%,5.5,2,5,0,0,7,2.5,0.4,0.1,23,11.6,267,0,0,False,False
DeAngelo Williams,CAR,31,rb,6,6,6,5,44,8.8,0,2,30,0.8,7.3,83.3%,7.3,62,219,0,7,17,3.5,36.5,10.3,67,3.9,263,0,1,False,False
Albert Wilson,KAN,22,,12,2,28,16,260,16.3,0,12,48,1.3,21.7,57.1%,9.3,,,,0,,,,,16,16.3,260,0,0,False,False
Lance Kendricks,STL,26,TE,16,14,38,27,259,9.6,5,17,23,1.7,16.2,71.1%,6.8,,,,0,,,,,27,9.6,259,5,0,False,False
Chase Ford,MIN,24,te,11,5,35,23,258,11.2,1,15,22,2.1,23.5,65.7%,7.4,,,,0,,,,,23,11.2,258,1,0,False,False
Kerwynn Williams,ARI,23,,5,0,6,2,11,5.5,0,0,6,0.4,2.2,33.3%,1.8,53,246,0,11,19,4.6,49.2,10.6,55,4.7,257,0,1,False,False
Tim Wright,NWE,24,,16,2,33,26,259,10.0,6,18,30,1.6,16.2,78.8%,7.8,1,-2,0,0,-2,-2.0,-0.1,0.1,27,9.5,257,6,0,False,False
Marlon Brown,BAL,23,,14,1,31,24,255,10.6,0,16,22,1.7,18.2,77.4%,8.2,,,,0,,,,,24,10.6,255,0,0,False,False
Derek Hagan,TEN,30,,16,3,34,19,254,13.4,1,10,38,1.2,15.9,55.9%,7.5,,,,0,,,,,19,13.4,254,1,0,False,False
Alex Smith,KAN,30,QB,15,15,0,0,0,,0,0,0,0.0,0.0,0.0%,,49,254,1,15,25,5.2,16.9,3.3,49,5.2,254,1,4,False,False
Vernon Davis,SFO,30,TE,14,14,50,26,245,9.4,2,11,29,1.9,17.5,52.0%,4.9,1,4,0,0,4,4.0,0.3,0.1,27,9.2,249,2,0,False,False
Eric Ebron,DET,21,te,13,7,47,25,248,9.9,1,14,22,1.9,19.1,53.2%,5.3,,,,0,,,,,25,9.9,248,1,0,False,False
Jeff Cumberland,NYJ,27,TE,16,14,47,23,247,10.7,3,12,28,1.4,15.4,48.9%,5.3,,,,0,,,,,23,10.7,247,3,0,False,False
Jim Dray,CLE,28,te,16,8,27,17,242,14.2,1,12,31,1.1,15.1,63.0%,9.0,,,,0,,,,,17,14.2,242,1,0,False,False
Jonathan Grimes,HOU,25,,16,0,8,6,86,14.3,0,4,31,0.4,5.4,75.0%,10.8,39,153,0,5,11,3.9,9.6,2.4,45,5.3,239,0,0,False,False
Geno Smith,NYJ,24,QB,14,13,1,0,0,,0,0,0,0.0,0.0,0.0%,0.0,59,238,1,18,18,4.0,17.0,4.2,59,4.0,238,1,8,False,False
Levine Toilolo,ATL,23,TE,16,16,54,31,238,7.7,2,15,20,1.9,14.9,57.4%,4.4,,,,0,,,,,31,7.7,238,2,1,False,False
Montee Ball,DEN,24,,5,3,13,9,62,6.9,0,2,16,1.8,12.4,69.2%,4.8,55,172,1,9,23,3.1,34.4,11.0,64,3.7,234,1,1,False,False
Bilal Powell,NYJ,26,,15,1,15,11,92,8.4,0,5,20,0.7,6.1,73.3%,6.1,33,141,1,7,15,4.3,9.4,2.2,44,5.3,233,1,0,False,False
Kyle Rudolph,MIN,25,TE,9,8,34,24,231,9.6,2,13,23,2.7,25.7,70.6%,6.8,,,,0,,,,,24,9.6,231,2,1,False,False
Jaron Brown,ARI,24,,16,2,32,22,229,10.4,2,14,26,1.4,14.3,68.8%,7.2,,,,0,,,,,22,10.4,229,2,1,False,False
Anthony Fasano,KAN,30,TE,15,13,36,25,226,9.0,4,15,22,1.7,15.1,69.4%,6.3,,,,0,,,,,25,9.0,226,4,0,False,False
Ladarius Green,SDG,24,,14,4,25,19,226,11.9,0,12,28,1.4,16.1,76.0%,9.0,,,,0,,,,,19,11.9,226,0,0,False,False
Richard Rodgers,GNB,22,te,16,5,30,20,225,11.3,2,10,43,1.3,14.1,66.7%,7.5,,,,0,,,,,20,11.3,225,2,0,False,False
Austin Seferian-Jenkins,TAM,22,TE,9,9,38,21,221,10.5,2,12,30,2.3,24.6,55.3%,5.8,,,,0,,,,,21,10.5,221,2,1,False,False
Nick Toon,NOR,26,,8,2,23,17,215,12.6,1,13,24,2.1,26.9,73.9%,9.3,1,4,0,0,4,4.0,0.5,0.1,18,12.2,219,1,1,False,False
Leon Washington,TEN,32,,16,0,31,22,159,7.2,2,8,25,1.4,9.9,71.0%,5.1,13,57,0,1,16,4.4,3.6,0.8,35,6.2,216,2,3,False,False
Ka'Deem Carey,CHI,22,,14,0,6,5,57,11.4,0,2,18,0.4,4.1,83.3%,9.5,36,158,0,11,15,4.4,11.3,2.6,41,5.2,215,0,0,False,False
Brandon Tate,CIN,27,,16,4,26,17,193,11.4,1,12,50,1.1,12.1,65.4%,7.4,3,21,0,1,12,7.0,1.3,0.2,20,10.7,214,1,2,False,False
Corey Fuller,DET,24,,16,2,31,14,212,15.1,1,11,52,0.9,13.3,45.2%,6.8,,,,0,,,,,14,15.1,212,1,1,False,False
Teddy Bridgewater,MIN,22,QB,13,12,0,0,0,,0,0,0,0.0,0.0,0.0%,,47,209,1,15,16,4.4,16.1,3.6,47,4.4,209,1,3,False,False
Rhett Ellison,MIN,26,TE,16,13,26,19,208,10.9,1,12,40,1.2,13.0,73.1%,8.0,,,,0,,,,,19,10.9,208,1,0,False,False
Marcedes Lewis,JAX,30,TE,8,8,31,18,206,11.4,2,10,63,2.3,25.8,58.1%,6.6,,,,0,,,,,18,11.4,206,2,0,False,False
Fozzy Whittaker,CAR,25,,10,1,6,5,60,12.0,1,2,26,0.5,6.0,83.3%,10.0,32,145,1,8,17,4.5,14.5,3.2,37,5.5,205,2,0,False,False
Peyton Hillis,NYG,28,,9,0,16,10,87,8.7,0,2,26,1.1,9.7,62.5%,5.4,26,115,0,4,16,4.4,12.8,2.9,36,5.6,202,0,0,False,False
Danny Amendola,NWE,29,,16,4,42,27,200,7.4,1,12,21,1.7,12.5,64.3%,4.8,,,,0,,,,,27,7.4,200,1,0,False,False
Bruce Miller,SFO,27,RB,16,8,25,18,189,10.5,2,11,22,1.1,11.8,72.0%,7.6,6,9,0,2,4,1.5,0.6,0.4,24,8.3,198,2,1,False,False
Lance Moore,PIT,31,,14,2,26,14,198,14.1,2,11,29,1.0,14.1,53.8%,7.6,,,,0,,,,,14,14.1,198,2,0,False,False
Garrett Graham,HOU,28,TE,11,9,28,18,197,10.9,1,10,26,1.6,17.9,64.3%,7.0,,,,0,,,,,18,10.9,197,1,0,False,False
Ricardo Lockette,SEA,28,,16,0,15,11,195,17.7,2,5,48,0.7,12.2,73.3%,13.0,1,2,0,0,2,2.0,0.1,0.1,12,16.4,197,2,0,False,False
Ted Ginn Jr.,ARI,29,,16,0,26,14,190,13.6,0,9,27,0.9,11.9,53.8%,7.3,3,6,0,0,4,2.0,0.4,0.2,17,11.5,196,0,2,False,False
Jay Cutler,CHI,31,QB,15,15,0,0,0,,0,0,0,0.0,0.0,0.0%,,39,191,2,14,25,4.9,12.7,2.6,39,4.9,191,2,12,False,False
Brandon Myers,TAM,29,te,14,6,32,22,190,8.6,0,8,26,1.6,13.6,68.8%,5.9,,,,0,,,,,22,8.6,190,0,0,False,False
Daniel Fells,NYG,31,TE,16,9,20,16,188,11.8,4,12,27,1.0,11.8,80.0%,9.4,,,,0,,,,,16,11.8,188,4,1,False,False
Chris Polk,PHI,25,,14,0,3,2,16,8.0,0,1,15,0.1,1.1,66.7%,5.3,46,172,4,12,22,3.7,12.3,3.3,48,3.9,188,4,1,False,False
Andy Dalton,CIN,27,QB,16,16,1,1,18,18.0,1,1,18,0.1,1.1,100.0%,18.0,60,169,4,21,20,2.8,10.6,3.8,61,3.1,187,5,3,True,False
Christine Michael,SEA,24,,10,0,2,1,12,12.0,0,0,12,0.1,1.2,50.0%,6.0,34,175,0,11,45,5.1,17.5,3.4,35,5.3,187,0,1,False,False
Greg Salas,NYJ,26,,10,2,23,8,167,20.9,0,6,51,0.8,16.7,34.8%,7.3,1,20,1,1,20,20.0,2.0,0.1,9,20.8,187,1,0,False,False
Cooper Helfet,SEA,25,,10,2,24,12,185,15.4,2,9,36,1.2,18.5,50.0%,7.7,,,,0,,,,,12,15.4,185,2,0,False,False
Ryan Fitzpatrick,HOU,32,QB,12,12,0,0,0,,0,0,0,0.0,0.0,0.0%,,50,184,2,13,16,3.7,15.3,4.2,50,3.7,184,2,5,False,False
Kyle Juszczyk,BAL,23,RB,16,14,27,19,182,9.6,1,6,33,1.2,11.4,70.4%,6.7,,,,0,,,,,19,9.6,182,1,2,False,False
Silas Redd,WAS,22,,15,0,10,8,107,13.4,0,5,37,0.5,7.1,80.0%,10.7,16,75,1,6,14,4.7,5.0,1.1,24,7.6,182,1,1,False,False
Donnie Avery,KAN,30,,6,3,26,15,176,11.7,0,8,27,2.5,29.3,57.7%,6.8,,,,0,,,,,15,11.7,176,0,1,False,False
Robert Griffin III,WAS,24,QB,9,7,0,0,0,,0,0,0,0.0,0.0,0.0%,,38,176,1,10,23,4.6,19.6,4.2,38,4.6,176,1,9,False,False
Josh Hill,NOR,24,,16,3,20,14,176,12.6,5,9,37,0.9,11.0,70.0%,8.8,,,,0,,,,,14,12.6,176,5,0,False,False
Mike Tolbert,CAR,29,rb,8,6,17,12,93,7.8,0,4,18,1.5,11.6,70.6%,5.5,37,78,0,5,15,2.1,9.8,4.6,49,3.5,171,0,0,False,False
Maurice Jones-Drew,OAK,29,,12,1,16,11,71,6.5,0,3,12,0.9,5.9,68.8%,4.4,43,96,0,2,13,2.2,8.0,3.6,54,3.1,167,0,1,False,False
Chris Givens,STL,25,,14,0,20,11,159,14.5,1,5,47,0.8,11.4,55.0%,8.0,1,4,0,1,4,4.0,0.3,0.1,12,13.6,163,1,0,False,False
Joe Morgan,NOR,26,,5,2,10,4,92,23.0,0,3,62,0.8,18.4,40.0%,9.2,1,67,0,1,67,67.0,13.4,0.2,5,31.8,159,0,0,False,False
Dontrelle Inman,SDG,25,,7,0,17,12,158,13.2,0,7,28,1.7,22.6,70.6%,9.3,,,,0,,,,,12,13.2,158,0,0,False,False
Gary Barnidge,CLE,29,,13,2,25,13,156,12.0,0,9,28,1.0,12.0,52.0%,6.2,,,,0,,,,,13,12.0,156,0,0,False,False
Knowshon Moreno,MIA,27,,3,0,1,1,8,8.0,0,0,8,0.3,2.7,100.0%,8.0,31,148,1,8,15,4.8,49.3,10.3,32,4.9,156,1,0,False,False
Michael Vick,NYJ,34,,10,3,0,0,0,,0,0,0,0.0,0.0,0.0%,,26,153,0,10,24,5.9,15.3,2.6,26,5.9,153,0,5,False,False
Brenton Bersin,CAR,24,,15,1,20,13,151,11.6,1,11,29,0.9,10.1,65.0%,7.6,,,,0,,,,,13,11.6,151,1,2,False,False
Robert Hughes,ARI,25,,16,4,12,8,140,17.5,0,7,49,0.5,8.8,66.7%,11.7,7,11,0,3,5,1.6,0.7,0.4,15,10.1,151,0,0,False,False
Joe Banyard,MIN,26,,15,0,11,9,62,6.9,0,4,12,0.6,4.1,81.8%,5.6,21,88,0,4,16,4.2,5.9,1.4,30,5.0,150,0,0,False,False
Jacoby Jones,BAL,30,,16,0,18,9,131,14.6,0,6,31,0.6,8.2,50.0%,7.3,3,16,0,2,11,5.3,1.0,0.2,12,12.3,147,0,4,False,False
Matt Ryan,ATL,29,QB,16,16,0,0,0,,0,0,0,0.0,0.0,0.0%,,29,145,0,10,15,5.0,9.1,1.8,29,5.0,145,0,5,True,False
Jake Locker,TEN,26,qb,7,5,0,0,0,,0,0,0,0.0,0.0,0.0%,,22,142,1,11,29,6.5,20.3,3.1,22,6.5,142,1,3,False,False
Mike Williams,BUF,27,,9,0,19,8,142,17.8,1,3,80,0.9,15.8,42.1%,7.5,,,,0,,,,,8,17.8,142,1,0,False,False
Marquess Wilson,CHI,22,wr,7,6,32,17,140,8.2,1,7,17,2.4,20.0,53.1%,4.4,,,,0,,,,,17,8.2,140,1,0,False,False
Rishard Matthews,MIA,25,,14,0,22,12,135,11.3,2,9,23,0.9,9.6,54.5%,6.1,1,3,0,0,3,3.0,0.2,0.1,13,10.6,138,2,1,False,False
Adam Thielen,MIN,24,,16,2,13,8,137,17.1,1,7,44,0.5,8.6,61.5%,10.5,,,,0,,,,,8,17.1,137,1,0,False,False
Ben Watson,NOR,34,TE,16,8,31,20,136,6.8,2,9,15,1.3,8.5,64.5%,4.4,,,,0,,,,,20,6.8,136,2,0,False,False
MarQueis Gray,2TM,25,,13,5,11,9,134,14.9,0,0,41,0.7,10.3,81.8%,12.2,,,,0,,,,,9,14.9,134,0,0,False,False
Tony Moeaki,SEA,27,,6,2,13,8,134,16.8,1,6,63,1.3,22.3,61.5%,10.3,,,,0,,,,,8,16.8,134,1,0,False,False
Rob Housler,ARI,26,TE,15,7,17,9,129,14.3,0,7,27,0.6,8.6,52.9%,7.6,1,1,0,1,1,1.0,0.1,0.1,10,13.0,130,0,1,False,False
Josh McCown,TAM,35,QB,11,11,0,0,0,,0,0,0,0.0,0.0,0.0%,,25,127,3,12,16,5.1,11.5,2.3,25,5.1,127,3,10,False,False
Dennis Pitta,BAL,29,,3,3,21,16,125,7.8,0,7,24,5.3,41.7,76.2%,6.0,,,,0,,,,,16,7.8,125,0,0,False,False
Dwayne Harris,DAL,27,,16,0,12,7,116,16.6,0,2,56,0.4,7.3,58.3%,9.7,4,7,0,0,9,1.8,0.4,0.3,11,11.2,123,0,4,False,False
Crockett Gillmore,BAL,23,,15,1,15,10,121,12.1,1,8,22,0.7,8.1,66.7%,8.1,,,,0,,,,,10,12.1,121,1,0,False,False
James Wright,CIN,23,,11,0,16,5,91,18.2,0,5,30,0.5,8.3,31.3%,5.7,3,30,0,2,13,10.0,2.7,0.3,8,15.1,121,0,0,False,False
Vincent Brown,OAK,25,,7,0,21,12,118,9.8,0,6,20,1.7,16.9,57.1%,5.6,,,,0,,,,,12,9.8,118,0,0,False,False
Jack Doyle,IND,24,,16,1,22,18,118,6.6,2,7,20,1.1,7.4,81.8%,5.4,,,,0,,,,,18,6.6,118,2,0,False,False
Austin Pettis,2TM,26,,9,0,17,12,118,9.8,1,0,27,1.3,13.1,70.6%,6.9,,,,0,,,,,12,9.8,118,1,0,False,False
Denarius Moore,OAK,26,,10,2,27,12,115,9.6,0,6,28,1.2,11.5,44.4%,4.3,1,1,0,0,1,1.0,0.1,0.1,13,8.9,116,0,1,False,False
Santana Moss,WAS,35,,10,0,15,10,116,11.6,0,6,19,1.0,11.6,66.7%,7.7,,,,0,,,,,10,11.6,116,0,0,False,False
Dante Rosario,CHI,30,,16,3,22,16,116,7.3,0,3,22,1.0,7.3,72.7%,5.3,,,,0,,,,,16,7.3,116,0,1,False,False
Ed Dickson,CAR,27,TE,16,10,17,10,115,11.5,1,9,34,0.6,7.2,58.8%,6.8,,,,0,,,,,10,11.5,115,1,1,False,False
Robert Meachem,NOR,30,,11,2,20,7,114,16.3,0,7,25,0.6,10.4,35.0%,5.7,,,,0,,,,,7,16.3,114,0,0,False,False
Darrin Reaves,CAR,21,,6,1,8,5,31,6.2,0,1,16,0.8,5.2,62.5%,3.9,31,78,0,3,9,2.5,13.0,5.2,36,3.0,109,0,0,False,False
Jacob Tamme,DEN,29,,15,0,28,14,109,7.8,2,4,26,0.9,7.3,50.0%,3.9,,,,0,,,,,14,7.8,109,2,1,False,False
