Player,Tm,Age,Pos,Games_G,Games_GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_1D,Receiving_Lng,Receiving_R/G,Receiving_Y/G,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_1D,Rushing_Lng,Rushing_Y/A,Rushing_Y/G,Rushing_A/G,Total Yds_Touch,Total Yds_Y/Tch,Total Yds_YScm,RRTD,Fmb,ProBowl,AllPro
Marcel Reece,OAK,25,FB,16,10,43,25,333,13.3,3,12,73,1.6,20.8,58.1%,7.7,30,122,1,9,31,4.1,7.6,1.9,55,8.3,455,4,1,False,False
C.J. Spiller,BUF,23,,14,1,30,24,157,6.5,1,7,41,1.7,11.2,80.0%,5.2,74,283,0,10,20,3.8,20.2,5.3,98,4.5,440,1,5,False,False
Willis McGahee,BAL,29,,15,2,17,14,55,3.9,1,2,32,0.9,3.7,82.4%,3.2,100,380,5,18,30,3.8,25.3,6.7,114,3.8,435,6,2,False,False
Arrelious Benn,TAM,22,WR,15,9,38,25,395,15.8,2,17,64,1.7,26.3,65.8%,10.4,6,35,0,2,17,5.8,2.3,0.4,31,13.9,430,2,1,False,False
Jerricho Cotchery,NYJ,28,wr,14,5,86,41,433,10.6,2,27,49,2.9,30.9,47.7%,5.0,4,-3,0,0,4,-0.8,-0.2,0.3,45,9.6,430,2,0,False,False
Marion Barber III,DAL,27,RB,13,10,16,11,49,4.5,0,0,15,0.8,3.8,68.8%,3.1,113,374,4,27,25,3.3,28.8,8.7,124,3.4,423,4,0,False,False
Roscoe Parrish,BUF,28,wr,8,6,53,33,400,12.1,2,20,37,4.1,50.0,62.3%,7.5,3,23,0,2,13,7.7,2.9,0.4,36,11.8,423,2,1,False,False
DeAngelo Williams,CAR,27,rb,6,6,13,11,61,5.5,0,4,14,1.8,10.2,84.6%,4.7,87,361,1,12,39,4.1,60.2,14.5,98,4.3,422,1,1,False,False
Jerome Harrison,2TM,27,,12,2,13,12,85,7.1,0,0,23,1.0,7.1,92.3%,6.5,71,330,1,0,50,4.6,27.5,5.9,83,5.0,415,1,2,False,False
Darrius Heyward-Bey,OAK,23,WR,15,14,65,26,366,14.1,1,18,69,1.7,24.4,40.0%,5.6,4,48,0,2,30,12.0,3.2,0.3,30,13.8,414,1,1,False,False
Jeremy Shockey,NOR,30,TE,13,11,59,41,408,10.0,3,22,31,3.2,31.4,69.5%,6.9,,,,0,,,,,41,10.0,408,3,0,False,False
Chester Taylor,CHI,31,,16,1,26,20,139,7.0,0,7,18,1.3,8.7,76.9%,5.3,112,267,3,16,24,2.4,16.7,7.0,132,3.1,406,3,0,False,False
Greg Olsen,CHI,25,TE,16,13,70,41,404,9.9,5,22,39,2.6,25.3,58.6%,5.8,,,,0,,,,,41,9.9,404,5,2,False,False
T.J. Houshmandzadeh,BAL,33,,16,2,57,30,398,13.3,3,19,56,1.9,24.9,52.6%,7.0,,,,0,,,,,30,13.3,398,3,1,False,False
Randy Moss,3TM,33,,16,11,63,28,393,14.0,5,0,37,1.8,24.6,44.4%,6.2,,,,0,,,,,28,14.0,393,5,0,False,False
Deon Butler,SEA,24,WR,13,8,70,36,385,10.7,4,20,63,2.8,29.6,51.4%,5.5,2,6,0,0,4,3.0,0.5,0.2,38,10.3,391,4,0,False,False
Daniel Fells,STL,27,te,16,6,65,41,391,9.5,2,24,36,2.6,24.4,63.1%,6.0,,,,0,,,,,41,9.5,391,2,0,False,False
Correll Buckhalter,DEN,32,,15,0,39,28,240,8.6,2,9,23,1.9,16.0,71.8%,6.2,59,147,2,10,13,2.5,9.8,3.9,87,4.4,387,4,1,False,False
John Kuhn,GNB,28,,16,2,18,15,97,6.5,2,6,12,0.9,6.1,83.3%,5.4,84,281,4,26,18,3.3,17.6,5.3,99,3.8,378,6,1,False,False
Tony Scheffler,DET,27,,15,4,72,45,378,8.4,1,23,25,3.0,25.2,62.5%,5.3,,,,0,,,,,45,8.4,378,1,1,False,False
Emmanuel Sanders,PIT,23,,13,1,50,28,376,13.4,2,18,35,2.2,28.9,56.0%,7.5,,,,0,,,,,28,13.4,376,2,2,False,False
Derrick Ward,HOU,30,,16,0,11,7,61,8.7,0,2,12,0.4,3.8,63.6%,5.5,50,315,4,17,38,6.3,19.7,3.1,57,6.6,376,4,0,False,False
Legedu Naanee,SDG,27,WR,10,9,46,23,371,16.1,1,20,59,2.3,37.1,50.0%,8.1,3,-2,0,0,5,-0.7,-0.2,0.3,26,14.2,369,1,1,False,False
Josh Freeman,TAM,22,QB,16,16,0,0,0,,0,0,0,0.0,0.0,0.0%,,68,364,0,30,33,5.4,22.8,4.3,68,5.4,364,0,8,False,False
Jared Cook,TEN,23,,16,1,45,29,361,12.4,1,18,36,1.8,22.6,64.4%,8.0,,,,0,,,,,29,12.4,361,1,0,False,False
Jimmy Graham,NOR,24,te,15,5,44,31,356,11.5,5,21,52,2.1,23.7,70.5%,8.1,1,3,0,1,3,3.0,0.2,0.1,32,11.2,359,5,1,False,False
Bernard Scott,CIN,26,,16,0,13,11,60,5.5,0,3,25,0.7,3.8,84.6%,4.6,61,299,1,16,18,4.9,18.7,3.8,72,5.0,359,1,1,False,False
Reggie Bush,NOR,25,RB,8,6,42,34,208,6.1,1,10,20,4.3,26.0,81.0%,5.0,36,150,0,6,23,4.2,18.8,4.5,70,5.1,358,1,2,False,False
Josh Cribbs,CLE,27,WR,15,5,39,23,292,12.7,1,11,65,1.5,19.5,59.0%,7.5,20,66,0,5,19,3.3,4.4,1.3,43,8.3,358,1,7,False,False
Aaron Rodgers,GNB,27,QB,15,15,0,0,0,,0,0,0,0.0,0.0,0.0%,,64,356,4,22,27,5.6,23.7,4.3,64,5.6,356,4,4,False,False
Chansi Stuckey,CLE,27,wr,16,5,63,40,346,8.7,0,21,25,2.5,21.6,63.5%,5.5,3,9,1,1,11,3.0,0.6,0.2,43,8.3,355,1,3,False,False
Blair White,IND,23,,13,4,57,36,355,9.9,5,24,33,2.8,27.3,63.2%,6.2,,,,0,,,,,36,9.9,355,5,1,False,False
Brandon Stokley,SEA,34,,11,0,43,31,354,11.4,0,22,36,2.8,32.2,72.1%,8.2,,,,0,,,,,31,11.4,354,0,0,False,False
David Nelson,BUF,24,,15,3,47,31,353,11.4,3,19,37,2.1,23.5,66.0%,7.5,,,,0,,,,,31,11.4,353,3,0,False,False
Tashard Choice,DAL,26,,16,0,22,17,109,6.4,0,6,17,1.1,6.8,77.3%,5.0,66,243,3,13,26,3.7,15.2,4.1,83,4.2,352,3,1,False,False
Delanie Walker,SFO,26,te,14,8,45,29,331,11.4,0,13,38,2.1,23.6,64.4%,7.4,3,18,0,1,10,6.0,1.3,0.2,32,10.9,349,0,1,False,False
Dallas Clark,IND,31,te,6,6,53,37,347,9.4,3,21,50,6.2,57.8,69.8%,6.5,,,,0,,,,,37,9.4,347,3,0,False,False
Andre Caldwell,CIN,25,wr,15,5,37,25,345,13.8,0,16,53,1.7,23.0,67.6%,9.3,1,-2,0,0,-2,-2.0,-0.1,0.1,26,13.2,343,0,1,False,False
Brad Smith,NYJ,27,,16,2,7,4,44,11.0,0,2,23,0.3,2.8,57.1%,6.3,38,299,1,12,53,7.9,18.7,2.4,42,8.2,343,1,1,False,False
Laurent Robinson,STL,25,WR,14,11,75,34,344,10.1,2,21,32,2.4,24.6,45.3%,4.6,2,-14,0,0,-5,-7.0,-1.0,0.1,36,9.2,330,2,0,False,False
Evan Moore,CLE,25,,12,4,26,16,322,20.1,1,11,49,1.3,26.8,61.5%,12.4,,,,0,,,,,16,20.1,322,1,1,False,False
Isaac Redman,PIT,26,,16,0,10,9,72,8.0,2,3,16,0.6,4.5,90.0%,7.2,52,247,0,22,23,4.8,15.4,3.3,61,5.2,319,2,1,False,False
John Carlson,SEA,26,TE,15,13,58,31,318,10.3,1,12,37,2.1,21.2,53.4%,5.5,,,,0,,,,,31,10.3,318,1,0,False,False
Bo Scaife,TEN,29,TE,14,13,52,36,318,8.8,4,17,30,2.6,22.7,69.2%,6.1,,,,0,,,,,36,8.8,318,4,2,False,False
Fred Davis,WAS,24,TE,16,9,30,21,316,15.0,3,11,71,1.3,19.8,70.0%,10.5,,,,0,,,,,21,15.0,316,3,0,False,False
Mark Clayton,STL,28,wr,5,5,42,23,306,13.3,2,15,39,4.6,61.2,54.8%,7.3,1,6,0,0,6,6.0,1.2,0.2,24,13.0,312,2,0,False,False
Brian Robiskie,CLE,23,WR,14,11,49,29,310,10.7,3,12,46,2.1,22.1,59.2%,6.3,,,,0,,,,,29,10.7,310,3,0,False,False
Andre Roberts,ARI,22,,15,2,49,24,307,12.8,2,10,74,1.6,20.5,49.0%,6.3,,,,0,,,,,24,12.8,307,2,2,False,False
Danario Alexander,STL,24,,8,2,37,20,306,15.3,1,12,46,2.5,38.3,54.1%,8.3,,,,0,,,,,20,15.3,306,1,0,False,False
Mewelde Moore,PIT,28,,15,0,31,26,205,7.9,0,10,29,1.7,13.7,83.9%,6.6,33,99,0,4,18,3.0,6.6,2.2,59,5.2,304,0,0,False,False
Jermichael Finley,GNB,23,te,5,5,26,21,301,14.3,1,12,34,4.2,60.2,80.8%,11.6,,,,0,,,,,21,14.3,301,1,0,False,False
Early Doucet,ARI,25,wr,10,5,59,26,291,11.2,1,10,36,2.6,29.1,44.1%,4.9,2,5,0,1,3,2.5,0.5,0.2,28,10.6,296,1,0,False,False
Ladell Betts,NOR,31,,8,1,31,23,141,6.1,0,6,25,2.9,17.6,74.2%,4.5,45,150,2,11,12,3.3,18.8,5.6,68,4.3,291,2,1,False,False
Harry Douglas,ATL,26,,16,4,53,22,294,13.4,1,15,46,1.4,18.4,41.5%,5.5,2,-5,0,0,0,-2.5,-0.3,0.1,24,12.0,289,1,0,False,False
Demaryius Thomas,DEN,23,,10,2,39,22,283,12.9,2,15,31,2.2,28.3,56.4%,7.3,2,1,0,0,1,0.5,0.1,0.2,24,11.8,284,2,3,False,False
Javon Ringer,TEN,23,,16,0,8,7,44,6.3,0,2,9,0.4,2.8,87.5%,5.5,51,239,2,11,54,4.7,14.9,3.2,58,4.9,283,2,0,False,False
Julius Jones,2TM,29,,12,2,22,17,59,3.5,0,0,13,1.4,4.9,77.3%,2.7,60,223,0,0,54,3.7,18.6,5.0,77,3.7,282,0,1,False,False
Clinton Portis,WAS,29,rb,5,5,9,5,55,11.0,0,4,14,1.0,11.0,55.6%,6.1,54,227,2,12,27,4.2,45.4,10.8,59,4.8,282,2,0,False,False
Dexter McCluster,KAN,21,WR,11,7,39,21,209,10.0,1,11,31,1.9,19.0,53.8%,5.4,18,71,0,6,20,3.9,6.5,1.6,39,7.2,280,1,2,False,False
Sidney Rice,MIN,24,wr,6,5,42,17,280,16.5,2,14,46,2.8,46.7,40.5%,6.7,,,,0,,,,,17,16.5,280,2,0,False,False
David Garrard,JAX,32,QB,14,14,0,0,0,,0,0,0,0.0,0.0,0.0%,,66,279,5,29,25,4.2,19.9,4.7,66,4.2,279,5,11,False,False
Jerome Simpson,CIN,24,,5,3,25,20,277,13.9,3,14,59,4.0,55.4,80.0%,11.1,1,2,0,0,2,2.0,0.4,0.2,21,13.3,279,3,2,False,False
Ryan Fitzpatrick,BUF,28,QB,13,13,0,0,0,,0,0,0,0.0,0.0,0.0%,,40,269,0,15,22,6.7,20.7,3.1,40,6.7,269,0,8,False,False
Justin Gage,TEN,29,,11,4,43,20,266,13.3,1,14,30,1.8,24.2,46.5%,6.2,,,,0,,,,,20,13.3,266,1,0,False,False
Seyi Ajirotutu,SDG,23,,10,0,23,13,262,20.2,2,12,55,1.3,26.2,56.5%,11.4,,,,0,,,,,13,20.2,262,2,0,False,False
Vincent Jackson,SDG,27,wr,5,5,24,14,248,17.7,3,12,58,2.8,49.6,58.3%,10.3,1,14,0,1,14,14.0,2.8,0.2,15,17.5,262,3,0,False,False
Dante Rosario,CAR,26,te,16,6,58,32,264,8.3,0,15,26,2.0,16.5,55.2%,4.6,1,-2,0,0,-2,-2.0,-0.1,0.1,33,7.9,262,0,0,False,False
Martellus Bennett,DAL,23,TE,16,11,47,33,260,7.9,0,12,32,2.1,16.3,70.2%,5.5,,,,0,,,,,33,7.9,260,0,1,False,False
Craig Davis,SDG,25,,7,1,39,21,259,12.3,1,14,49,3.0,37.0,53.8%,6.6,,,,0,,,,,21,12.3,259,1,0,False,False
Kevin Smith,DET,24,,6,0,16,11,123,11.2,0,7,27,1.8,20.5,68.8%,7.7,34,133,0,4,15,3.9,22.2,5.7,45,5.7,256,0,0,False,False
Antwaan Randle El,PIT,31,,16,0,39,22,253,11.5,0,15,34,1.4,15.8,56.4%,6.5,1,2,0,0,2,2.0,0.1,0.1,23,11.1,255,0,2,False,False
Micheal Spurlock,TAM,27,,16,1,33,17,250,14.7,2,12,43,1.1,15.6,51.5%,7.6,,,,0,,,,,17,14.7,250,2,2,False,False
Anthony Dixon,SFO,23,,16,0,5,5,11,2.2,0,1,8,0.3,0.7,100.0%,2.2,70,237,2,11,34,3.4,14.8,4.4,75,3.3,248,2,0,False,False
Jason Hill,2TM,25,,8,1,21,11,248,22.5,1,0,48,1.4,31.0,52.4%,11.8,,,,0,,,,,11,22.5,248,1,0,False,False
Bernard Berrian,MIN,30,WR,14,9,54,28,252,9.0,0,14,30,2.0,18.0,51.9%,4.7,1,-8,0,0,-8,-8.0,-0.6,0.1,29,8.4,244,0,2,False,False
Sammie Stroughter,TAM,24,,12,4,38,24,239,10.0,0,13,27,2.0,19.9,63.2%,6.3,1,2,0,1,2,2.0,0.2,0.1,25,9.6,241,0,1,False,False
Greg Camarillo,MIN,28,,16,1,34,20,240,12.0,1,12,31,1.3,15.0,58.8%,7.1,,,,0,,,,,20,12.0,240,1,0,False,False
Andrew Quarless,GNB,22,,13,3,33,21,238,11.3,1,13,23,1.6,18.3,63.6%,7.2,,,,0,,,,,21,11.3,238,1,1,False,False
Jay Cutler,CHI,27,QB,15,15,0,0,0,,0,0,0,0.0,0.0,0.0%,,50,232,1,18,25,4.6,15.5,3.3,50,4.6,232,1,10,False,False
Golden Tate,SEA,22,,11,0,39,21,227,10.8,0,8,52,1.9,20.6,53.8%,5.8,2,4,0,0,3,2.0,0.4,0.2,23,10.0,231,0,1,False,False
Earnest Graham,TAM,30,rb,12,7,19,16,130,8.1,1,3,46,1.3,10.8,84.2%,6.8,20,99,1,5,61,5.0,8.3,1.7,36,6.4,229,2,1,False,False
Tim Tebow,DEN,23,,9,3,0,0,0,,0,0,0,0.0,0.0,0.0%,,43,227,6,12,40,5.3,25.2,4.8,43,5.3,227,6,1,False,False
Mike Sellers,WAS,35,fb,16,8,40,20,224,11.2,0,9,28,1.3,14.0,50.0%,5.6,4,2,0,1,1,0.5,0.1,0.3,24,9.4,226,0,0,False,False
Zach Miller,JAX,26,te,15,5,26,20,216,10.8,1,10,52,1.3,14.4,76.9%,8.3,2,9,0,0,8,4.5,0.6,0.1,22,10.2,225,1,0,False,False
LaRod Stephens-Howling,ARI,23,,13,2,23,16,111,6.9,0,9,13,1.2,8.5,69.6%,4.8,23,113,1,5,30,4.9,8.7,1.8,39,5.7,224,1,0,False,False
Damian Williams,TEN,22,,16,1,28,16,219,13.7,0,10,39,1.0,13.7,57.1%,7.8,1,5,0,0,5,5.0,0.3,0.1,17,13.2,224,0,0,False,False
Derek Hagan,NYG,26,,7,4,43,24,223,9.3,1,14,17,3.4,31.9,55.8%,5.2,,,,0,,,,,24,9.3,223,1,0,False,False
Jason Campbell,OAK,29,QB,13,12,0,0,0,,0,0,0,0.0,0.0,0.0%,,47,222,1,13,24,4.7,17.1,3.6,47,4.7,222,1,9,False,False
Randy McMichael,SDG,31,TE,16,11,27,20,221,11.1,2,15,28,1.3,13.8,74.1%,8.2,,,,0,,,,,20,11.1,221,2,0,False,False
Le'Ron McClain,BAL,26,FB,15,13,26,21,134,6.4,0,6,19,1.4,8.9,80.8%,5.2,28,85,0,15,16,3.0,5.7,1.9,49,4.5,219,0,0,False,False
David Thomas,NOR,27,TE,13,8,46,30,219,7.3,2,11,22,2.3,16.8,65.2%,4.8,,,,0,,,,,30,7.3,219,2,0,False,False
Donald Jones,BUF,23,wr,15,5,41,18,213,11.8,1,8,40,1.2,14.2,43.9%,5.2,3,1,0,0,2,0.3,0.1,0.2,21,10.2,214,1,0,False,False
Chris Chambers,KAN,32,WR,13,7,43,22,213,9.7,1,13,26,1.7,16.4,51.2%,5.0,,,,0,,,,,22,9.7,213,1,0,False,False
Mike Hart,IND,24,,7,1,6,6,25,4.2,0,2,10,0.9,3.6,100.0%,4.2,43,185,1,10,35,4.3,26.4,6.1,49,4.3,210,1,0,False,False
Bryant Johnson,DET,29,wr,14,7,49,18,210,11.7,0,11,24,1.3,15.0,36.7%,4.3,,,,0,,,,,18,11.7,210,0,0,False,False
Joe McKnight,NYJ,22,,9,1,4,3,20,6.7,0,2,9,0.3,2.2,75.0%,5.0,39,189,0,7,18,4.8,21.0,4.3,42,5.0,209,0,0,False,False
Jacob Hester,SDG,25,rb,15,7,26,22,145,6.6,1,9,21,1.5,9.7,84.6%,5.6,26,60,0,10,6,2.3,4.0,1.7,48,4.3,205,1,0,False,False
Brian Leonard,CIN,26,,11,0,26,20,137,6.9,1,9,20,1.8,12.5,76.9%,5.3,9,61,0,4,42,6.8,5.5,0.8,29,6.8,198,1,0,False,False
Greg Lewis,MIN,30,wr,13,5,37,17,197,11.6,0,8,33,1.3,15.2,45.9%,5.3,,,,0,,,,,17,11.6,197,0,0,False,False
Leon Washington,SEA,28,,16,0,13,9,79,8.8,0,3,28,0.6,4.9,69.2%,6.1,27,100,1,5,21,3.7,6.3,1.7,36,5.0,179,1,3,False,False
Dominic Rhodes,IND,31,,3,0,4,1,4,4.0,0,0,4,0.3,1.3,25.0%,1.0,37,172,0,8,15,4.6,57.3,12.3,38,4.6,176,0,1,False,False
Ben Roethlisberger,PIT,28,QB,12,12,0,0,0,,0,0,0,0.0,0.0,0.0%,,34,176,2,15,31,5.2,14.7,2.8,34,5.2,176,2,7,False,False
Javarris James,IND,23,,10,0,11,9,63,7.0,0,3,11,0.9,6.3,81.8%,5.7,46,112,6,9,11,2.4,11.2,4.6,55,3.2,175,6,1,False,False
Lance Ball,DEN,25,,10,0,6,3,16,5.3,0,1,13,0.3,1.6,50.0%,2.7,41,158,0,7,19,3.9,15.8,4.1,44,4.0,174,0,1,False,False
Ted Ginn Jr.,SFO,25,,13,0,35,12,163,13.6,1,5,37,0.9,12.5,34.3%,4.7,2,11,0,0,9,5.5,0.8,0.2,14,12.4,174,1,1,False,False
Joey Galloway,WAS,39,,10,4,38,12,173,14.4,0,9,62,1.2,17.3,31.6%,4.6,,,,0,,,,,12,14.4,173,0,0,False,False
Kelley Washington,SDG,31,,8,0,14,13,173,13.3,1,10,36,1.6,21.6,92.9%,12.4,,,,0,,,,,13,13.3,173,1,0,False,False
Deji Karim,JAX,24,,11,0,7,3,10,3.3,0,1,7,0.3,0.9,42.9%,1.4,35,160,0,8,15,4.6,14.5,3.2,38,4.5,170,0,4,False,False
Kenneth Darby,STL,28,,14,0,13,10,61,6.1,1,2,21,0.7,4.4,76.9%,4.7,34,107,2,7,13,3.1,7.6,2.4,44,3.8,168,3,0,False,False
Antonio Brown,PIT,22,,9,0,19,16,167,10.4,0,11,26,1.8,18.6,84.2%,8.8,,,,0,,,,,16,10.4,167,0,1,False,False
Mike Bell,2TM,27,,16,1,10,7,67,9.6,0,0,28,0.4,4.2,70.0%,6.7,47,99,0,0,11,2.1,6.2,2.9,54,3.1,166,0,2,False,False
Brian Finneran,ATL,34,,16,1,32,19,166,8.7,3,11,21,1.2,10.4,59.4%,5.2,,,,0,,,,,19,8.7,166,3,0,False,False
Ovie Mughelli,ATL,30,fb,16,6,18,13,126,9.7,1,5,18,0.8,7.9,72.2%,7.0,13,36,0,8,6,2.8,2.3,0.8,26,6.2,162,1,0,True,False
Fred Taylor,NWE,34,,7,0,3,2,6,3.0,0,0,7,0.3,0.9,66.7%,2.0,43,155,0,9,24,3.6,22.1,6.1,45,3.6,161,0,0,False,False
John Gilmore,TAM,31,TE,16,11,18,13,160,12.3,1,9,30,0.8,10.0,72.2%,8.9,,,,0,,,,,13,12.3,160,1,0,False,False
Ruvell Martin,SEA,28,,5,0,9,7,158,22.6,1,6,61,1.4,31.6,77.8%,17.6,,,,0,,,,,7,22.6,158,1,0,False,False
Terrance Copper,KAN,28,,16,3,28,18,157,8.7,0,9,20,1.1,9.8,64.3%,5.6,,,,0,,,,,18,8.7,157,0,0,False,False
Ed Dickson,BAL,23,,15,3,23,11,152,13.8,1,5,58,0.7,10.1,47.8%,6.6,,,,0,,,,,11,13.8,152,1,0,False,False
Donovan McNabb,WAS,34,QB,13,13,0,0,0,,0,0,0,0.0,0.0,0.0%,,29,151,0,8,36,5.2,11.6,2.2,29,5.2,151,0,10,False,False
Devin Aromashodu,CHI,26,,14,2,24,10,149,14.9,0,8,34,0.7,10.6,41.7%,6.2,,,,0,,,,,10,14.9,149,0,0,False,False
Colt McCoy,CLE,24,QB,8,8,1,1,13,13.0,0,1,13,0.1,1.6,100.0%,13.0,28,136,1,10,18,4.9,17.0,3.5,29,5.1,149,1,1,False,False
Daniel Graham,DEN,32,TE,16,16,37,18,148,8.2,0,6,28,1.1,9.3,48.6%,4.0,,,,0,,,,,18,8.2,148,0,1,False,False
Jim Kleinsasser,MIN,33,fb,16,7,21,17,148,8.7,0,6,20,1.1,9.3,81.0%,7.0,,,,0,,,,,17,8.7,148,0,0,False,False
Jon Kitna,DAL,38,QB,10,9,0,0,0,,0,0,0,0.0,0.0,0.0%,,31,147,1,5,29,4.7,14.7,3.1,31,4.7,147,1,7,False,False
Michael Hoomanawanui,STL,22,,8,3,22,13,146,11.2,3,9,36,1.6,18.3,59.1%,6.6,,,,0,,,,,13,11.2,146,3,0,False,False
Billy Bajema,STL,28,TE,13,8,24,14,145,10.4,2,8,26,1.1,11.2,58.3%,6.0,,,,0,,,,,14,10.4,145,2,1,False,False
Chad Hall,PHI,24,,8,1,18,11,115,10.5,1,5,48,1.4,14.4,61.1%,6.4,9,29,0,3,8,3.2,3.6,1.1,20,7.2,144,1,0,False,False
Marlon Moore,MIA,23,,9,0,19,6,128,21.3,1,4,57,0.7,14.2,31.6%,6.7,1,16,0,1,16,16.0,1.8,0.1,7,20.6,144,1,0,False,False
Naaman Roosevelt,BUF,23,,6,1,17,9,139,15.4,0,7,30,1.5,23.2,52.9%,8.2,1,3,0,0,3,3.0,0.5,0.2,10,14.2,142,0,0,False,False
Tyrell Sutton,CAR,24,,9,0,12,12,70,5.8,0,2,14,1.3,7.8,100.0%,5.8,13,71,0,3,32,5.5,7.9,1.4,25,5.6,141,0,0,False,False
Danny Ware,NYG,25,,14,0,9,7,67,9.6,0,2,18,0.5,4.8,77.8%,7.4,20,73,0,7,14,3.7,5.2,1.4,27,5.2,140,0,0,False,False
Owen Schmitt,PHI,25,fb,15,5,24,19,136,7.2,1,8,18,1.3,9.1,79.2%,5.7,,,,0,,,,,19,7.2,136,1,0,False,False
Sammy Morris,NWE,33,,16,0,12,7,77,11.0,0,4,22,0.4,4.8,58.3%,6.4,20,56,0,6,9,2.8,3.5,1.3,27,4.9,133,0,1,False,False
Jerome Felton,DET,24,,16,2,15,8,54,6.8,0,3,19,0.5,3.4,53.3%,3.6,22,76,0,4,9,3.5,4.8,1.4,30,4.3,130,0,1,False,False
Donte' Stallworth,BAL,30,,8,0,5,2,82,41.0,0,2,67,0.3,10.3,40.0%,16.4,5,45,0,2,19,9.0,5.6,0.6,7,18.1,127,0,1,False,False
Matt Cassel,KAN,28,QB,15,15,0,0,0,,0,0,0,0.0,0.0,0.0%,,33,125,0,5,23,3.8,8.3,2.2,33,3.8,125,0,3,True,False
Dimitri Nance,GNB,22,,12,0,4,3,30,10.0,0,2,14,0.3,2.5,75.0%,7.5,36,95,0,4,11,2.6,7.9,3.0,39,3.2,125,0,0,False,False
Vince Young,TEN,27,QB,9,8,0,0,0,,0,0,0,0.0,0.0,0.0%,,25,125,0,6,20,5.0,13.9,2.8,25,5.0,125,0,6,False,False
David Clowney,2TM,25,,13,0,16,7,124,17.7,0,0,31,0.5,9.5,43.8%,7.8,,,,0,,,,,7,17.7,124,0,0,False,False
Laurence Maroney,DEN,25,,4,3,7,4,50,12.5,0,2,28,1.0,12.5,57.1%,7.1,36,74,0,1,13,2.1,18.5,9.0,40,3.1,124,0,1,False,False
Shaun Hill,DET,30,QB,11,10,0,0,0,,0,0,0,0.0,0.0,0.0%,,22,123,0,10,40,5.6,11.2,2.0,22,5.6,123,0,3,False,False
Ben Patrick,ARI,26,TE,15,7,18,15,123,8.2,0,5,21,1.0,8.2,83.3%,6.8,,,,0,,,,,15,8.2,123,0,1,False,False
Lousaka Polite,MIA,29,FB,16,10,17,12,61,5.1,0,3,14,0.8,3.8,70.6%,3.6,26,62,1,15,4,2.4,3.9,1.6,38,3.2,123,1,0,False,False
Matt Ryan,ATL,25,QB,16,16,0,0,0,,0,0,0,0.0,0.0,0.0%,,46,122,0,10,20,2.7,7.6,2.9,46,2.7,122,0,4,True,False
Craig Stevens,TEN,26,TE,15,13,23,11,122,11.1,2,6,28,0.7,8.1,47.8%,5.3,,,,0,,,,,11,11.1,122,2,0,False,False
Jeff King,CAR,27,TE,16,16,32,19,121,6.4,2,9,16,1.2,7.6,59.4%,3.8,,,,0,,,,,19,6.4,121,2,0,False,False
Troy Smith,SFO,26,qb,6,6,0,0,0,,0,0,0,0.0,0.0,0.0%,,23,121,1,9,16,5.3,20.2,3.8,23,5.3,121,1,6,False,False
Sam Hurd,DAL,25,,15,1,23,14,120,8.6,0,11,13,0.9,8.0,60.9%,5.2,,,,0,,,,,14,8.6,120,0,0,False,False
Joe Webb,MIN,24,,5,2,0,0,0,,0,0,0,0.0,0.0,0.0%,,18,120,2,7,16,6.7,24.0,3.6,18,6.7,120,2,1,False,False
David Anderson,HOU,27,,12,1,18,11,117,10.6,0,5,35,0.9,9.8,61.1%,6.5,,,,0,,,,,11,10.6,117,0,0,False,False
Max Komar,ARI,23,,8,0,22,12,117,9.8,0,6,20,1.5,14.6,54.5%,5.3,,,,0,,,,,12,9.8,117,0,3,False,False
Cameron Morrah,SEA,23,,15,3,18,9,117,13.0,0,5,36,0.6,7.8,50.0%,6.5,,,,0,,,,,9,13.0,117,0,0,False,False
Chris Baker,SEA,31,TE,16,13,19,9,116,12.9,1,4,44,0.6,7.3,47.4%,6.1,,,,0,,,,,9,12.9,116,1,0,False,False
Travis Beckum,NYG,23,,16,2,18,13,116,8.9,2,6,29,0.8,7.3,72.2%,6.4,,,,0,,,,,13,8.9,116,2,0,False,False
Riley Cooper,PHI,23,,13,2,18,7,116,16.6,1,5,37,0.5,8.9,38.9%,6.4,,,,0,,,,,7,16.6,116,1,0,False,False
James Starks,GNB,24,,3,0,4,2,15,7.5,0,1,12,0.7,5.0,50.0%,3.8,29,101,0,5,16,3.5,33.7,9.7,31,3.7,116,0,0,False,False
Michael Robinson,SEA,27,,11,4,13,8,37,4.6,0,0,13,0.7,3.4,61.5%,2.8,12,77,0,9,17,6.4,7.0,1.1,20,5.7,114,0,0,False,False
Verran Tucker,KAN,22,,11,2,19,6,114,19.0,1,5,38,0.5,10.4,31.6%,6.0,,,,0,,,,,6,19.0,114,1,0,False,False
Drew Stanton,DET,26,,6,3,0,0,0,,0,0,0,0.0,0.0,0.0%,,18,113,1,8,20,6.3,18.8,3.0,18,6.3,113,1,3,False,False
Jonathan Stupar,BUF,26,,16,3,13,12,111,9.3,0,4,35,0.8,6.9,92.3%,8.5,,,,0,,,,,12,9.3,111,0,1,False,False
